collection_batch,regime,run_name,horizon_events,n_observations,mean_return_bps,mean_abs_return_bps,median_abs_return_bps,share_abs_return_ge_0_5bps,share_abs_return_ge_1_0bps,share_abs_return_ge_2_0bps
fresh_trades_large_day25,Saturday Day 25,20260704_135418,10,2903,-0.04139156225214657,0.08946400388355372,0.0,0.07819497071994488,0.014812263176024801,0.006544953496383052
fresh_trades_large_day25,Saturday Day 25,20260704_135418,20,2893,-0.08306863558794969,0.17617448013575485,0.0,0.15243691669547182,0.032492222606291046,0.015900449360525405
fresh_trades_large_day25,Saturday Day 25,20260704_135418,50,2863,-0.20889088279222842,0.4145128505488993,0.03197976320645779,0.3583653510303877,0.1198044009779951,0.03807195249738037
fresh_trades_large_day25,Saturday Day 25,20260704_135418,100,2813,-0.4234833396556084,0.7239043865699861,0.6072863171202592,0.5193743334518308,0.30323498044792035,0.09598293636686811
fresh_trades_large_day25,Saturday Day 25,20260704_135929,10,2903,-0.03353694388449277,0.16936896431653375,0.0,0.12848777127109887,0.043058904581467446,0.009989665862900447
fresh_trades_large_day25,Saturday Day 25,20260704_135929,20,2893,-0.06366832155408622,0.3202151596127688,0.0,0.23297614932595923,0.0926374006221915,0.020739716557207053
fresh_trades_large_day25,Saturday Day 25,20260704_135929,50,2863,-0.1644026687650112,0.7054800808044431,0.4958647281028128,0.4938875305623472,0.22913028292001397,0.06880894166957736
fresh_trades_large_day25,Saturday Day 25,20260704_135929,100,2813,-0.33883320315916093,1.1072389734141557,0.7038080011778636,0.6814788482047636,0.38215428368290083,0.1347316032705297
fresh_trades_large_day25,Saturday Day 25,20260704_140444,10,2903,0.016719827692048078,0.13420829781548643,0.0,0.09645194626248708,0.04822597313124354,0.007233895969686531
fresh_trades_large_day25,Saturday Day 25,20260704_140444,20,2893,0.033169461468193696,0.2634802498441328,0.0,0.17525060490839958,0.1043899066712755,0.0197027307293467
