evaluation_method,model,cost_scenario,round_trip_cost_bps,n_trades_or_episodes,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share
cooldown_first_signal,hist_gradient_boosting_dynamic_full,no_cost,0.0,17,2.03899102828077,2.03899102828077,2.130893352825236,0.7647058823529411
cooldown_first_signal,hist_gradient_boosting_dynamic_full,very_low_cost,1.0,17,2.03899102828077,1.0389910282807697,1.130893352825236,0.6470588235294118
cooldown_first_signal,hist_gradient_boosting_dynamic_full,low_cost,2.0,17,2.03899102828077,0.03899102828076968,0.13089335282523606,0.5294117647058824
cooldown_first_signal,hist_gradient_boosting_dynamic_full,medium_cost,3.0,17,2.03899102828077,-0.9610089717192303,-0.8691066471747639,0.35294117647058826
cooldown_first_signal,hist_gradient_boosting_dynamic_full,near_best_raw_edge,3.5,17,2.03899102828077,-1.4610089717192303,-1.369106647174764,0.29411764705882354
cooldown_first_signal,hist_gradient_boosting_dynamic_full,high_cost,4.0,17,2.03899102828077,-1.9610089717192305,-1.869106647174764,0.11764705882352941
cooldown_first_signal,hist_gradient_boosting_dynamic_full,expensive_taker_like,5.0,17,2.03899102828077,-2.96100897171923,-2.869106647174764,0.058823529411764705
cooldown_first_signal,hist_gradient_boosting_dynamic_full,very_expensive_round_trip,9.0,17,2.03899102828077,-6.961008971719231,-6.869106647174764,0.058823529411764705
cooldown_first_signal,hist_gradient_boosting_static_full,no_cost,0.0,11,1.8518328515349964,1.8518328515349964,1.4537290168359362,0.9090909090909091
cooldown_first_signal,hist_gradient_boosting_static_full,very_low_cost,1.0,11,1.8518328515349964,0.8518328515349968,0.45372901683593625,0.5454545454545454
cooldown_first_signal,hist_gradient_boosting_static_full,low_cost,2.0,11,1.8518328515349964,-0.14816714846500323,-0.5462709831640638,0.45454545454545453
cooldown_first_signal,hist_gradient_boosting_static_full,medium_cost,3.0,11,1.8518328515349964,-1.1481671484650031,-1.5462709831640638,0.36363636363636365
cooldown_first_signal,hist_gradient_boosting_static_full,near_best_raw_edge,3.5,11,1.8518328515349964,-1.6481671484650031,-2.0462709831640638,0.2727272727272727
cooldown_first_signal,hist_gradient_boosting_static_full,high_cost,4.0,11,1.8518328515349964,-2.1481671484650033,-2.5462709831640638,0.09090909090909091
cooldown_first_signal,hist_gradient_boosting_static_full,expensive_taker_like,5.0,11,1.8518328515349964,-3.1481671484650033,-3.5462709831640638,0.09090909090909091
cooldown_first_signal,hist_gradient_boosting_static_full,very_expensive_round_trip,9.0,11,1.8518328515349964,-7.148167148465003,-7.546270983164064,0.0
cooldown_first_signal,lightgbm_dynamic_compact,no_cost,0.0,12,2.9380418298093525,2.9380418298093525,2.625314652953681,0.9166666666666666
cooldown_first_signal,lightgbm_dynamic_compact,very_low_cost,1.0,12,2.9380418298093525,1.9380418298093531,1.625314652953681,0.8333333333333334
cooldown_first_signal,lightgbm_dynamic_compact,low_cost,2.0,12,2.9380418298093525,0.9380418298093532,0.625314652953681,0.5833333333333334
cooldown_first_signal,lightgbm_dynamic_compact,medium_cost,3.0,12,2.9380418298093525,-0.06195817019064679,-0.37468534704631895,0.4166666666666667
cooldown_first_signal,lightgbm_dynamic_compact,near_best_raw_edge,3.5,12,2.9380418298093525,-0.5619581701906468,-0.874685347046319,0.4166666666666667
cooldown_first_signal,lightgbm_dynamic_compact,high_cost,4.0,12,2.9380418298093525,-1.0619581701906469,-1.374685347046319,0.25
cooldown_first_signal,lightgbm_dynamic_compact,expensive_taker_like,5.0,12,2.9380418298093525,-2.0619581701906466,-2.374685347046319,0.16666666666666666
cooldown_first_signal,lightgbm_dynamic_compact,very_expensive_round_trip,9.0,12,2.9380418298093525,-6.061958170190647,-6.374685347046319,0.08333333333333333
cooldown_first_signal,lightgbm_dynamic_full,no_cost,0.0,13,1.7019139058964514,1.7019139058964514,1.2436495137246872,0.8461538461538461
