model_variant,n_signals,n_signal_runs,mean_signed_return_bps,median_signed_return_bps,trimmed_mean_signed_return_bps,std_signed_return_bps,minimum_signed_return_bps,quantile_10_signed_return_bps,quantile_25_signed_return_bps,quantile_75_signed_return_bps,quantile_90_signed_return_bps,maximum_signed_return_bps,mean_net_return_bps,median_net_return_bps,trimmed_mean_net_return_bps,mean_net_without_best_signal_bps,mean_net_without_worst_signal_bps,leave_one_signal_out_min_mean_net_bps,leave_one_signal_out_median_mean_net_bps,leave_one_signal_out_max_mean_net_bps,best_run_name,worst_run_name,mean_net_without_best_run_bps,mean_net_without_worst_run_bps,leave_one_run_out_min_mean_net_bps,leave_one_run_out_median_mean_net_bps,leave_one_run_out_max_mean_net_bps,bootstrap_mean_net_bps,bootstrap_median_net_bps,bootstrap_ci_lower_2_5,bootstrap_ci_upper_97_5,bootstrap_share_mean_net_positive
direction_only_full_book,277,34,0.8335145639836161,0.7144507183798332,0.7963622435126776,2.666426827428101,-17.343053694443,-1.699821102895349,-0.3018088676209896,1.9104219087173746,3.324785268566721,21.202685462047288,-0.166485436016384,-0.2855492816201668,-0.2036377564873223,-0.240286779849948,-0.10062830464527306,-0.240286779849948,-0.16605404527144274,-0.10062830464527305,20260709_200334,20260709_205559,-0.24311222808194455,-0.12131007845129803,-0.24311222808194455,-0.162645136837214,-0.12131007845129803,-0.1658988367019997,-0.16690375513178113,-0.4452869737019401,0.139703152443872,0.116
direction_only_reduced_book,51,27,1.2252100030619693,0.9566410419736826,1.303018467384754,2.784180281804953,-9.026592817524826,-1.7529810638206023,-0.07569128046447382,3.0063645339678535,4.423063661201931,8.859596824835059,0.22521000306196953,-0.043358958026317396,0.3030184673847542,0.07252226662650778,0.43024605947370537,0.07252226662650774,0.23058138228373526,0.4302460594737055,20260709_193210,20260709_190039,0.0631648600663753,0.4687551610782597,0.0631648600663753,0.22343284263023366,0.4687551610782597,0.23227217351798268,0.21144354751070898,-0.5669599179879732,1.1116110606174379,0.6845
two_stage_full_move_full_direction,14,11,2.9213428029155923,2.2582057216091744,2.7228626034325742,4.405748064470703,-2.878259968268626,-1.6280429935058294,-0.7440055162571957,5.473050452949879,8.778030750293153,11.10270796789603,1.9213428029155926,1.2582057216091744,1.7228626034325742,1.2920070209940204,2.367466093006686,1.2920070209940204,1.9723533476314707,2.367466093006686,20260709_201919,20260709_213235,1.1620881758712318,2.3674660930066866,1.1620881758712318,2.0244504732595674,2.535513933409044,1.867671156851017,1.8454999843580557,-0.7089566186486783,4.370387836015671,0.926
two_stage_reduced_move_full_direction,50,18,1.4374684859438158,0.6909676648875207,1.0990142665906477,3.288641515644374,-3.646837121947799,-2.0954137760420544,-0.63424850764493,2.8998117051204364,5.716293417585395,11.682391032992179,0.43746848594381577,-0.3090323351124793,0.09901426659064771,0.228388433963237,0.5412298248803794,0.2283884339632369,0.4527031965776177,0.5412298248803793,20260709_201919,20260709_190039,0.10337996545992946,0.8920167349065421,0.10337996545992946,0.43999758163157254,0.8920167349065421,0.4733961326729549,0.43614706836488404,-0.4477566140639062,1.6266939774797247,0.798
two_stage_full_move_reduced_direction,16,11,3.4717044739114575,3.1799415790606522,3.305114516946277,3.6925871633827083,-1.336520829438026,-0.44725790020017087,0.604047170216504,5.437222267638542,8.38395412119497,10.612189174773468,2.4717044739114575,2.1799415790606522,2.305114516946278,1.9956721605206569,2.79225282746809,1.9956721605206567,2.491155333568178,2.79225282746809,20260709_201919,20260709_212207,1.982659210163385,3.0315562416416904,1.982659210163385,2.507453548520593,3.0315562416416904,2.488247269725305,2.4952711355728066,0.670164339855276,4.375065980812381,0.997
two_stage_reduced_move_reduced_direction,24,14,1.0508517438148621,0.9691245807019744,1.1402042735565998,3.4576955246396976,-9.026592817524826,-2.175344502417742,-0.367427021991662,2.9865600218775823,4.822879710091875,8.859596824835059,0.05085174381486235,-0.03087541929802562,0.1402042735565998,-0.2886589118816679,0.48900150735137055,-0.2886589118816679,0.054405098732814,0.48900150735137055,20260709_202431,20260709_201919,-0.2886589118816679,0.5025603160047489,-0.2886589118816679,0.014392732849487392,0.5025603160047489,0.07702573943593495,0.04067147565161367,-1.1740430623593094,1.470602340176393,0.526
