model,threshold,cost_scenario,round_trip_cost_bps,signal_group,n_signals,coverage,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share,gross_positive_share,mean_future_return_bps
logit_full,0.5,no_cost,0.0,both,1200,1.0,0.24985665193027293,0.24985665193027293,0.5250688282687488,0.6425,0.6425,0.17941161211128728
logit_full,0.5,very_optimistic_passive_like,0.5,both,1200,1.0,0.24985665193027293,-0.2501433480697271,0.02506882826874879,0.5066666666666667,0.6425,0.17941161211128728
logit_full,0.5,optimistic_low_cost,1.0,both,1200,1.0,0.24985665193027293,-0.750143348069727,-0.4749311717312512,0.3,0.6425,0.17941161211128728
logit_full,0.5,moderate_cost,2.0,both,1200,1.0,0.24985665193027293,-1.750143348069727,-1.4749311717312512,0.075,0.6425,0.17941161211128728
logit_full,0.5,expensive_taker_like,5.0,both,1200,1.0,0.24985665193027293,-4.750143348069727,-4.474931171731251,0.006666666666666667,0.6425,0.17941161211128728
logit_full,0.5,very_expensive_round_trip,9.0,both,1200,1.0,0.24985665193027293,-8.750143348069725,-8.474931171731251,0.0,0.6425,0.17941161211128728
logit_full,0.5,no_cost,0.0,down,581,0.4841666666666667,0.07274875024335861,0.07274875024335861,0.4034245906647804,0.5903614457831325,0.5903614457831325,-0.07274875024335861
logit_full,0.5,very_optimistic_passive_like,0.5,down,581,0.4841666666666667,0.07274875024335861,-0.42725124975664136,-0.09657540933521958,0.46987951807228917,0.5903614457831325,-0.07274875024335861
logit_full,0.5,optimistic_low_cost,1.0,down,581,0.4841666666666667,0.07274875024335861,-0.9272512497566414,-0.5965754093352196,0.28055077452667815,0.5903614457831325,-0.07274875024335861
logit_full,0.5,moderate_cost,2.0,down,581,0.4841666666666667,0.07274875024335861,-1.927251249756641,-1.5965754093352196,0.05679862306368331,0.5903614457831325,-0.07274875024335861
logit_full,0.5,expensive_taker_like,5.0,down,581,0.4841666666666667,0.07274875024335861,-4.927251249756641,-4.59657540933522,0.0,0.5903614457831325,-0.07274875024335861
logit_full,0.5,very_expensive_round_trip,9.0,down,581,0.4841666666666667,0.07274875024335861,-8.92725124975664,-8.59657540933522,0.0,0.5903614457831325,-0.07274875024335861
logit_full,0.5,no_cost,0.0,up,619,0.5158333333333334,0.4160920168415769,0.4160920168415769,0.613250899501594,0.691437802907916,0.691437802907916,0.4160920168415769
logit_full,0.5,very_optimistic_passive_like,0.5,up,619,0.5158333333333334,0.4160920168415769,-0.0839079831584231,0.11325089950159395,0.5411954765751211,0.691437802907916,0.4160920168415769
logit_full,0.5,optimistic_low_cost,1.0,up,619,0.5158333333333334,0.4160920168415769,-0.5839079831584232,-0.38674910049840605,0.3182552504038772,0.691437802907916,0.4160920168415769
logit_full,0.5,moderate_cost,2.0,up,619,0.5158333333333334,0.4160920168415769,-1.583907983158423,-1.386749100498406,0.09208400646203554,0.691437802907916,0.4160920168415769
