move_feature_set,n_features,C,move_threshold,direction_threshold,threshold_eligible,n_signals,n_signal_runs,coverage,directional_precision,mean_signed_return_bps,median_signed_return_bps,mean_net_return_bps,median_net_return_bps,selection_score
full_trade_flow,48,0.03,0.65,0.65,True,48,18,0.0004653958773681863,0.5833333333333334,1.2336517677166705,1.312182671587836,0.2336517677166703,0.31218267158783597,0.2336517677166703
medium_trade_flow,24,0.03,0.65,0.65,True,46,17,0.0004460043824778452,0.5652173913043478,1.102231667698647,1.1531313283413835,0.10223166769864699,0.15313132834138354,0.10223166769864699
reduced_trade_flow,14,0.03,0.5,0.7,True,48,21,0.0004653958773681863,0.625,1.012220282495859,0.9387428895402117,0.012220282495858973,-0.06125711045978832,0.012220282495858973
