feature_set,horizon,feature,standardized_coefficient,abs_standardized_coefficient
book_only,10,imbalance_1,2.6512989499938526,2.6512989499938526
book_only,10,imbalance_10,-1.0096661183089652,1.0096661183089652
book_only,10,bid_depth_5,0.5502871801976598,0.5502871801976598
book_only,10,best_bid_qty,-0.4561315873822477,0.4561315873822477
book_only,10,best_ask_qty,0.38781915238092324,0.38781915238092324
book_only,10,ask_depth_10,-0.3799419474840009,0.3799419474840009
book_only,10,imbalance_5,0.32339244244017623,0.32339244244017623
book_only,10,bid_depth_10,0.20221187830042434,0.20221187830042434
book_only,10,spread_bps,-0.1917082097827023,0.1917082097827023
book_only,10,microprice_deviation_bps,0.16201872755967833,0.16201872755967833
book_only,10,ask_depth_5,-0.14355072714433117,0.14355072714433117
book_only,10,quote_changed,-0.042025144948788104,0.042025144948788104
book_only,10,transaction_lag_ms,-0.04079128886479281,0.04079128886479281
book_only,10,event_gap_ms,-0.03364074399728902,0.03364074399728902
trade_flow_only,10,trade_intensity_rolling_mean_10e,-1.206117529152357,1.206117529152357
trade_flow_only,10,trade_intensity_rolling_mean_20e,-0.9920482378277226,0.9920482378277226
trade_flow_only,10,trade_count_rolling_sum_5e,0.4012865210378874,0.4012865210378874
trade_flow_only,10,trade_volume_rolling_sum_50e,0.39301021582159773,0.39301021582159773
trade_flow_only,10,trade_notional_rolling_sum_50e,0.3758023367960784,0.3758023367960784
trade_flow_only,10,signed_trade_notional_rolling_sum_10e,0.3714285651324461,0.3714285651324461
trade_flow_only,10,signed_trade_volume_rolling_sum_10e,0.36397589976826844,0.36397589976826844
trade_flow_only,10,trade_count_rolling_sum_10e,0.3589092010081833,0.3589092010081833
trade_flow_only,10,signed_trade_volume_rolling_sum_50e,-0.3246879791029896,0.3246879791029896
trade_flow_only,10,signed_trade_notional_rolling_sum_50e,-0.29859346429748373,0.29859346429748373
trade_flow_only,10,signed_trade_volume_rolling_sum_5e,-0.2864236196387125,0.2864236196387125
trade_flow_only,10,signed_trade_notional_rolling_sum_5e,-0.28286382508337427,0.28286382508337427
trade_flow_only,10,notional_imbalance_rolling_50e,0.25957829209331595,0.25957829209331595
trade_flow_only,10,trade_imbalance_rolling_50e,0.2591869768250554,0.2591869768250554
trade_flow_only,10,notional_imbalance_rolling_20e,0.23343328183259499,0.23343328183259499
trade_flow_only,10,trade_imbalance_rolling_20e,0.23319372048768075,0.23319372048768075
trade_flow_only,10,buy_trade_count,0.20904616175049542,0.20904616175049542
trade_flow_only,10,trade_intensity_rolling_mean_5e,-0.20746392700375305,0.20746392700375305
trade_flow_only,10,trade_count_rolling_sum_50e,0.19864707862835745,0.19864707862835745
trade_flow_only,10,sell_trade_count,-0.19005598557002856,0.19005598557002856
trade_flow_only,10,trade_volume_rolling_sum_10e,0.15115183036874544,0.15115183036874544
trade_flow_only,10,trade_notional_rolling_sum_10e,0.14771334235214606,0.14771334235214606
trade_flow_only,10,trade_count_rolling_sum_20e,0.14366066567876815,0.14366066567876815
trade_flow_only,10,signed_trade_notional_rolling_sum_20e,0.12095952802098879,0.12095952802098879
trade_flow_only,10,trade_intensity_per_second,0.11826252126117939,0.11826252126117939
trade_flow_only,10,signed_trade_volume_rolling_sum_20e,0.11789003681150309,0.11789003681150309
trade_flow_only,10,trade_volume_rolling_sum_5e,0.10447423096243941,0.10447423096243941
trade_flow_only,10,trade_imbalance_rolling_5e,0.10371696135687004,0.10371696135687004
trade_flow_only,10,notional_imbalance_rolling_5e,0.10360238389583852,0.10360238389583852
trade_flow_only,10,trade_notional_rolling_sum_5e,0.102859747930622,0.102859747930622
trade_flow_only,10,trade_volume_rolling_sum_20e,0.08913140635277034,0.08913140635277034
trade_flow_only,10,buy_trade_notional,-0.0832730939618579,0.0832730939618579
trade_flow_only,10,signed_trade_notional,-0.08080780541061837,0.08080780541061837
trade_flow_only,10,trade_notional_rolling_sum_20e,0.07501139448348187,0.07501139448348187
trade_flow_only,10,signed_trade_volume,-0.0720596080152054,0.0720596080152054
trade_flow_only,10,buy_trade_volume,-0.06138155496264049,0.06138155496264049
trade_flow_only,10,notional_imbalance,0.05449305016744299,0.05449305016744299
trade_flow_only,10,trade_imbalance,0.05432042662139766,0.05432042662139766
trade_flow_only,10,trade_notional,-0.04094732545829567,0.04094732545829567
trade_flow_only,10,trade_intensity_rolling_mean_50e,-0.03579559495789923,0.03579559495789923
trade_flow_only,10,sell_trade_volume,0.03392852746507571,0.03392852746507571
trade_flow_only,10,notional_imbalance_rolling_10e,0.029705975781836712,0.029705975781836712
trade_flow_only,10,trade_imbalance_rolling_10e,0.0296662500202429,0.0296662500202429
trade_flow_only,10,sell_trade_notional,0.02324387767906523,0.02324387767906523
trade_flow_only,10,trade_volume,-0.01906002711304516,0.01906002711304516
trade_flow_only,10,trade_count,0.006940995652304668,0.006940995652304668
combined,10,imbalance_1,2.767089887877655,2.767089887877655
combined,10,imbalance_10,-1.0505277357356864,1.0505277357356864
combined,10,trade_intensity_rolling_mean_10e,-0.6325205810965071,0.6325205810965071
combined,10,bid_depth_5,0.5899999446059211,0.5899999446059211
combined,10,best_bid_qty,-0.5666906483963023,0.5666906483963023
combined,10,imbalance_5,0.4310876864059337,0.4310876864059337
combined,10,trade_intensity_rolling_mean_20e,-0.4283224961200745,0.4283224961200745
combined,10,best_ask_qty,0.4205511098644546,0.4205511098644546
combined,10,signed_trade_notional_rolling_sum_10e,0.41808667141528866,0.41808667141528866
combined,10,signed_trade_volume_rolling_sum_10e,0.41801178357095986,0.41801178357095986
combined,10,ask_depth_10,-0.4089834550438141,0.4089834550438141
combined,10,trade_count_rolling_sum_50e,0.3408754766573219,0.3408754766573219
combined,10,signed_trade_notional_rolling_sum_5e,-0.3143544847315466,0.3143544847315466
combined,10,signed_trade_volume_rolling_sum_5e,-0.3142348775122088,0.3142348775122088
combined,10,sell_trade_count,0.2699107732853998,0.2699107732853998
combined,10,signed_trade_volume_rolling_sum_50e,-0.21446201537208276,0.21446201537208276
combined,10,signed_trade_notional_rolling_sum_50e,-0.20674874044317515,0.20674874044317515
combined,10,trade_volume_rolling_sum_5e,0.2042438934782069,0.2042438934782069
combined,10,microprice_deviation_bps,-0.20306535886132396,0.20306535886132396
combined,10,trade_notional_rolling_sum_5e,0.2017579890861524,0.2017579890861524
combined,10,bid_depth_10,0.16649948290096217,0.16649948290096217
combined,10,trade_intensity_rolling_mean_50e,0.1579744045320337,0.1579744045320337
combined,10,trade_count_rolling_sum_10e,-0.14324381937479402,0.14324381937479402
combined,10,trade_count_rolling_sum_5e,0.14158638245683006,0.14158638245683006
combined,10,trade_volume_rolling_sum_20e,0.13132268698478378,0.13132268698478378
combined,10,signed_trade_volume_rolling_sum_20e,0.13073315275577002,0.13073315275577002
combined,10,signed_trade_notional_rolling_sum_20e,0.12730112819163544,0.12730112819163544
combined,10,trade_count,0.11341199616193,0.11341199616193
combined,10,trade_intensity_rolling_mean_5e,-0.10905558343952199,0.10905558343952199
combined,10,buy_trade_count,-0.10868607610837928,0.10868607610837928
combined,10,trade_notional_rolling_sum_20e,0.10641213126445882,0.10641213126445882
combined,10,trade_imbalance_rolling_5e,0.10623867124879596,0.10623867124879596
combined,10,notional_imbalance_rolling_5e,0.10622697506222105,0.10622697506222105
combined,10,ask_depth_5,-0.10536158657861641,0.10536158657861641
combined,10,notional_imbalance_rolling_20e,0.10471792217341613,0.10471792217341613
combined,10,trade_imbalance_rolling_20e,0.10451533466524572,0.10451533466524572
combined,10,trade_intensity_per_second,0.10368460675432634,0.10368460675432634
combined,10,trade_notional,-0.07533992303464827,0.07533992303464827
combined,10,sell_trade_notional,-0.07141948247805219,0.07141948247805219
combined,10,sell_trade_volume,-0.06074325571180779,0.06074325571180779
combined,10,trade_count_rolling_sum_20e,-0.05787283417166847,0.05787283417166847
combined,10,trade_volume,-0.05342758207396395,0.05342758207396395
