time_segment,specification,n_signals,n_signal_runs,signal_rate_per_row,signal_run_coverage,directional_precision,positive_net_signal_share,mean_signed_return_bps,mean_net_return_bps,median_net_return_bps
early_first_12_runs,primary_0p75_0p65,16,8,0.0004662412215520005,0.6666666666666666,0.625,0.5,0.8842609834086578,-0.11573901659134211,-0.028637874376457262
early_first_12_runs,sensitivity_0p65_0p65,58,12,0.0016901244281260018,1.0,0.6551724137931034,0.5,0.8451555097047571,-0.15484449029524294,-0.07531598205223666
middle_second_12_runs,primary_0p75_0p65,7,4,0.00020363636363636363,0.3333333333333333,0.7142857142857143,0.42857142857142855,2.052867058764158,1.0528670587641582,-0.331591758526816
middle_second_12_runs,sensitivity_0p65_0p65,23,7,0.0006690909090909091,0.5833333333333334,0.6521739130434783,0.5217391304347826,1.595181731060281,0.595181731060281,0.11198569668680136
late_final_12_runs,primary_0p75_0p65,7,5,0.00020368969330151893,0.4166666666666667,0.7142857142857143,0.14285714285714285,-0.27753009147670127,-1.2775300914767012,-0.7798525798520242
late_final_12_runs,sensitivity_0p65_0p65,12,8,0.00034918233137403245,0.6666666666666666,0.8333333333333334,0.4166666666666667,1.0640232116640447,0.06402321166404468,-0.06350861474890745
