fold,model,algorithm,feature_set,threshold,validation_raw_signals,validation_cooldown_trades,validation_precision,validation_mean_signed_return_bps,validation_positive_signed_return_share,meets_min_trades
3,logit_dynamic_compact,logit,dynamic_compact,0.65,282,58,0.4827586206896552,0.2530313397344296,0.4827586206896552,True
3,logit_dynamic_compact,logit,dynamic_compact,0.7,60,13,0.6923076923076923,1.5211491106028938,0.6923076923076923,True
3,logit_dynamic_compact,logit,dynamic_compact,0.75,21,6,0.8333333333333334,1.8598207910093996,0.8333333333333334,True
3,logit_dynamic_compact,logit,dynamic_compact,0.8,13,3,0.6666666666666666,2.9090857303977944,0.6666666666666666,False
3,logit_dynamic_compact,logit,dynamic_compact,0.85,11,1,0.0,-0.8550153777042713,0.0,False
3,logit_dynamic_compact,logit,dynamic_compact,0.9,9,1,0.0,-0.8550153777042713,0.0,False
3,logit_dynamic_compact,logit,dynamic_compact,0.95,2,1,0.0,-0.8550153777042713,0.0,False
3,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.55,4204,111,0.5765765765765766,0.36883237183102063,0.5765765765765766,True
3,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.6,3096,101,0.6237623762376238,0.6592283477664428,0.6237623762376238,True
3,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.65,1970,77,0.5584415584415584,0.3189804382091361,0.5584415584415584,True
3,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.7,1259,60,0.5166666666666667,0.3444051266817682,0.5166666666666667,True
3,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,624,40,0.525,0.7292133201820816,0.525,True
3,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.8,130,23,0.6521739130434783,1.1781332922813552,0.6521739130434783,True
3,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.85,0,0,,,,False
3,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.9,0,0,,,,False
3,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.95,0,0,,,,False
3,xgboost_dynamic_full,xgboost,dynamic_full,0.55,4307,110,0.5818181818181818,0.5294851255878544,0.5818181818181818,True
3,xgboost_dynamic_full,xgboost,dynamic_full,0.6,3245,102,0.5686274509803921,0.3832852341296362,0.5686274509803921,True
3,xgboost_dynamic_full,xgboost,dynamic_full,0.65,2236,81,0.5925925925925926,0.3825011885051753,0.5925925925925926,True
3,xgboost_dynamic_full,xgboost,dynamic_full,0.7,1772,56,0.5892857142857143,0.4136569912285836,0.5892857142857143,True
3,xgboost_dynamic_full,xgboost,dynamic_full,0.75,1305,48,0.5625,0.5332979723485232,0.5625,True
3,xgboost_dynamic_full,xgboost,dynamic_full,0.8,879,37,0.5405405405405406,0.2101771173371406,0.5405405405405406,True
3,xgboost_dynamic_full,xgboost,dynamic_full,0.85,366,26,0.5769230769230769,0.7820585537245877,0.5769230769230769,True
3,xgboost_dynamic_full,xgboost,dynamic_full,0.9,3,3,0.6666666666666666,0.36452077078030776,0.6666666666666666,False
3,xgboost_dynamic_full,xgboost,dynamic_full,0.95,0,0,,,,False
4,logit_dynamic_compact,logit,dynamic_compact,0.55,3429,109,0.5596330275229358,0.13065213131255946,0.5596330275229358,True
4,logit_dynamic_compact,logit,dynamic_compact,0.6,1285,94,0.6595744680851063,0.6791271585008818,0.6595744680851063,True
4,logit_dynamic_compact,logit,dynamic_compact,0.65,106,31,0.6451612903225806,0.2367523625876602,0.6451612903225806,True
4,logit_dynamic_compact,logit,dynamic_compact,0.7,49,6,0.6666666666666666,2.135603870451752,0.6666666666666666,True
4,logit_dynamic_compact,logit,dynamic_compact,0.75,39,4,0.75,2.4305965775531235,0.75,False
4,logit_dynamic_compact,logit,dynamic_compact,0.8,31,4,0.5,1.6934723904768467,0.5,False
4,logit_dynamic_compact,logit,dynamic_compact,0.85,30,3,0.3333333333333333,0.7366682744958108,0.3333333333333333,False
4,logit_dynamic_compact,logit,dynamic_compact,0.9,29,3,0.3333333333333333,1.0353755579935637,0.3333333333333333,False
4,logit_dynamic_compact,logit,dynamic_compact,0.95,29,3,0.3333333333333333,1.0353755579935637,0.3333333333333333,False
4,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.55,3183,107,0.6261682242990654,0.4727923313567563,0.6261682242990654,True
4,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.6,1360,88,0.6363636363636364,0.642934237881239,0.6363636363636364,True
4,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.65,383,54,0.5925925925925926,0.5144130446278812,0.5925925925925926,True
4,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.7,184,28,0.5714285714285714,0.3942965091850912,0.5714285714285714,True
4,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,80,11,0.7272727272727273,1.5972717372181313,0.7272727272727273,True
4,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.8,20,7,0.7142857142857143,2.143850305910768,0.7142857142857143,True
4,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.85,9,5,0.8,3.0802465981927263,0.8,True
4,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.9,0,0,,,,False
4,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.95,0,0,,,,False
4,xgboost_dynamic_full,xgboost,dynamic_full,0.55,3464,106,0.6320754716981132,0.4297278524102172,0.6320754716981132,True
4,xgboost_dynamic_full,xgboost,dynamic_full,0.6,1451,88,0.5681818181818182,0.14184686975343191,0.5681818181818182,True
4,xgboost_dynamic_full,xgboost,dynamic_full,0.65,485,57,0.6491228070175439,0.6507685184652915,0.6491228070175439,True
4,xgboost_dynamic_full,xgboost,dynamic_full,0.7,215,24,0.5833333333333334,0.9759285719555347,0.5833333333333334,True
4,xgboost_dynamic_full,xgboost,dynamic_full,0.75,79,8,0.75,1.9996649449117998,0.75,True
4,xgboost_dynamic_full,xgboost,dynamic_full,0.8,21,7,0.7142857142857143,1.8149062121443547,0.7142857142857143,True
4,xgboost_dynamic_full,xgboost,dynamic_full,0.85,5,4,0.75,2.3003089189177484,0.75,False
4,xgboost_dynamic_full,xgboost,dynamic_full,0.9,0,0,,,,False
4,xgboost_dynamic_full,xgboost,dynamic_full,0.95,0,0,,,,False
5,logit_dynamic_compact,logit,dynamic_compact,0.55,3676,107,0.5794392523364486,0.6138310641027002,0.5794392523364486,True
5,logit_dynamic_compact,logit,dynamic_compact,0.6,1893,96,0.65625,0.7886806594127836,0.65625,True
5,logit_dynamic_compact,logit,dynamic_compact,0.65,376,59,0.6271186440677966,0.7785042390973294,0.6271186440677966,True
5,logit_dynamic_compact,logit,dynamic_compact,0.7,11,7,0.8571428571428571,1.7678373033851764,0.8571428571428571,True
5,logit_dynamic_compact,logit,dynamic_compact,0.75,0,0,,,,False
5,logit_dynamic_compact,logit,dynamic_compact,0.8,0,0,,,,False
5,logit_dynamic_compact,logit,dynamic_compact,0.85,0,0,,,,False
5,logit_dynamic_compact,logit,dynamic_compact,0.9,0,0,,,,False
5,logit_dynamic_compact,logit,dynamic_compact,0.95,0,0,,,,False
