model_name,split,n_observations,positive_class_share,predicted_positive_share,balanced_accuracy,precision_positive,recall_positive,precision_negative,recall_negative,roc_auc,average_precision,brier_score
majority_baseline,validation,52174,0.49275501207497985,1.0,0.5,0.49275501207497985,1.0,0.0,0.0,0.5,0.49275501207497985,0.5072449879250202
logit_book_only_direction,validation,52174,0.49275501207497985,0.514892475179208,0.5861387340678659,0.5763847528290649,0.6022793574234704,0.5960094824180165,0.5699981107122615,0.6192512842861283,0.6048572881298802,0.2396524437951515
majority_baseline,test,45954,0.5052661357009183,1.0,0.5,0.5052661357009183,1.0,0.0,0.0,0.5,0.5052661357009183,0.49473386429908167
logit_book_only_direction,test,45954,0.5052661357009183,0.5453061757409583,0.5842473184424157,0.5825052875214494,0.6286661785606615,0.5873653984206748,0.5398284583241698,0.6226942297821075,0.6163468264242729,0.2390025670600941
