run_name,row_in_run,split,future_return_bps,move_probability,direction_probability_up,direction_confidence,joint_confidence,signal_direction,signed_return_bps,net_return_bps_1bps_cost,move_threshold,direction_threshold,episode_id,episode_anchor_row,entry_rule,entry_delay_from_anchor_events,move_feature_set,threshold_mode,split_name
20260708_185955,304,validation,0.8235217179630716,0.7116308191808496,0.291361009249674,0.708638990750326,0.504289345491145,-1,-0.8235217179630716,-1.8235217179630716,0.65,0.65,0,304,first_eligible,0,full_trade_flow,model_specific,validation
20260708_185955,624,validation,-2.733438908044672,0.6548330442471069,0.32954646687234035,0.6704535331276597,0.43903512812421386,-1,2.733438908044672,1.733438908044672,0.65,0.65,1,624,first_eligible,0,full_trade_flow,model_specific,validation
20260708_185955,1086,validation,3.341018752476277,0.7009263414009517,0.3183973670981201,0.6816026329018798,0.47775323976917056,-1,-3.341018752476277,-4.341018752476277,0.65,0.65,2,1086,first_eligible,0,full_trade_flow,model_specific,validation
20260708_185955,1240,validation,-3.9544735183438817,0.6758684917840179,0.6592768524187278,0.6592768524187278,0.44558445191236007,1,-3.9544735183438817,-4.954473518343882,0.65,0.65,3,1240,first_eligible,0,full_trade_flow,model_specific,validation
20260708_185955,1967,validation,2.0989289811224054,0.7589199511615723,0.6525958922316634,0.6525958922316634,0.4952680426606967,1,2.0989289811224054,1.0989289811224054,0.65,0.65,4,1967,first_eligible,0,full_trade_flow,model_specific,validation
20260708_190508,912,validation,0.6941389650072516,0.6623890601374469,0.31089069319777224,0.6891093068022278,0.45645846606469526,-1,-0.6941389650072516,-1.6941389650072516,0.65,0.65,5,912,first_eligible,0,full_trade_flow,model_specific,validation
20260708_190508,1731,validation,0.9687865060947765,0.6656967771842636,0.3455071144581363,0.6544928855418637,0.43569380459524776,-1,-0.9687865060947765,-1.9687865060947765,0.65,0.65,6,1731,first_eligible,0,full_trade_flow,model_specific,validation
20260708_190508,2639,validation,9.341127824218365,0.7847171510745926,0.29404300983031967,0.7059569901696803,0.5539765581071456,-1,-9.341127824218365,-10.341127824218365,0.65,0.65,7,2639,first_eligible,0,full_trade_flow,model_specific,validation
20260708_190508,2692,validation,-5.012099142865933,0.8012710455012679,0.332965064171528,0.667034935828472,0.5344757804171509,-1,5.012099142865933,4.012099142865933,0.65,0.65,8,2692,first_eligible,0,full_trade_flow,model_specific,validation
20260708_191023,20,validation,-4.2077601737910975,0.6657558587300074,0.3210352808968079,0.6789647191031921,0.4520247396139239,-1,4.2077601737910975,3.2077601737910975,0.65,0.65,9,20,first_eligible,0,full_trade_flow,model_specific,validation
20260708_191023,1742,validation,1.4170703841154264,0.9082771144028084,0.934843815269349,0.934843815269349,0.8490972429501564,1,1.4170703841154264,0.4170703841154264,0.65,0.65,10,1742,first_eligible,0,full_trade_flow,model_specific,validation
20260708_191023,2478,validation,-2.2879294802125028,0.7511907598281817,0.34256897787838525,0.6574310221216147,0.49385610904215393,-1,2.2879294802125028,1.2879294802125028,0.65,0.65,11,2478,first_eligible,0,full_trade_flow,model_specific,validation
20260708_191023,2838,validation,-0.44373876534109513,0.6927171646323648,0.2912101633389659,0.7087898366610341,0.4909908859720685,-1,0.44373876534109513,-0.5562612346589049,0.65,0.65,12,2838,first_eligible,0,full_trade_flow,model_specific,validation
20260708_191538,292,validation,0.145331116763181,0.654603531043094,0.29543656654158695,0.704563433458413,0.46120971138572314,-1,-0.145331116763181,-1.145331116763181,0.65,0.65,13,292,first_eligible,0,full_trade_flow,model_specific,validation
20260708_191538,542,validation,-6.804463792898785,0.6596031534294019,0.3362252840785185,0.6637747159214815,0.4378278957885146,-1,6.804463792898785,5.804463792898785,0.65,0.65,14,542,first_eligible,0,full_trade_flow,model_specific,validation
20260708_191538,890,validation,-3.718184265129043,0.7680285599891616,0.3461348405473091,0.653865159452691,0.5021871168415338,-1,3.718184265129043,2.718184265129043,0.65,0.65,15,890,first_eligible,0,full_trade_flow,model_specific,validation
20260708_192052,70,validation,-0.3060027266443832,0.6671198198315195,0.3475936547485933,0.6524063452514067,0.43523320350105854,-1,0.3060027266443832,-0.6939972733556168,0.65,0.65,16,70,first_eligible,0,full_trade_flow,model_specific,validation
20260708_192052,284,validation,-3.3311474354580373,0.7149016581713679,0.33721897668581613,0.6627810233141839,0.47382325257182606,-1,3.3311474354580373,2.3311474354580373,0.65,0.65,17,284,first_eligible,0,full_trade_flow,model_specific,validation
20260708_192052,470,validation,-0.9980304994894329,0.9062271959465431,0.8534905416594931,0.8534905416594931,0.7734563403349787,1,-0.9980304994894329,-1.998030499489433,0.65,0.65,18,470,first_eligible,0,full_trade_flow,model_specific,validation
20260708_192052,572,validation,1.2072949590602455,0.7281221479072557,0.8377591908858681,0.8377591908858681,0.6099910214968629,1,1.2072949590602455,0.20729495906024553,0.65,0.65,19,572,first_eligible,0,full_trade_flow,model_specific,validation
20260708_192607,580,validation,-4.55759836345937,0.6626605523871896,0.2920418545400076,0.7079581454599924,0.4691359357375288,-1,4.55759836345937,3.5575983634593698,0.65,0.65,20,580,first_eligible,0,full_trade_flow,model_specific,validation
20260708_193122,1795,validation,2.774970092436213,0.7437923473838809,0.3149456201028519,0.6850543798971481,0.5095382053093087,-1,-2.774970092436213,-3.774970092436213,0.65,0.65,21,1795,first_eligible,0,full_trade_flow,model_specific,validation
20260708_194153,2187,validation,-10.981949785702216,0.7842634957451302,0.31461263826530955,0.6853873617346904,0.5375242882535803,-1,10.981949785702216,9.981949785702216,0.65,0.65,22,2187,first_eligible,0,full_trade_flow,model_specific,validation
20260708_194153,2258,validation,-1.6363867608204519,0.6710206645737907,0.31871759127344634,0.6812824087265537,0.45715457466612497,-1,1.6363867608204519,0.6363867608204519,0.65,0.65,23,2258,first_eligible,0,full_trade_flow,model_specific,validation
20260708_195223,10,validation,6.9981783676920095,0.6556679149426097,0.658743772244008,0.658743772244008,0.4319171556286581,1,6.9981783676920095,5.9981783676920095,0.65,0.65,24,10,first_eligible,0,full_trade_flow,model_specific,validation
20260708_195223,798,validation,8.406003503040882,0.7357878801933448,0.288804744036051,0.711195255963949,0.5232888497892773,-1,-8.406003503040882,-9.406003503040882,0.65,0.65,25,798,first_eligible,0,full_trade_flow,model_specific,validation
20260708_195223,852,validation,-3.3760399697291277,0.8599502714373284,0.33358748803394905,0.6664125119660509,0.5730816205544373,-1,3.3760399697291277,2.3760399697291277,0.65,0.65,26,852,first_eligible,0,full_trade_flow,model_specific,validation
