model,algorithm,feature_set,feature,importance,abs_importance,importance_type
lightgbm_dynamic_full,lightgbm,dynamic_full,imbalance_1,2.0,2.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,imbalance_5_rolling_mean_5e,2.0,2.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,quote_changed_rolling_sum_10e,2.0,2.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,best_bid_qty_change_1e,2.0,2.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,microprice_deviation_bps_change_5e,1.0,1.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,mid_return_bps_rolling_std_5e,1.0,1.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,spread_bps_change_5e,1.0,1.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,event_gap_ms,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,transaction_lag_ms,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,bid_depth_10,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,imbalance_5,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,microprice_deviation_bps,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,quote_changed,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,imbalance_5_change_1e,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,imbalance_5_change_5e,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,microprice_deviation_bps_change_1e,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,mid_return_bps_lag_1e,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,mid_return_bps_lag_2e,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,mid_return_bps_lag_5e,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,mid_return_bps_lag_10e,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,mid_return_bps_rolling_mean_5e,0.0,0.0,feature_importance
