horizon_events,n_nonflat,up_share_nonflat,down_share_nonflat,majority_class,majority_baseline_accuracy
1,21,0.19047619047619047,0.8095238095238095,down,0.8095238095238095
5,71,0.11267605633802817,0.8873239436619719,down,0.8873239436619719
10,119,0.1092436974789916,0.8907563025210085,down,0.8907563025210085
