horizon_events,n_nonflat,up_share_nonflat,down_share_nonflat,majority_class,majority_baseline_accuracy
1,875,0.4617142857142857,0.5382857142857143,down,0.5382857142857143
5,2550,0.46431372549019606,0.5356862745098039,down,0.5356862745098039
10,3526,0.47107203630175837,0.5289279636982417,down,0.5289279636982417
