evaluation_method,model,algorithm,feature_set,threshold,run_name,signal,cooldown_trade_id,episode_start_row,episode_end_row,episode_duration_events,n_raw_signals_in_episode,target_label,predicted_proba_up,future_mid_return_bps,signed_return_bps,is_correct_signal,is_positive_signed_return,mean_raw_signed_return_bps_in_episode,max_raw_signed_return_bps_in_episode,min_raw_signed_return_bps_in_episode
cooldown_first_signal,hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,0.9,20260610_201605,up,1,2,2,0,1,up,0.910469256817896,7.877066011268141,7.877066011268141,True,True,7.877066011268141,7.877066011268141,7.877066011268141
cooldown_first_signal,hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,0.9,20260610_201605,down,2,59,59,0,1,down,0.0841119039521511,-0.0323197587659418,0.0323197587659418,True,True,0.0323197587659418,0.0323197587659418,0.0323197587659418
cooldown_first_signal,hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,0.9,20260610_201605,down,3,118,118,0,1,up,0.0754657703019149,3.814366423231519,-3.814366423231519,False,False,-3.814366423231519,-3.814366423231519,-3.814366423231519
cooldown_first_signal,hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,0.9,20260610_201605,up,4,479,479,0,1,up,0.9112266970646344,1.4537290168359362,1.4537290168359362,True,True,1.4537290168359362,1.4537290168359362,1.4537290168359362
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201249,up,1,84,84,0,1,up,0.7529421309047927,4.183603665741664,4.183603665741664,True,True,4.183603665741664,4.183603665741664,4.183603665741664
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201249,up,2,156,156,0,1,up,0.7526265323590768,1.712117186345452,1.712117186345452,True,True,1.712117186345452,1.712117186345452,1.712117186345452
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201249,up,3,207,207,0,1,up,0.7529421309047927,2.5031390170737744,2.5031390170737744,True,True,2.5031390170737744,2.5031390170737744,2.5031390170737744
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201249,up,4,269,269,0,1,up,0.7664581302194213,0.6536939356571736,0.6536939356571736,True,True,0.6536939356571736,0.6536939356571736,0.6536939356571736
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201249,down,5,500,500,0,1,down,0.2407260540496226,-3.8702966824299967,3.8702966824299967,True,True,3.8702966824299967,3.8702966824299967,3.8702966824299967
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201428,up,1,40,40,0,1,down,0.7508006027612055,-2.567611757724464,-2.567611757724464,False,False,-2.567611757724464,-2.567611757724464,-2.567611757724464
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201428,up,2,105,105,0,1,up,0.7529421309047927,5.895716882828861,5.895716882828861,True,True,5.895716882828861,5.895716882828861,5.895716882828861
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201428,down,3,473,473,0,1,down,0.2361750201760576,-2.7474902888335877,2.7474902888335877,True,True,2.7474902888335877,2.7474902888335877,2.7474902888335877
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201605,up,1,11,11,0,1,up,0.78499991270366,10.12647580039161,10.12647580039161,True,True,10.12647580039161,10.12647580039161,10.12647580039161
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201605,up,2,144,144,0,1,up,0.7598239195666373,3.5149356483965555,3.5149356483965555,True,True,3.5149356483965555,3.5149356483965555,3.5149356483965555
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201605,up,3,324,324,0,1,up,0.758308271737204,1.1629155909020916,1.1629155909020916,True,True,1.1629155909020916,1.1629155909020916,1.1629155909020916
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201605,up,4,481,481,0,1,up,0.7743847731931457,1.4537290168359362,1.4537290168359362,True,True,1.4537290168359362,1.4537290168359362,1.4537290168359362
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201249,up,1,43,43,0,1,up,0.7623004056699282,0.7753396755050268,0.7753396755050268,True,True,0.7753396755050268,0.7753396755050268,0.7753396755050268
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201249,up,2,94,94,0,1,up,0.7737536044212687,1.1467676899012955,1.1467676899012955,True,True,1.1467676899012955,1.1467676899012955,1.1467676899012955
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201249,up,3,152,152,0,1,up,0.7555627402284003,1.2436495137246872,1.2436495137246872,True,True,1.2436495137246872,1.2436495137246872,1.2436495137246872
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201249,up,4,207,207,0,1,up,0.7504187513371674,2.5031390170737744,2.5031390170737744,True,True,2.5031390170737744,2.5031390170737744,2.5031390170737744
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201249,up,5,269,269,0,1,up,0.8485071834534857,0.6536939356571736,0.6536939356571736,True,True,0.6536939356571736,0.6536939356571736,0.6536939356571736
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201249,down,6,500,500,0,1,down,0.2498975729931878,-3.8702966824299967,3.8702966824299967,True,True,3.8702966824299967,3.8702966824299967,3.8702966824299967
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201428,up,1,40,40,0,1,down,0.7522559305274188,-2.567611757724464,-2.567611757724464,False,False,-2.567611757724464,-2.567611757724464,-2.567611757724464
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201428,up,2,91,91,0,1,up,0.7795237621023323,4.345062579400594,4.345062579400594,True,True,4.345062579400594,4.345062579400594,4.345062579400594
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201428,up,3,145,145,0,1,up,0.8149174064617822,2.130893352825236,2.130893352825236,True,True,2.130893352825236,2.130893352825236,2.130893352825236
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201605,up,1,11,11,0,1,up,0.832721856488557,10.12647580039161,10.12647580039161,True,True,10.12647580039161,10.12647580039161,10.12647580039161
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201605,down,2,135,135,0,1,up,0.2397624557113996,4.719470320269092,-4.719470320269092,False,False,-4.719470320269092,-4.719470320269092,-4.719470320269092
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201605,up,3,319,319,0,1,up,0.7508692211122812,1.1629155909020916,1.1629155909020916,True,True,1.1629155909020916,1.1629155909020916,1.1629155909020916
cooldown_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201605,up,4,479,479,0,1,up,0.7790857724970723,1.4537290168359362,1.4537290168359362,True,True,1.4537290168359362,1.4537290168359362,1.4537290168359362
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,1,12,12,0,1,up,0.6622717088498636,3.3770982646719183,3.3770982646719183,True,True,3.3770982646719183,3.3770982646719183,3.3770982646719183
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,2,65,65,0,1,up,0.6616666611717114,3.0528950409847155,3.0528950409847155,True,True,3.0528950409847155,3.0528950409847155,3.0528950409847155
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,down,3,151,151,0,1,up,0.2294397825604838,0.7348464170986446,-0.7348464170986446,False,False,-0.7348464170986446,-0.7348464170986446,-0.7348464170986446
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,4,208,208,0,1,up,0.6577631440530123,2.3900670106957733,2.3900670106957733,True,True,2.3900670106957733,2.3900670106957733,2.3900670106957733
