,count,mean,std,min,25%,50%,75%,max
imbalance_1,5120.0,-0.030907490143032824,0.627540803001042,-0.9998508353221957,-0.6131590435770965,-0.02014031824628745,0.5339777514755359,0.9998714818146768
imbalance_5,5120.0,-0.0378981545629742,0.6236477311856831,-0.9995839771781766,-0.6096073719498634,-0.0505378999398571,0.5405754589052967,0.999678391959799
imbalance_10,5120.0,-0.03951136249191839,0.6259659346874662,-0.9986899086575204,-0.6182193727171612,-0.0539071359037898,0.5392023790863567,0.9989923417976624
microprice_deviation_bps,5120.0,-0.00011855794542039059,0.00880338069310028,-0.3514925225167917,-0.004718076149721501,-0.00016258204941675,0.004300533621361825,0.3223341700084872
future_mid_return_1e_bps,5111.0,-0.004591181629127166,0.29827461964673757,-2.437093531938439,0.0,0.0,0.0,3.306886308442891
future_mid_return_5e_bps,5075.0,-0.019418989458745373,0.8072460137218377,-4.422275680470156,-0.12924279892356774,0.0,0.0,5.330468879349848
future_mid_return_10e_bps,5030.0,-0.03379728325044496,1.1967512600132022,-4.564269511243557,-0.5644999725260003,0.0,0.4798962543201002,6.800386055170193
