evaluation_method,model,algorithm,feature_set,threshold,role,n_features,run_name,row_in_run,event_time,target_horizon,target_label,signal,predicted_proba_up,future_mid_return_bps,signed_return_bps,is_correct_signal,is_positive_signed_return,cooldown_trade_id
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1194,1782915275506,50,up,up,0.9415635979420585,3.7543268617090675,3.7543268617090675,True,True,24
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1245,1782915280708,50,down,up,0.9296222349668083,-4.253299851801895,-4.253299851801895,False,False,25
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1296,1782915285910,50,down,up,0.9296959417269766,-1.03457568630283,-1.03457568630283,False,False,26
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1347,1782915291112,50,up,up,0.8786982313827713,4.3891819182384495,4.3891819182384495,True,True,27
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1398,1782915296314,50,up,up,0.9253255228538388,0.38367640398551117,0.38367640398551117,True,True,28
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1449,1782915301516,50,down,up,0.9039337192847138,-4.7707496332272115,-4.7707496332272115,False,False,29
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1500,1782915306718,50,down,up,0.8696909341949559,-4.272359585816288,-4.272359585816288,False,False,30
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1551,1782915311920,50,up,up,0.9292480828704489,9.758834082289614,9.758834082289614,True,True,31
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1602,1782915317122,50,up,up,0.9254813836274471,0.4669908361387698,0.4669908361387698,True,True,32
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1653,1782915322326,50,up,up,0.9420198082002336,3.6358208407594184,3.6358208407594184,True,True,33
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1704,1782915327528,50,down,up,0.9313438589482144,-11.17054843224663,-11.17054843224663,False,False,34
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1757,1782915332934,50,up,up,0.8897508723356581,0.6342736440090313,0.6342736440090313,True,True,35
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1809,1782915338238,50,up,up,0.8708517645281252,6.008787852234132,6.008787852234132,True,True,36
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1860,1782915343442,50,down,up,0.905538929279244,-2.9025034091911817,-2.9025034091911817,False,False,37
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1919,1782915349460,50,down,up,0.9381115402464058,-3.103949776089854,-3.103949776089854,False,False,38
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,1970,1782915354662,50,down,up,0.8936656014866038,-4.92445962402166,-4.92445962402166,False,False,39
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2021,1782915359864,50,down,up,0.8874533273929325,-2.0041569555517835,-2.0041569555517835,False,False,40
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2072,1782915365066,50,down,up,0.9257507077407015,-0.28397914924926937,-0.28397914924926937,False,False,41
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2123,1782915370270,50,up,up,0.9478797533249286,1.2361796369475542,1.2361796369475542,True,True,42
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2174,1782915375472,50,up,up,0.9482727384245245,4.092251030369809,4.092251030369809,True,True,43
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2225,1782915380674,50,up,up,0.922857007773126,2.888689445013082,2.888689445013082,True,True,44
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2276,1782915385876,50,down,up,0.9304881183754699,-6.944206803821684,-6.944206803821684,False,False,45
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2328,1782915391180,50,up,up,0.8839761110505289,0.06681973955258158,0.06681973955258158,True,True,46
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2379,1782915396382,50,down,up,0.9339339966538966,-0.10022893960237589,-0.10022893960237589,False,False,47
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2430,1782915401584,50,up,up,0.957251303512532,4.476937507464918,4.476937507464918,True,True,48
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2481,1782915406786,50,up,up,0.9153920509935178,0.40074036782966616,0.40074036782966616,True,True,49
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2532,1782915411988,50,up,up,0.930009365154643,3.606404373099892,3.606404373099892,True,True,50
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2583,1782915417190,50,down,up,0.8804055907202484,-1.2350820036033383,-1.2350820036033383,False,False,51
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2637,1782915422698,50,up,up,0.9485131169913213,1.485619950039041,1.485619950039041,True,True,52
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2691,1782915428206,50,up,up,0.8906478292573561,9.28126145029795,9.28126145029795,True,True,53
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2742,1782915433408,50,down,up,0.8972476300584705,-4.745312648551936,-4.745312648551936,False,False,54
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2795,1782915438814,50,down,up,0.8516663827830888,-0.38381021752798006,-0.38381021752798006,False,False,55
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191230,2846,1782915444018,50,up,up,0.9469984421240369,1.3683143451892477,1.3683143451892477,True,True,56
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,13,1782915470336,50,up,up,0.8798116541134268,2.985719420769417,2.985719420769417,True,True,1
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,64,1782915475538,50,up,up,0.9506816490966301,13.006514095810218,13.006514095810218,True,True,2
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,115,1782915480740,50,down,up,0.9316242278884858,-2.0483630165557543,-2.0483630165557543,False,False,3
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,166,1782915485942,50,down,up,0.8922716570397904,-3.0981591770884442,-3.0981591770884442,False,False,4
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,217,1782915491144,50,up,up,0.9311708564383966,1.4662500072892826,1.4662500072892826,True,True,5
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,268,1782915496348,50,down,up,0.9332738003329526,-4.014936898019128,-4.014936898019128,False,False,6
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,319,1782915501550,50,up,up,0.9024520594058146,3.9998833367360653,3.9998833367360653,True,True,7
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,370,1782915506752,50,up,up,0.9488876940584234,5.622586973090815,5.622586973090815,True,True,8
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,421,1782915511954,50,down,up,0.9426875092066189,-1.1821816913359928,-1.1821816913359928,False,False,9
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,472,1782915517156,50,down,up,0.9635901259713262,-1.8484180622080348,-1.8484180622080348,False,False,10
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,523,1782915522358,50,down,up,0.9557171282758701,-11.042592261025774,-11.042592261025774,False,False,11
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,574,1782915527562,50,up,up,0.8804369962144493,7.169779545952437,7.169779545952437,True,True,12
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,625,1782915532764,50,down,up,0.9562331426796523,-0.3998870319121828,-0.3998870319121828,False,False,13
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,676,1782915537966,50,down,up,0.8856466965244991,-6.21515949049023,-6.21515949049023,False,False,14
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,731,1782915543576,50,down,up,0.8773359005746822,-0.23343935370623292,-0.23343935370623292,False,False,15
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,784,1782915548982,50,down,up,0.9391105322249004,-1.2004771896834132,-1.2004771896834132,False,False,16
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,835,1782915554184,50,up,up,0.9184318411467001,2.2344896817427795,2.2344896817427795,True,True,17
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,888,1782915559590,50,up,up,0.9168892304959475,2.8675101925834667,2.8675101925834667,True,True,18
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,939,1782915564794,50,down,up,0.9442913748269379,-2.1000157501194217,-2.1000157501194217,False,False,19
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,997,1782915570712,50,up,up,0.85058856930664,0.8503805452941826,0.8503805452941826,True,True,20
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1048,1782915575916,50,down,up,0.9197213163792443,-0.4001450525814576,-0.4001450525814576,False,False,21
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1099,1782915581120,50,up,up,0.9302560195846619,3.3180021625378586,3.3180021625378586,True,True,22
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1151,1782915586424,50,up,up,0.9089100044912078,2.7168998672388867,2.7168998672388867,True,True,23
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1202,1782915591626,50,down,up,0.9044595473102452,-1.8496562722092325,-1.8496562722092325,False,False,24
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1254,1782915596932,50,down,up,0.8584637591638823,-3.3333305555582893,-3.3333305555582893,False,False,25
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1305,1782915602134,50,up,up,0.8821748174455919,9.019665705514157,9.019665705514157,True,True,26
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1356,1782915607336,50,up,up,0.9434221648316908,0.1665701947617393,0.1665701947617393,True,True,27
