model_stage,feature_set,model_role,n_features,C,n_observations,positive_class_share,predicted_positive_share,balanced_accuracy,precision_positive,recall_positive,roc_auc,average_precision,brier_score
direction,reduced_book,confirmatory_shared_stage,8,1.0,52379,0.5077798354302296,0.5121518165677085,0.6094710568432405,0.6146276000894655,0.6199195397977215,0.6541561889430786,0.6424246727650994,0.23337088457921654
move,medium_trade_flow,confirmatory_primary,24,0.03,103058,0.5082477828019174,0.29125346892041376,0.560709227221603,0.6124400319829424,0.3509612631016247,0.5914469518223063,0.5933620579133535,0.24486808231274512
move,reduced_trade_flow,exploratory_classification_benchmark,14,0.03,103058,0.5082477828019174,0.2837722447553805,0.5613859049835493,0.6163788681825954,0.3441455545161229,0.5937246649726557,0.5943021238562258,0.2449004953798297
