fold_name,model_stage,feature_set,n_features,C,n_observations,positive_class_share,balanced_accuracy,precision_positive,recall_positive,roc_auc,average_precision,brier_score
fold_1_tuesday_late,direction,reduced_book,8,1.0,28669,0.5009243433674003,0.5871212599035567,0.5854021511195292,0.6026042754682821,0.6257925964998119,0.6121739582309906,0.23968232195495448
fold_1_tuesday_late,move,medium_trade_flow,24,0.03,51479,0.5569066998193438,0.5347233810740617,0.6682655894976016,0.18465938818933342,0.5545500902231243,0.6175187470051646,0.2518073421577277
fold_1_tuesday_late,move,reduced_trade_flow,14,0.03,51479,0.5569066998193438,0.5347697117849777,0.6752881265076387,0.17576476333321706,0.550208938164026,0.6143627397465983,0.2517658296127659
fold_2_wednesday_early,direction,reduced_book,8,1.0,30223,0.48254640505575225,0.5778876893171518,0.5583795639272352,0.5935271530444323,0.606522460428391,0.581222887750978,0.24177184261033496
fold_2_wednesday_early,move,medium_trade_flow,24,0.03,51565,0.5861146126248424,0.5336744848486432,0.6370061616527728,0.34890646196605235,0.5485044256026921,0.630775650584326,0.25167582792114557
fold_2_wednesday_early,move,reduced_trade_flow,14,0.03,51565,0.5861146126248424,0.5331591196223278,0.6372718302910706,0.3419250239883532,0.5516460666463255,0.6313943373659532,0.2515256758404913
fold_3_wednesday_late,direction,reduced_book,8,1.0,21951,0.5068106236617922,0.5955052609510604,0.6001424882001959,0.605752808988764,0.6370089484947805,0.632310658810513,0.23676830948829738
fold_3_wednesday_late,move,medium_trade_flow,24,0.03,51573,0.4256296899540457,0.5332945650479168,0.5640560593569662,0.15584711402669582,0.5669743715156714,0.4943459769095342,0.24217671575428237
fold_3_wednesday_late,move,reduced_trade_flow,14,0.03,51573,0.4256296899540457,0.5331574448686219,0.5659617321248741,0.15361486948202815,0.5713268883527176,0.49771462287367,0.24201428957418078
