evaluation_method,model,algorithm,feature_set,n_signals_or_trades,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,up_share,down_share,break_even_round_trip_cost_bps,folds_with_signals
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,68,0.5882352941176471,0.6530474596713416,0.3817710222875359,0.5882352941176471,0.47058823529411764,0.5294117647058824,0.6530474596713416,4
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,127,0.5275590551181102,0.2062668331314925,0.08408795263425972,0.5275590551181102,0.4015748031496063,0.5984251968503937,0.2062668331314925,6
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,174,0.4942528735632184,0.08259548750933826,-0.025098497918318863,0.4942528735632184,0.3620689655172414,0.6379310344827587,0.08259548750933826,5
raw_selected_signal,logit_dynamic_compact,logit,dynamic_compact,554,0.6010830324909747,0.8125868513777966,0.7223963693175905,0.6010830324909747,0.4296028880866426,0.5703971119133574,0.8125868513777966,4
raw_selected_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,2738,0.5171658144631117,0.09011633145538767,0.1252664874085152,0.5171658144631117,0.08838568298027757,0.9116143170197224,0.09011633145538767,6
raw_selected_signal,xgboost_dynamic_full,xgboost,dynamic_full,5915,0.504480135249366,-0.05150846633817066,0.033407414273822766,0.504480135249366,0.09805579036348266,0.9019442096365173,-0.05150846633817066,5
