time_segment,model_stage,n_observations,positive_class_share,balanced_accuracy,precision_positive,recall_positive,roc_auc,average_precision,brier_score
early_first_12_runs,move,34317,0.6195763032899146,0.5404732843590143,0.661981865284974,0.4807167717053899,0.549060383266659,0.664865963633412,0.24802607794483048
early_first_12_runs,direction,21262,0.4746496096322077,0.5819132823147899,0.5626964014191587,0.5500396353547364,0.6139992374540973,0.5708892500830056,0.24000953994169041
middle_second_12_runs,move,34375,0.5053672727272728,0.5530549734765962,0.598187926295429,0.338245452452222,0.5853747244073044,0.5873010374952341,0.24525434693912918
middle_second_12_runs,direction,17372,0.5321782178217822,0.6171109222488347,0.6371644730023837,0.6650081124932395,0.6671002912591704,0.6790196406810247,0.23067037943400545
late_final_12_runs,move,34366,0.3999592620613397,0.5233398502153813,0.48095939406690513,0.1663150236449618,0.5468623027283672,0.44267121954756505,0.241328223654821
late_final_12_runs,direction,13745,0.5281920698435795,0.6352951078033435,0.6549507658643327,0.6596418732782369,0.6934253660173615,0.6930366720305234,0.22651472488956131
