evaluation_method,model,algorithm,feature_set,threshold,run_name,signal,episode_id,episode_start_row,episode_end_row,episode_duration_events,n_raw_signals_in_episode,target_label,predicted_proba_up,future_mid_return_bps,signed_return_bps,is_correct_signal,is_positive_signed_return,mean_raw_signed_return_bps_in_episode,max_raw_signed_return_bps_in_episode,min_raw_signed_return_bps_in_episode,cooldown_trade_id
episode_first_signal,hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,0.9,20260610_201605,down,2.0,118,135,17,6,up,0.0754657703019149,3.814366423231519,-3.814366423231519,False,False,-5.142807386551522,-3.814366423231519,-5.964730500058746,
episode_first_signal,hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,0.9,20260610_201605,up,2.0,144,144,0,1,up,0.9218565945792664,3.5149356483965555,3.5149356483965555,True,True,3.5149356483965555,3.5149356483965555,3.5149356483965555,
episode_first_signal,hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,0.9,20260610_201605,up,3.0,479,510,31,6,up,0.9112266970646344,1.4537290168359362,1.4537290168359362,True,True,1.254566393970406,2.4228816947258203,-0.7588570321415133,
episode_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201249,up,1.0,84,208,124,21,up,0.7529421309047927,4.183603665741664,4.183603665741664,True,True,2.2727668508394836,4.280320620242417,-1.631101389100165,
episode_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201249,up,2.0,269,273,4,5,up,0.7664581302194213,0.6536939356571736,0.6536939356571736,True,True,-0.256604298765728,0.6536939356571736,-1.2749965905933802,
episode_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201249,down,1.0,500,509,9,8,down,0.2407260540496226,-3.8702966824299967,3.8702966824299967,True,True,2.570338439256692,3.8702966824299967,1.6451997667699114,
episode_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201428,up,1.0,40,147,107,18,down,0.7508006027612055,-2.567611757724464,-2.567611757724464,False,False,2.217283331537281,5.895716882828861,-2.567611757724464,
episode_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201428,down,1.0,473,473,0,1,down,0.2361750201760576,-2.7474902888335877,2.7474902888335877,True,True,2.7474902888335877,2.7474902888335877,2.7474902888335877,
episode_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201605,up,1.0,11,38,27,25,up,0.78499991270366,10.12647580039161,10.12647580039161,True,True,7.745134235457929,10.12647580039161,2.7637859989182445,
episode_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201605,up,2.0,144,151,7,6,up,0.7598239195666373,3.5149356483965555,3.5149356483965555,True,True,2.918337406471553,3.5149356483965555,2.0200763265632027,
episode_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201605,up,3.0,324,347,23,8,up,0.758308271737204,1.1629155909020916,1.1629155909020916,True,True,-0.1291802291031321,1.1629155909020916,-1.938105001684232,
episode_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,20260610_201605,up,4.0,481,514,33,9,up,0.7743847731931457,1.4537290168359362,1.4537290168359362,True,True,-0.17009423649054037,1.5021866507303194,-1.6790184845394407,
episode_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201249,up,1.0,43,207,164,40,up,0.7623004056699282,0.7753396755050268,0.7753396755050268,True,True,2.089735838247092,4.280320620242417,-2.599820596230762,
episode_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201249,up,2.0,269,269,0,1,up,0.8485071834534857,0.6536939356571736,0.6536939356571736,True,True,0.6536939356571736,0.6536939356571736,0.6536939356571736,
episode_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201249,down,1.0,500,507,7,8,down,0.2498975729931878,-3.8702966824299967,3.8702966824299967,True,True,2.7920616629867334,3.8702966824299967,1.9838501693136836,
episode_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201428,up,1.0,40,145,105,18,down,0.7522559305274188,-2.567611757724464,-2.567611757724464,False,False,3.015990654496746,5.895716882828861,-2.567611757724464,
episode_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201605,up,1.0,11,37,26,27,up,0.832721856488557,10.12647580039161,10.12647580039161,True,True,7.870477940772831,10.12647580039161,3.1760604243480373,
episode_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201605,down,1.0,135,135,0,1,up,0.2397624557113996,4.719470320269092,-4.719470320269092,False,False,-4.719470320269092,-4.719470320269092,-4.719470320269092,
episode_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201605,up,2.0,144,144,0,1,up,0.7736874920290562,3.5149356483965555,3.5149356483965555,True,True,3.5149356483965555,3.5149356483965555,3.5149356483965555,
episode_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201605,up,3.0,319,353,34,16,up,0.7508692211122812,1.1629155909020916,1.1629155909020916,True,True,-1.258745673933387,1.1629155909020916,-2.5356873772031108,
episode_first_signal,lightgbm_dynamic_full,lightgbm,dynamic_full,0.75,20260610_201605,up,4.0,479,510,31,8,up,0.7790857724970723,1.4537290168359362,1.4537290168359362,True,True,1.4557871556070134,2.665169864197736,-0.7588570321415133,
episode_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,1.0,12,108,96,18,up,0.6622717088498636,3.3770982646719183,3.3770982646719183,True,True,1.7896536374170344,4.183603665741664,-1.631101389100165,
episode_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,down,1.0,151,161,10,4,up,0.2294397825604838,0.7348464170986446,-0.7348464170986446,False,False,-1.9806331262367527,-0.7348464170986446,-3.763451715157462,
episode_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,2.0,179,208,29,3,up,0.6555761462918358,4.215684770152439,4.215684770152439,True,True,3.095526848175082,4.215684770152439,2.3900670106957733,
episode_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,3.0,259,310,51,19,up,0.6572705692754126,3.697260555961535,3.697260555961535,True,True,2.0474855771547342,4.682120354710939,-1.2749965905933802,
episode_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,down,2.0,280,348,68,5,up,0.3173560571018835,2.1310997685675126,-2.1310997685675126,False,False,-1.2881320731916723,-0.032282614925716,-2.534348902361039,
episode_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,4.0,366,431,65,8,up,0.650547860239253,0.9359450503443334,0.9359450503443334,True,True,1.026559342269806,1.51661459354413,-0.5486344247129793,
episode_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,down,3.0,410,447,37,4,down,0.3444786788648845,-1.3230746641690327,1.3230746641690327,True,True,-3.4972118140810804,1.3230746641690327,-5.179269690702704,
