evaluation_method,model,run_name,n_signals_or_trades,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,up_count,down_count
cooldown_first_signal,lightgbm_dynamic_compact,20260701_194351,34,0.5588235294117647,0.35027778275295085,0.07568934238255665,0.5588235294117647,34,0
cooldown_first_signal,lightgbm_dynamic_compact,20260701_194906,2,1.0,4.04046919973311,4.04046919973311,1.0,2,0
cooldown_first_signal,lightgbm_dynamic_compact,20260701_195416,9,0.5555555555555556,0.4869953319259274,0.2016933840365276,0.5555555555555556,9,0
cooldown_first_signal,lightgbm_dynamic_compact,20260701_195929,5,0.6,0.6631074117087188,1.3684047926076914,0.6,5,0
cooldown_first_signal,lightgbm_dynamic_compact,20260701_200443,54,0.5,-0.03273573200967283,0.0418436948329548,0.5,0,54
cooldown_first_signal,lightgbm_dynamic_compact,20260701_200954,23,0.4782608695652174,0.011945185968625685,-0.016713953225888645,0.4782608695652174,1,22
cooldown_first_signal,logit_dynamic_compact,20260701_194351,45,0.5333333333333333,0.10367823800628963,0.1344073601461382,0.5333333333333333,19,26
cooldown_first_signal,logit_dynamic_compact,20260701_194906,8,0.625,1.6844862285134155,2.228644186945683,0.625,8,0
cooldown_first_signal,logit_dynamic_compact,20260701_195929,6,0.6666666666666666,1.2270299261579742,0.9233747431991457,0.6666666666666666,5,1
cooldown_first_signal,logit_dynamic_compact,20260701_200443,9,0.7777777777777778,2.1004041291458915,2.2727747488038297,0.7777777777777778,0,9
cooldown_first_signal,xgboost_dynamic_full,20260701_194351,40,0.55,0.6080244504823307,0.11751314103247701,0.55,40,0
cooldown_first_signal,xgboost_dynamic_full,20260701_195416,15,0.4,0.1971622688315596,-0.23530341114352815,0.4,15,0
cooldown_first_signal,xgboost_dynamic_full,20260701_195929,8,0.75,1.3727681297104333,0.8648570551772483,0.75,8,0
cooldown_first_signal,xgboost_dynamic_full,20260701_200443,54,0.5,-0.14427311551414276,-0.15861332300359798,0.5,0,54
cooldown_first_signal,xgboost_dynamic_full,20260701_200954,57,0.43859649122807015,-0.28242445658002663,-0.25077133081863323,0.43859649122807015,0,57
raw_selected_signal,lightgbm_dynamic_compact,20260701_194351,147,0.6190476190476191,0.9688993013632384,0.7558102916171983,0.6190476190476191,147,0
raw_selected_signal,lightgbm_dynamic_compact,20260701_194906,13,1.0,1.9321460753084752,1.5945550142459908,1.0,13,0
raw_selected_signal,lightgbm_dynamic_compact,20260701_195416,45,0.5777777777777777,0.5624499931886133,0.6714152510300941,0.5777777777777777,45,0
raw_selected_signal,lightgbm_dynamic_compact,20260701_195929,11,0.7272727272727273,1.842532870296757,3.4576144306730505,0.7272727272727273,11,0
raw_selected_signal,lightgbm_dynamic_compact,20260701_200443,2463,0.5050751116524563,0.009045494386504446,0.050034064860149385,0.5050751116524563,22,2441
raw_selected_signal,lightgbm_dynamic_compact,20260701_200954,59,0.576271186440678,0.1921229712666611,0.050089116887530594,0.576271186440678,4,55
raw_selected_signal,logit_dynamic_compact,20260701_194351,463,0.5961123110151187,0.7471770550218738,0.672110199188003,0.5961123110151187,158,305
raw_selected_signal,logit_dynamic_compact,20260701_194906,38,0.5526315789473685,0.557629856829915,1.3912281815109395,0.5526315789473685,38,0
raw_selected_signal,logit_dynamic_compact,20260701_195929,42,0.6428571428571429,1.2777261972857221,2.131636081046384,0.6428571428571429,41,1
raw_selected_signal,logit_dynamic_compact,20260701_200443,11,0.8181818181818182,2.6705185766031447,2.390766625232077,0.8181818181818182,1,10
raw_selected_signal,xgboost_dynamic_full,20260701_194351,409,0.5990220048899756,0.7807893984313,0.7217822987093392,0.5990220048899756,409,0
raw_selected_signal,xgboost_dynamic_full,20260701_195416,91,0.5604395604395604,0.7762412741241351,0.7895052909456801,0.5604395604395604,91,0
raw_selected_signal,xgboost_dynamic_full,20260701_195929,68,0.6911764705882353,1.190813545180796,0.4784037850436018,0.6911764705882353,68,0
raw_selected_signal,xgboost_dynamic_full,20260701_200443,2563,0.500585251658213,0.02138712763122611,0.01668500626994529,0.500585251658213,5,2558
raw_selected_signal,xgboost_dynamic_full,20260701_200954,2784,0.48778735632183906,-0.2982916406196494,-0.05843071113731391,0.48778735632183906,7,2777
