excluded_run_name,remaining_signals,remaining_runs,mean_net_bps,median_net_bps,total_net_bps,model
20260708_185955,220,67,0.14439906102702987,-0.20303195012905023,31.767793425946575,two_stage_sensitivity_0p65_0p65
20260708_190508,221,67,0.1514619976415605,-0.1937861462432124,33.47310147878487,two_stage_sensitivity_0p65_0p65
20260708_191023,221,67,0.08653687114420949,-0.2211287116594675,19.1246485228703,two_stage_sensitivity_0p65_0p65
20260708_191538,222,67,0.07253977650930528,-0.2167032328371778,16.103830385065773,two_stage_sensitivity_0p65_0p65
20260708_192052,221,67,0.10694449187627686,-0.2122777540148881,23.634732704657186,two_stage_sensitivity_0p65_0p65
20260708_192607,224,67,0.0889444150128172,-0.2167032328371778,19.923548962871052,two_stage_sensitivity_0p65_0p65
20260708_193122,224,67,0.1216790956194939,-0.20303195012905023,27.256117418766635,two_stage_sensitivity_0p65_0p65
20260708_194153,224,67,0.06026427473494733,-0.2167032328371778,13.499197540628202,two_stage_sensitivity_0p65_0p65
20260708_195223,219,67,0.11487926531546225,-0.2211287116594675,25.158559104086233,two_stage_sensitivity_0p65_0p65
20260708_201318,221,67,0.12530868468544518,-0.1937861462432124,27.693219315483386,two_stage_sensitivity_0p65_0p65
20260708_202345,223,67,0.08490396407168381,-0.2211287116594675,18.93358398798549,two_stage_sensitivity_0p65_0p65
20260708_203410,223,67,0.1066332968964443,-0.2122777540148881,23.77922520790708,two_stage_sensitivity_0p65_0p65
20260708_210018,223,67,0.12087489530678452,-0.1937861462432124,26.95510165341295,two_stage_sensitivity_0p65_0p65
20260708_213144,224,67,0.0951119721806146,-0.2167032328371778,21.30508176845767,two_stage_sensitivity_0p65_0p65
20260708_213658,221,67,0.06760985378176855,-0.2211287116594675,14.941777685770848,two_stage_sensitivity_0p65_0p65
20260708_214213,224,67,0.11008238969521988,-0.20303195012905023,24.658455291729254,two_stage_sensitivity_0p65_0p65
20260708_215758,224,67,0.11727175615649957,-0.20303195012905023,26.268873379055904,two_stage_sensitivity_0p65_0p65
20260709_190039,218,67,0.1164425978281497,-0.2167032328371778,25.384486326536635,two_stage_sensitivity_0p65_0p65
20260709_190555,218,67,0.05471873997681259,-0.2167032328371778,11.928685314945145,two_stage_sensitivity_0p65_0p65
20260709_192139,223,67,0.09445682678187764,-0.2122777540148881,21.063872372358713,two_stage_sensitivity_0p65_0p65
20260709_192655,223,67,0.11455106592551391,-0.1937861462432124,25.5448877013896,two_stage_sensitivity_0p65_0p65
20260709_193210,222,67,0.09621792200076498,-0.2234173213367931,21.360378684169827,two_stage_sensitivity_0p65_0p65
20260709_193725,223,67,0.11141383682014115,-0.1937861462432124,24.845285610891477,two_stage_sensitivity_0p65_0p65
20260709_194237,222,67,0.10383019827275142,-0.2167032328371778,23.050304016550815,two_stage_sensitivity_0p65_0p65
20260709_194752,224,67,0.10893559156466963,-0.20303195012905023,24.401572510485998,two_stage_sensitivity_0p65_0p65
20260709_200334,222,67,0.09074581779731294,-0.2167032328371778,20.145571551003474,two_stage_sensitivity_0p65_0p65
20260709_200849,223,67,0.11148759798904788,-0.2122777540148881,24.861734351557676,two_stage_sensitivity_0p65_0p65
20260709_201404,223,67,0.09084629064628441,-0.2211287116594675,20.258722814121423,two_stage_sensitivity_0p65_0p65
20260709_201919,218,67,0.03440870468838196,-0.2167032328371778,7.501097622067267,two_stage_sensitivity_0p65_0p65
20260709_202431,223,67,0.06845789421971397,-0.2122777540148881,15.266110410996216,two_stage_sensitivity_0p65_0p65
20260709_202947,221,67,0.13194781543339065,-0.1937861462432124,29.160467210779334,two_stage_sensitivity_0p65_0p65
20260709_203501,223,67,0.09180329933466401,-0.2211287116594675,20.472135751630073,two_stage_sensitivity_0p65_0p65
20260709_205559,223,67,0.07093601025679708,-0.2211287116594675,15.818730287265748,two_stage_sensitivity_0p65_0p65
20260709_211653,222,67,0.07483061337993549,-0.2234173213367931,16.61239617034568,two_stage_sensitivity_0p65_0p65
20260709_212207,223,67,0.11827651626336667,-0.1937861462432124,26.375663126730768,two_stage_sensitivity_0p65_0p65
20260709_212722,221,67,0.10919090572611675,-0.2122777540148881,24.131190165471804,two_stage_sensitivity_0p65_0p65
20260709_213235,224,67,0.12214021113660288,-0.20303195012905023,27.359407294599045,two_stage_sensitivity_0p65_0p65
20260717_185958,206,67,0.13112765270188,-0.18368273873148228,27.012296456587283,two_stage_sensitivity_0p65_0p65
20260717_190514,219,67,0.05980080495737613,-0.2211287116594675,13.096376285665372,two_stage_sensitivity_0p65_0p65
20260717_191029,219,67,0.19874175738139446,-0.0708697997254805,43.524444866525386,two_stage_sensitivity_0p65_0p65
20260717_191545,220,67,0.10763517629329386,-0.2167032328371778,23.67973878452465,two_stage_sensitivity_0p65_0p65
20260717_192100,223,67,0.10718411061435452,-0.2122777540148881,23.90205666700106,two_stage_sensitivity_0p65_0p65
20260717_192613,222,67,0.11615856467332838,-0.2167032328371778,25.787201357478903,two_stage_sensitivity_0p65_0p65
20260717_193127,215,67,0.11672742553598585,-0.2122777540148881,25.09639649023696,two_stage_sensitivity_0p65_0p65
20260717_193639,214,67,0.205677736152049,0.02434075135771075,44.01503553653849,two_stage_sensitivity_0p65_0p65
20260717_194153,222,67,0.13103409185893164,-0.20303195012905023,29.089568392682825,two_stage_sensitivity_0p65_0p65
20260717_194705,223,67,0.08211284277446931,-0.2211287116594675,18.311163938706656,two_stage_sensitivity_0p65_0p65
20260717_195219,224,67,0.08358834772378075,-0.2167032328371778,18.723789890126888,two_stage_sensitivity_0p65_0p65
20260717_195732,223,67,0.08152690002851692,-0.2211287116594675,18.180498706359273,two_stage_sensitivity_0p65_0p65
20260717_200247,214,67,0.11162410755335311,-0.2234173213367931,23.887559016417566,two_stage_sensitivity_0p65_0p65
20260717_200802,224,67,0.11553249444397529,-0.20303195012905023,25.879278755450464,two_stage_sensitivity_0p65_0p65
20260717_201317,222,67,0.12988851184612338,-0.18368273873148228,28.835249629839392,two_stage_sensitivity_0p65_0p65
