regime,n_runs,mean_trades_per_run,median_trades_per_run,mean_share_rows_with_trades,median_share_rows_with_trades,mean_trade_volume_per_run,median_trade_volume_per_run
Saturday Day 25,24,1780.5,1437.5,0.2568071692403888,0.25115912987630284,189.8925416666667,126.05950000000001
Tuesday Day 28,36,12433.055555555555,11357.5,0.5907006961177428,0.5790106492614222,1166.1213888888888,958.1855
Wednesday Day 29,36,7825.083333333333,8090.5,0.4909235419938981,0.48807984058611753,735.9970833333333,699.6089999999999
Thursday Day 30,34,6736.911764705882,6855.5,0.463401700531892,0.46686126373626374,484.55911764705877,438.15649999999994
