model,feature_set,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,n_test,up_share_test,roc_auc
majority_baseline,none,0.4454621149042465,0.5,0.0,0.0,0.0,0.4454621149042465,1.0,0.6163594470046083,1201,0.5545378850957535,
logit_signal,"imbalance_5,microprice_deviation_bps",0.6344712739383847,0.6349414835396143,0.6851549755301795,0.6306306306306306,0.656763096168882,0.5816326530612245,0.6392523364485981,0.6090828138913624,1201,0.5545378850957535,0.7043725968959613
logit_full,"spread_bps,event_gap_ms,transaction_lag_ms,best_bid_qty,best_ask_qty,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,imbalance_1,imbalance_5,imbalance_10,microprice_deviation_bps,quote_changed",0.6425,0.6424823700104598,0.691437802907916,0.6426426426426426,0.666147859922179,0.5903614457831325,0.6423220973782772,0.6152466367713004,1200,0.555,0.7016145358841988
