model,algorithm,feature_set,n_features,horizon,threshold,signal_group,n_signals,coverage,precision,mean_future_return_bps,median_future_return_bps,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,break_even_round_trip_cost_bps
logit_static_full,logit,static_full,14,50,0.5,up,978,0.6317829457364341,0.5879345603271984,0.48669606748646027,0.6453116895799305,0.48669606748646027,0.6453116895799305,0.5879345603271984,0.48669606748646027
logit_static_full,logit,static_full,14,50,0.5,down,570,0.3682170542635659,0.41403508771929826,0.7146146122752025,0.7597144443538539,-0.7146146122752025,-0.7597144443538539,0.41403508771929826,-0.7146146122752025
logit_static_full,logit,static_full,14,50,0.5,both,1548,1.0,0.5239018087855297,0.5706195626606096,0.6864347917201474,0.04435298772925887,0.1129222586704337,0.5239018087855297,0.04435298772925887
logit_static_full,logit,static_full,14,50,0.55,up,694,0.4483204134366925,0.6167146974063401,0.6488940598053218,0.7905182976752911,0.6488940598053218,0.7905182976752911,0.6167146974063401,0.6488940598053218
logit_static_full,logit,static_full,14,50,0.55,down,361,0.23320413436692505,0.46537396121883656,0.46658857739428394,0.5491058054207798,-0.46658857739428394,-0.5491058054207798,0.46537396121883656,-0.46658857739428394
logit_static_full,logit,static_full,14,50,0.55,both,1055,0.6815245478036176,0.5649289099526066,0.5865127525537723,0.7597144443538539,0.2671981052754093,0.33109561152988576,0.5649289099526066,0.2671981052754093
logit_static_full,logit,static_full,14,50,0.6,up,304,0.19638242894056848,0.6381578947368421,0.6850712970845505,0.7511336625076748,0.6850712970845505,0.7511336625076748,0.6381578947368421,0.6850712970845505
logit_static_full,logit,static_full,14,50,0.6,down,169,0.10917312661498708,0.48520710059171596,0.32328285989552163,0.4357175420688364,-0.32328285989552163,-0.4357175420688364,0.48520710059171596,-0.32328285989552163
logit_static_full,logit,static_full,14,50,0.6,both,473,0.3055555555555556,0.5835095137420718,0.5558065066301195,0.6622158225977337,0.32479253909378475,0.29069368395195916,0.5835095137420718,0.32479253909378475
logit_static_full,logit,static_full,14,50,0.65,up,52,0.03359173126614987,0.8653846153846154,2.1587904993724454,1.7921219288719037,2.1587904993724454,1.7921219288719037,0.8653846153846154,2.1587904993724454
logit_static_full,logit,static_full,14,50,0.65,down,58,0.037467700258397935,0.5172413793103449,0.061598956656449336,-0.05654640635177621,-0.061598956656449336,0.05654640635177621,0.5172413793103449,-0.061598956656449336
logit_static_full,logit,static_full,14,50,0.65,both,110,0.0710594315245478,0.6818181818181818,1.0529985950312837,1.4943983819037943,0.9880396952844827,1.053439825977609,0.6818181818181818,0.9880396952844827
logit_static_full,logit,static_full,14,50,0.7,up,33,0.02131782945736434,0.9393939393939394,2.4854388243237637,2.437931632970347,2.4854388243237637,2.437931632970347,0.9393939393939394,2.4854388243237637
logit_static_full,logit,static_full,14,50,0.7,down,10,0.006459948320413436,0.6,-0.6544744462354535,-1.2202065649452587,0.6544744462354535,1.2202065649452587,0.6,0.6544744462354535
logit_static_full,logit,static_full,14,50,0.7,both,43,0.027777777777777776,0.8604651162790697,1.75522643582162,2.0342118922300756,2.0596331550009004,2.437931632970347,0.8604651162790697,2.0596331550009004
logit_static_full,logit,static_full,14,50,0.75,up,17,0.010981912144702842,0.9411764705882353,3.1972978567034964,3.6972605559615346,3.1972978567034964,3.6972605559615346,0.9411764705882353,3.1972978567034964
logit_static_full,logit,static_full,14,50,0.75,down,1,0.0006459948320413437,0.0,2.0342118922300756,2.0342118922300756,-2.0342118922300756,-2.0342118922300756,0.0,-2.0342118922300756
logit_static_full,logit,static_full,14,50,0.75,both,18,0.011627906976744186,0.8888888888888888,3.1326819697883064,3.6165343429495067,2.906658426207187,3.6165343429495067,0.8888888888888888,2.906658426207187
logit_static_full,logit,static_full,14,50,0.8,up,17,0.010981912144702842,0.9411764705882353,3.1972978567034964,3.6972605559615346,3.1972978567034964,3.6972605559615346,0.9411764705882353,3.1972978567034964
logit_static_full,logit,static_full,14,50,0.8,down,1,0.0006459948320413437,0.0,2.0342118922300756,2.0342118922300756,-2.0342118922300756,-2.0342118922300756,0.0,-2.0342118922300756
logit_static_full,logit,static_full,14,50,0.8,both,18,0.011627906976744186,0.8888888888888888,3.1326819697883064,3.6165343429495067,2.906658426207187,3.6165343429495067,0.8888888888888888,2.906658426207187
logit_static_full,logit,static_full,14,50,0.85,up,7,0.004521963824289405,0.8571428571428571,2.065595584757369,2.130893352825236,2.065595584757369,2.130893352825236,0.8571428571428571,2.065595584757369
logit_static_full,logit,static_full,14,50,0.85,down,0,0.0,,,,,,,
logit_static_full,logit,static_full,14,50,0.85,both,7,0.004521963824289405,0.8571428571428571,2.065595584757369,2.130893352825236,2.065595584757369,2.130893352825236,0.8571428571428571,2.065595584757369
logit_static_full,logit,static_full,14,50,0.9,up,5,0.003229974160206718,0.8,2.053933405541386,2.130893352825236,2.053933405541386,2.130893352825236,0.8,2.053933405541386
logit_static_full,logit,static_full,14,50,0.9,down,0,0.0,,,,,,,
logit_static_full,logit,static_full,14,50,0.9,both,5,0.003229974160206718,0.8,2.053933405541386,2.130893352825236,2.053933405541386,2.130893352825236,0.8,2.053933405541386
logit_static_full,logit,static_full,14,50,0.95,up,3,0.001937984496124031,0.6666666666666666,2.3118040051461897,3.1760604243480373,2.3118040051461897,3.1760604243480373,0.6666666666666666,2.3118040051461897
logit_static_full,logit,static_full,14,50,0.95,down,0,0.0,,,,,,,
logit_static_full,logit,static_full,14,50,0.95,both,3,0.001937984496124031,0.6666666666666666,2.3118040051461897,3.1760604243480373,2.3118040051461897,3.1760604243480373,0.6666666666666666,2.3118040051461897
random_forest_static_full,random_forest,static_full,14,50,0.5,up,994,0.6421188630490956,0.5995975855130785,0.5808863092267746,0.7597144443538539,0.5808863092267746,0.7597144443538539,0.5995975855130785,0.5808863092267746
random_forest_static_full,random_forest,static_full,14,50,0.5,down,554,0.3578811369509044,0.43501805054151627,0.552198721348754,0.5412072871147089,-0.552198721348754,-0.5412072871147089,0.43501805054151627,-0.552198721348754
random_forest_static_full,random_forest,static_full,14,50,0.5,both,1548,1.0,0.5406976744186046,0.5706195626606096,0.6864347917201474,0.17537655022235416,0.17772248633640686,0.5406976744186046,0.17537655022235416
random_forest_static_full,random_forest,static_full,14,50,0.55,up,717,0.4631782945736434,0.601115760111576,0.7274065497212899,0.7597144443538539,0.7274065497212899,0.7597144443538539,0.601115760111576,0.7274065497212899
random_forest_static_full,random_forest,static_full,14,50,0.55,down,235,0.15180878552971577,0.39574468085106385,0.5641099555647663,0.7262416108999581,-0.5641099555647663,-0.7262416108999581,0.39574468085106385,-0.5641099555647663
random_forest_static_full,random_forest,static_full,14,50,0.55,both,952,0.6149870801033591,0.5504201680672269,0.6870969912897951,0.7597144443538539,0.40859732835340845,0.25845804473956235,0.5504201680672269,0.40859732835340845
random_forest_static_full,random_forest,static_full,14,50,0.6,up,546,0.35271317829457366,0.6227106227106227,0.9807778502322778,0.8077472655743101,0.9807778502322778,0.8077472655743101,0.6227106227106227,0.9807778502322778
random_forest_static_full,random_forest,static_full,14,50,0.6,down,8,0.00516795865633075,0.625,0.5754937066695942,-1.3307052831601496,-0.5754937066695942,1.3307052831601496,0.625,-0.5754937066695942
random_forest_static_full,random_forest,static_full,14,50,0.6,both,554,0.3578811369509044,0.6227436823104693,0.9749253716248742,0.7995624017675951,0.9583046147535503,0.8077472655743101,0.6227436823104693,0.9583046147535503
random_forest_static_full,random_forest,static_full,14,50,0.65,up,40,0.025839793281653745,0.65,2.0082019376818634,1.542921886801274,2.0082019376818634,1.542921886801274,0.65,2.0082019376818634
random_forest_static_full,random_forest,static_full,14,50,0.65,down,0,0.0,,,,,,,
random_forest_static_full,random_forest,static_full,14,50,0.65,both,40,0.025839793281653745,0.65,2.0082019376818634,1.542921886801274,2.0082019376818634,1.542921886801274,0.65,2.0082019376818634
random_forest_static_full,random_forest,static_full,14,50,0.7,up,0,0.0,,,,,,,
random_forest_static_full,random_forest,static_full,14,50,0.7,down,0,0.0,,,,,,,
random_forest_static_full,random_forest,static_full,14,50,0.7,both,0,0.0,,,,,,,
random_forest_static_full,random_forest,static_full,14,50,0.75,up,0,0.0,,,,,,,
random_forest_static_full,random_forest,static_full,14,50,0.75,down,0,0.0,,,,,,,
random_forest_static_full,random_forest,static_full,14,50,0.75,both,0,0.0,,,,,,,
random_forest_static_full,random_forest,static_full,14,50,0.8,up,0,0.0,,,,,,,
random_forest_static_full,random_forest,static_full,14,50,0.8,down,0,0.0,,,,,,,
random_forest_static_full,random_forest,static_full,14,50,0.8,both,0,0.0,,,,,,,
random_forest_static_full,random_forest,static_full,14,50,0.85,up,0,0.0,,,,,,,
random_forest_static_full,random_forest,static_full,14,50,0.85,down,0,0.0,,,,,,,
