model,threshold,signal_group,n_signals,coverage,precision,mean_future_return_bps,median_future_return_bps,mean_signed_return_bps,median_signed_return_bps,std_signed_return_bps,positive_signed_return_share,avg_predicted_proba_up
logit_full,0.5,up,619,0.5158333333333334,0.691437802907916,0.4160920168415769,0.613250899501594,0.4160920168415769,0.613250899501594,1.5164628649687824,0.691437802907916,0.7195738773765672
logit_full,0.5,down,581,0.4841666666666667,0.5903614457831325,-0.07274875024335861,-0.4034245906647804,0.07274875024335861,0.4034245906647804,1.3938061250672888,0.5903614457831325,0.284898074006197
logit_full,0.5,both,1200,1.0,0.6425,0.17941161211128728,0.2581196788020712,0.24985665193027293,0.5250688282687488,1.4678321575238822,0.6425,0.5091183425780796
logit_full,0.55,up,564,0.47,0.7127659574468085,0.4288120046704459,0.6295821269697299,0.4288120046704459,0.6295821269697299,1.516288262823744,0.7127659574468085,0.7386931231967027
logit_full,0.55,down,540,0.45,0.6,-0.11559480513865199,-0.4364669776357743,0.11559480513865199,0.4364669776357743,1.386017724827834,0.6,0.27061952359481417
logit_full,0.55,both,1104,0.92,0.657608695652174,0.16252606508990888,0.2909347166735188,0.2756079396820684,0.5488182276508491,1.4617882212552589,0.657608695652174,0.5097440799131703
logit_full,0.6,up,511,0.42583333333333334,0.7181996086105675,0.42253609057240205,0.6136430615955035,0.42253609057240205,0.6136430615955035,1.5564316188325447,0.7181996086105675,0.7553195678430463
logit_full,0.6,down,480,0.4,0.6083333333333333,-0.14031419191829161,-0.4686210289123194,0.14031419191829161,0.4686210289123194,1.3917648464586578,0.6083333333333333,0.2514292935369795
logit_full,0.6,both,991,0.8258333333333333,0.6649848637739657,0.14991435939628403,0.2581196788020712,0.28583930817686926,0.5489719289653028,1.4849432062330254,0.6649848637739657,0.5112556610146789
logit_full,0.65,up,456,0.38,0.7302631578947368,0.4271601148057638,0.6134469805485487,0.4271601148057638,0.6134469805485487,1.5929103016055184,0.7302631578947368,0.7707756618998314
logit_full,0.65,down,414,0.345,0.6400966183574879,-0.20987614999607557,-0.5486616030098146,0.20987614999607557,0.5486616030098146,1.4083324014355085,0.6400966183574879,0.23219184649188854
logit_full,0.65,both,870,0.725,0.6873563218390805,0.12401871983109544,0.2420606135911107,0.32376291775839494,0.5493338115769575,1.5109455960852527,0.6873563218390805,0.5144840531884654
logit_full,0.7,up,369,0.3075,0.7425474254742548,0.46590890252116757,0.6948433734166315,0.46590890252116757,0.6948433734166315,1.556129297168155,0.7425474254742548,0.7923717768797383
logit_full,0.7,down,355,0.29583333333333334,0.6647887323943662,-0.2770774097137891,-0.5489719289653028,0.2770774097137891,0.5489719289653028,1.3944724021561776,0.6647887323943662,0.21688356003315679
logit_full,0.7,both,724,0.6033333333333334,0.7044198895027625,0.10159931572087803,0.1614850162101611,0.37331887497058835,0.5810626829449994,1.481069831515862,0.7044198895027625,0.510191781050268
logit_full,0.75,up,279,0.2325,0.7741935483870968,0.6261244934440072,0.7432847855270985,0.6261244934440072,0.7432847855270985,1.4737360479047374,0.7741935483870968,0.8131514983087808
logit_full,0.75,down,254,0.21166666666666667,0.7440944881889764,-0.5272935694447555,-0.6783400373244763,0.5272935694447555,0.6783400373244763,1.1993818312583937,0.7440944881889764,0.19424148594646345
logit_full,0.75,both,533,0.44416666666666665,0.7598499061913696,0.07646560418744858,0.0646338773613308,0.5790268298496172,0.7432523592210138,1.3496247281931812,0.7598499061913696,0.5182112672768322
logit_signal,0.5,up,613,0.5104079933388843,0.6851549755301795,0.3864341686681257,0.597924233303182,0.3864341686681257,0.597924233303182,1.4977890294486014,0.6851549755301795,0.7142685550815234
logit_signal,0.5,down,588,0.48959200666111574,0.5816326530612245,-0.03911116749830379,-0.3956816271644126,0.03911116749830379,0.3956816271644126,1.4266828321114393,0.5816326530612245,0.2912938093778312
logit_signal,0.5,both,1201,1.0,0.6344712739383847,0.17809057360912442,0.2581196788020712,0.21638760356583156,0.4846922083312499,1.4730755596042977,0.6344712739383847,0.5071835005654777
logit_signal,0.55,up,568,0.47293921731890093,0.7059859154929577,0.4073122394197239,0.613250899501594,0.4073122394197239,0.613250899501594,1.5260079900615864,0.7059859154929577,0.7291048324976083
logit_signal,0.55,down,534,0.4446294754371357,0.601123595505618,-0.1250318190404276,-0.45224717357628114,0.1250318190404276,0.45224717357628114,1.3892467826882862,0.601123595505618,0.2725092156975462
logit_signal,0.55,both,1102,0.9175686927560366,0.6551724137931034,0.14935241435827115,0.25018905439488925,0.27052662736659855,0.5483512770543264,1.4674791969806797,0.6551724137931034,0.5078506951371426
logit_signal,0.6,up,512,0.42631140716069943,0.71484375,0.42133404939561236,0.6134469805485487,0.42133404939561236,0.6134469805485487,1.5630644035393109,0.71484375,0.7460674463523321
logit_signal,0.6,down,475,0.395503746877602,0.6105263157894737,-0.14189987922577438,-0.4687758887544913,0.14189987922577438,0.4687758887544913,1.392400819369078,0.6105263157894737,0.2534319066927469
logit_signal,0.6,both,987,0.8218151540383014,0.6646403242147924,0.1502741546690078,0.2422584299877073,0.2868545855347481,0.5489719289653028,1.4892044906689736,0.6646403242147924,0.5089834733651963
logit_signal,0.65,up,443,0.3688592839300583,0.7291196388261851,0.42919173669232924,0.613250899501594,0.42919173669232924,0.613250899501594,1.5685798855030606,0.7291196388261851,0.7651904127536349
logit_signal,0.65,down,403,0.33555370524562866,0.6352357320099256,-0.22048807289411954,-0.5483512770543264,0.22048807289411954,0.5483512770543264,1.389844826813199,0.6352357320099256,0.23181544060663406
logit_signal,0.65,both,846,0.704412989175687,0.6843971631205674,0.11971069264582941,0.22602422118711546,0.32977379755441133,0.549317836572305,1.488909014298412,0.6843971631205674,0.5111122640831368
logit_signal,0.7,up,364,0.30308076602830974,0.75,0.4554602239989918,0.6461038749394632,0.4554602239989918,0.6461038749394632,1.5805416354794204,0.75,0.784487852362721
logit_signal,0.7,down,339,0.28226477935054123,0.696165191740413,-0.3945026273053861,-0.5654587122239096,0.3945026273053861,0.5654587122239096,1.3017169868183873,0.696165191740413,0.21485794245044124
logit_signal,0.7,both,703,0.585345545378851,0.7240398293029872,0.04559193581665315,0.096791444281763,0.4260653089504395,0.5977773990073487,1.4520820699389756,0.7240398293029872,0.5098014519925036
logit_signal,0.75,up,262,0.21815154038301415,0.7595419847328244,0.5566836101719093,0.7432847855270985,0.5566836101719093,0.7432847855270985,1.64442557722489,0.7595419847328244,0.8072215796383636
logit_signal,0.75,down,243,0.20233139050791007,0.7613168724279835,-0.6466706186189988,-0.7434385487425921,0.6466706186189988,0.7434385487425921,1.0884020182126937,0.7613168724279835,0.19227674200218112
logit_signal,0.75,both,505,0.42048293089092426,0.7603960396039604,-0.022356147444309846,0.0322791761386831,0.5999842894840731,0.7432847855270985,1.4039895178247022,0.7603960396039604,0.5113174300431312
