specification,outcome_bucket,n_signals,n_runs,mean_move_probability,mean_direction_confidence,mean_abs_return_bps,mean_signed_return_bps,mean_net_return_bps,total_net_return_bps,share_within_specification
primary_0p75_0p65,correct_direction_below_cost,8,7,0.8218713681138778,0.6651306348411696,0.5202166694036336,0.5202166694036336,-0.47978333059636635,-3.838266644770931,0.26666666666666666
primary_0p75_0p65,profitable_after_cost,12,9,0.7863964095931334,0.6708748088788262,4.4743467985645475,4.4743467985645475,3.474346798564547,41.69216158277457,0.4
primary_0p75_0p65,wrong_direction,10,8,0.8293681743257245,0.6751798805879813,3.127836043245291,-3.127836043245291,-4.127836043245291,-41.278360432452914,0.3333333333333333
sensitivity_0p65_0p65,correct_direction_below_cost,17,9,0.7257784215252676,0.6693597758880079,0.5106244724939479,0.5106244724939479,-0.48937552750605207,-8.319383967602885,0.1827956989247312
sensitivity_0p65_0p65,profitable_after_cost,46,21,0.7008246343806251,0.6645006983471373,3.3063470784498667,3.3063470784498667,2.3063470784498667,106.09196560869387,0.4946236559139785
sensitivity_0p65_0p65,wrong_direction,30,16,0.7095531732834934,0.6667872107996342,2.076536790795336,-2.076536790795336,-3.076536790795336,-92.29610372386007,0.3225806451612903
