move_feature_set,n_features,C,feature,coefficient,absolute_coefficient
medium_trade_flow,24,0.03,trade_imbalance_rolling_20e,0.025118653897534555,0.025118653897534555
medium_trade_flow,24,0.03,trade_imbalance_rolling_5e,0.01697781783034055,0.01697781783034055
medium_trade_flow,24,0.03,signed_trade_volume_rolling_sum_5e,0.015307076792674415,0.015307076792674415
medium_trade_flow,24,0.03,trade_count,0.015136238572510076,0.015136238572510076
medium_trade_flow,24,0.03,trade_imbalance,0.013144864464368775,0.013144864464368775
medium_trade_flow,24,0.03,trade_intensity_per_second,0.010365321119533274,0.010365321119533274
medium_trade_flow,24,0.03,buy_trade_volume,-0.008620689752417083,0.008620689752417083
medium_trade_flow,24,0.03,buy_trade_count,-0.008067963900308095,0.008067963900308095
medium_trade_flow,24,0.03,trade_volume,-0.007226093485864158,0.007226093485864158
medium_trade_flow,24,0.03,signed_trade_volume,-0.00619609894250708,0.00619609894250708
medium_trade_flow,24,0.03,trade_volume_rolling_sum_5e,0.004847900704922299,0.004847900704922299
medium_trade_flow,24,0.03,trade_count_rolling_sum_20e,0.0024929212197229013,0.0024929212197229013
medium_trade_flow,24,0.03,sell_trade_volume,-0.0012189396046536796,0.0012189396046536796
reduced_trade_flow,14,0.03,trade_count_rolling_sum_50e,0.5369160828703283,0.5369160828703283
reduced_trade_flow,14,0.03,trade_volume_rolling_sum_50e,-0.28063717975661073,0.28063717975661073
reduced_trade_flow,14,0.03,trade_count_rolling_sum_20e,-0.09824811580958617,0.09824811580958617
reduced_trade_flow,14,0.03,signed_trade_volume_rolling_sum_50e,0.06967421246535427,0.06967421246535427
reduced_trade_flow,14,0.03,trade_count_rolling_sum_10e,0.06516695320543114,0.06516695320543114
reduced_trade_flow,14,0.03,signed_trade_volume_rolling_sum_20e,-0.060755622728315195,0.060755622728315195
reduced_trade_flow,14,0.03,trade_volume_rolling_sum_20e,0.04806052531282593,0.04806052531282593
reduced_trade_flow,14,0.03,signed_trade_volume,-0.031919195774905235,0.031919195774905235
reduced_trade_flow,14,0.03,trade_volume_rolling_sum_10e,-0.031042529753627025,0.031042529753627025
reduced_trade_flow,14,0.03,signed_trade_volume_rolling_sum_10e,0.02577563620913826,0.02577563620913826
reduced_trade_flow,14,0.03,trade_intensity_per_second,0.019116418575519642,0.019116418575519642
reduced_trade_flow,14,0.03,trade_count,0.014646891076014596,0.014646891076014596
reduced_trade_flow,14,0.03,trade_imbalance,0.012500626826754084,0.012500626826754084
reduced_trade_flow,14,0.03,trade_volume,0.01206447862438809,0.01206447862438809
