candidate_id,move_feature_set,C,split,probability_mean,probability_std,probability_p90,probability_p95,probability_p99,probability_max
full_trade_flow_C_0p01,full_trade_flow,0.01,validation,0.46755535371077944,0.05975489289114905,0.5401877897204301,0.5768902757655456,0.6780058511904686,0.9990228571245356
full_trade_flow_C_0p01,full_trade_flow,0.01,test,0.4625698866364314,0.05161002924785128,0.5265012342924189,0.5542294681275952,0.6274862904591875,0.969323870065795
full_trade_flow_C_0p03,full_trade_flow,0.03,validation,0.46794964972182584,0.06050412132478454,0.5415218914599461,0.5789740118489837,0.6821317391637647,0.9993584009123954
full_trade_flow_C_0p03,full_trade_flow,0.03,test,0.46254059261416786,0.05204350952262543,0.5271394829783204,0.5550297977662857,0.6288785455447641,0.9703887202267636
full_trade_flow_C_0p1,full_trade_flow,0.1,validation,0.4697012813389959,0.06178774293334126,0.544668988386592,0.5834011339128085,0.6920887012778564,0.9998314636670541
full_trade_flow_C_0p1,full_trade_flow,0.1,test,0.4629480343286918,0.052418156088296024,0.5279014126962684,0.5560342768600754,0.631091316325946,0.9735076091922346
full_trade_flow_C_0p3,full_trade_flow,0.3,validation,0.4734790006839333,0.0647932645255049,0.5517083743049331,0.5930129947215335,0.7129346763608577,0.9999905876400481
full_trade_flow_C_0p3,full_trade_flow,0.3,test,0.4639090421788978,0.05303136792281188,0.529364968719189,0.5579624248790745,0.6352572739848283,0.97905326756093
full_trade_flow_C_1,full_trade_flow,1.0,validation,0.47965556798391734,0.07109940291913457,0.5636033870732862,0.610309059792618,0.7510791391787143,0.9999999533094117
full_trade_flow_C_1,full_trade_flow,1.0,test,0.4654503811792344,0.054188258533517594,0.5318354217192468,0.5609863689054094,0.6432727070414783,0.9853145991813538
full_trade_flow_C_3,full_trade_flow,3.0,validation,0.48508380897637815,0.07826410338798999,0.5756855854294552,0.629841856774836,0.7860503583404768,0.9999999999078533
full_trade_flow_C_3,full_trade_flow,3.0,test,0.4667384171465429,0.055500989340630594,0.534452061259312,0.5640542941482066,0.6521375187142255,0.9880161223923559
full_trade_flow_C_10,full_trade_flow,10.0,validation,0.48852656968977526,0.08449673507304772,0.5847202954109104,0.6473698920869625,0.8176965697934675,0.9999999999994003
full_trade_flow_C_10,full_trade_flow,10.0,test,0.4674608472300391,0.05672413451354095,0.5364847349869573,0.5673439480275119,0.6591709754149067,0.988004098497121
reduced_trade_flow_C_0p01,reduced_trade_flow,0.01,validation,0.4671969875167287,0.057494803399584266,0.5372823009520442,0.573732101159078,0.6687559049744504,0.9848653866077486
reduced_trade_flow_C_0p01,reduced_trade_flow,0.01,test,0.46328933138535605,0.049365077021886035,0.5248448972842716,0.5507519463672013,0.6246915586222781,0.9556042811627987
reduced_trade_flow_C_0p03,reduced_trade_flow,0.03,validation,0.46685046758369625,0.0582585655110863,0.5380622335461088,0.5747995557270137,0.6705026001270645,0.9852628985966521
reduced_trade_flow_C_0p03,reduced_trade_flow,0.03,test,0.4629858786212172,0.049973055394177554,0.5254322583359281,0.5520366011922065,0.6258587688650411,0.9552507834681813
reduced_trade_flow_C_0p1,reduced_trade_flow,0.1,validation,0.46672223284852543,0.05855008988229791,0.5383431594194069,0.5752456483855688,0.6708666998035316,0.98540782978535
reduced_trade_flow_C_0p1,reduced_trade_flow,0.1,test,0.46287348361637154,0.050206464604641586,0.5257297453140298,0.5525205711900867,0.6262161239703481,0.9551089884551871
reduced_trade_flow_C_0p3,reduced_trade_flow,0.3,validation,0.46668472394339955,0.05863606461312192,0.5384461828243876,0.5753487458717483,0.6713210399124783,0.9854493074820296
reduced_trade_flow_C_0p3,reduced_trade_flow,0.3,test,0.4628405944577177,0.05027540334421737,0.5258179917517463,0.552676169476279,0.6264104814568993,0.9550666290538872
reduced_trade_flow_C_1,reduced_trade_flow,1.0,validation,0.4666715160201438,0.05866644268905771,0.5384862377605552,0.5753821246869633,0.6714271794486333,0.9854638495818768
reduced_trade_flow_C_1,reduced_trade_flow,1.0,test,0.4628290138466004,0.05029977606710863,0.525848225668321,0.5527145655403928,0.6264883241168037,0.9550515499577339
reduced_trade_flow_C_3,reduced_trade_flow,3.0,validation,0.466667717984354,0.05867516728509371,0.5384918462986342,0.5753754358043578,0.671449848491354,0.9854680790941329
reduced_trade_flow_C_3,reduced_trade_flow,3.0,test,0.4628256769593334,0.05030678029752583,0.5258519508909786,0.5527290811905161,0.6265111177518264,0.9550473878569264
reduced_trade_flow_C_10,reduced_trade_flow,10.0,validation,0.46666639341058996,0.05867821801449136,0.5384954704097885,0.5753865469305316,0.6714672623936713,0.9854695359048955
reduced_trade_flow_C_10,reduced_trade_flow,10.0,test,0.4628245154861734,0.05030922861276649,0.5258583485203052,0.5527356543632553,0.6265190913839488,0.9550458718207511
