deadzone_type,horizon,dead_zone_ticks,dead_zone_bps_approx_at_row_price,total_rows,up_count,down_count,flat_count,unknown_count,nonflat_count,up_share_total,down_share_total,flat_share_total,unknown_share_total,nonflat_share_total,up_share_nonflat,mean_abs_return_bps_nonflat,median_abs_return_bps_nonflat
ticks,1,0.0,,69904,659,663,68558,24,1322,0.009427214465552758,0.009484435797665369,0.9807450217441062,0.0003433279926756695,0.018911650263218126,0.49848714069591527,0.415067064552716,0.3354466633925801
ticks,1,0.5,,69904,659,661,68560,24,1320,0.009427214465552758,0.009455825131609063,0.9807736324101625,0.0003433279926756695,0.01888303959716182,0.49924242424242427,0.41568384313971213,0.33552972180384
ticks,1,1.0,,69904,605,621,68654,24,1226,0.008654726482032502,0.008883611810482948,0.9821183337148088,0.0003433279926756695,0.01753833829251545,0.4934747145187602,0.446348215453994,0.367643831263309
ticks,1,2.0,,69904,570,598,68712,24,1168,0.008154039826047151,0.008554589150835432,0.9829480430304417,0.0003433279926756695,0.01670862897688258,0.488013698630137,0.46715698285178037,0.38393059287267217
ticks,1,5.0,,69904,500,524,68856,24,1024,0.0071526665140764474,0.0074959945067521174,0.9850080109864958,0.0003433279926756695,0.014648661020828565,0.48828125,0.5249763261237403,0.43219258555105
ticks,1,10.0,,69904,432,462,68986,24,894,0.0061799038681620505,0.006609063859006638,0.9868677042801557,0.0003433279926756695,0.012788967727168688,0.48322147651006714,0.5832800008488709,0.48077424080972264
ticks,5,0.0,,69904,2512,2517,64755,120,5029,0.03593499656672007,0.036006523231860835,0.9263418402380408,0.0017166399633783474,0.0719415197985809,0.49950288327699344,0.5163226926394427,0.4000150405658598
ticks,5,0.5,,69904,2512,2515,64757,120,5027,0.03593499656672007,0.03597791256580453,0.9263704509040971,0.0017166399633783474,0.0719129091325246,0.4997016112989855,0.5165249323432438,0.4000150405658598
ticks,5,1.0,,69904,2333,2387,65064,120,4720,0.033374341954680704,0.03414682993820096,0.93076218814374,0.0017166399633783474,0.06752117189288166,0.49427966101694915,0.5490821333198385,0.43242446785773936
ticks,5,2.0,,69904,2212,2321,65251,120,4533,0.0316433966582742,0.03320267795834287,0.9334372854200046,0.0017166399633783474,0.06484607461661708,0.48797705713655415,0.5706571762225982,0.46329616047335875
ticks,5,5.0,,69904,1966,2084,65734,120,4050,0.028124284733348593,0.029812314030670636,0.9403467612726024,0.0017166399633783474,0.05793659876401923,0.4854320987654321,0.6322328106788819,0.5116647572500632
