run_name,row_in_run,future_return_bps,move_probability,direction_probability_up,direction_confidence,signal_direction,signed_return_bps,net_return_bps_1bps_cost,specification,move_threshold,direction_threshold
20260717_185958,16,2.5653226962174536,0.7518437895012302,0.6639518036760087,0.6639518036760087,1,2.5653226962174536,1.5653226962174536,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_185958,595,4.710237416514218,0.7698985643062055,0.6640189057143377,0.6640189057143377,1,4.710237416514218,3.710237416514218,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_185958,702,-10.621575549512041,0.8240250530288827,0.34501524792378296,0.6549847520762171,-1,10.621575549512041,9.621575549512041,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_185958,753,0.7910772811303701,0.81231992393399,0.669371529524405,0.669371529524405,1,0.7910772811303701,-0.20892271886962988,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_190514,480,0.8223105503235573,0.8011263176972423,0.6534168958208871,0.6534168958208871,1,0.8223105503235573,-0.17768944967644273,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_190514,1989,5.667873655359479,0.8390784852672981,0.6556807692000546,0.6556807692000546,1,5.667873655359479,4.667873655359479,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_190514,2056,-1.1204137009235282,0.7740784545903704,0.3378063362404395,0.6621936637595605,-1,1.1204137009235282,0.12041370092352821,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_191029,4,4.588729229495492,0.8619941131311625,0.346900485066019,0.653099514933981,-1,-4.588729229495492,-5.588729229495492,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_191029,179,-1.8431248685601975,0.773726202125062,0.3425857239255072,0.6574142760744928,-1,1.8431248685601975,0.8431248685601975,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_191545,54,1.0015851860023517,0.799039701810567,0.19846572587797265,0.8015342741220274,-1,-1.0015851860023517,-2.0015851860023517,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_191545,741,1.859686642800007,0.7637045523993596,0.3219083934639649,0.6780916065360352,-1,-1.859686642800007,-2.859686642800007,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_193127,2698,1.6272763107272326,0.8142527818256898,0.6658208772963832,0.6658208772963832,1,1.6272763107272326,0.6272763107272326,confirmatory_primary_medium_0p75_0p65,0.75,0.65
20260717_193639,1220,-7.78047219962219,0.8617146581583979,0.6505441812529419,0.6505441812529419,1,-7.78047219962219,-8.78047219962219,confirmatory_primary_medium_0p75_0p65,0.75,0.65
