evaluation_method,feature_set,horizon,n,precision,positive_signed_return_share,mean_signed_return_bps,std_signed_return_bps,min_signed_return_bps,q05_signed_return_bps,q25_signed_return_bps,median_signed_return_bps,q75_signed_return_bps,q95_signed_return_bps,max_signed_return_bps,share_signed_return_ge_0_5_bps,share_signed_return_ge_1_bps,share_signed_return_ge_2_bps,share_signed_return_ge_3_bps,up_share,down_share,runs_with_signals
cooldown_first_signal,book_only,10,135,0.9777777777777777,0.9777777777777777,0.45454977937893953,0.3960908519548436,-1.0892661629879896,0.01602013411305942,0.1441000812080206,0.4484660459158629,0.672791744223411,1.0269910420501736,2.146522593351463,0.42962962962962964,0.05185185185185185,0.007407407407407408,0.0,0.4740740740740741,0.5259259259259259,5
cooldown_first_signal,book_only,20,117,0.9658119658119658,0.9658119658119658,0.49368702333848974,0.46691808340721336,-1.0892661629879896,0.01601687210239782,0.1762087721535188,0.4805555221831792,0.7048486377603247,1.3161946332718164,2.146522593351463,0.4444444444444444,0.09401709401709402,0.008547008547008548,0.0,0.48717948717948717,0.5128205128205128,5
cooldown_first_signal,book_only,50,45,0.9111111111111111,0.9111111111111111,0.5780301645882266,0.6726477442092265,-0.9772720172573912,-0.36846164792247993,0.1440489766524333,0.56035190099335,0.880551577507882,1.6184627341853106,2.9155709913497585,0.5555555555555556,0.2222222222222222,0.022222222222222223,0.0,0.4888888888888889,0.5111111111111111,5
cooldown_first_signal,combined,10,145,0.9448275862068966,0.9448275862068966,0.41535059872326463,0.44444352891591626,-1.0892661629879896,-0.022414019195338086,0.0960886321543785,0.4167157509737951,0.6409121461659062,1.0990225740699073,2.146522593351463,0.3931034482758621,0.06206896551724138,0.006896551724137931,0.0,0.5103448275862069,0.4896551724137931,5
cooldown_first_signal,combined,20,121,0.9586776859504132,0.9586776859504132,0.47736775864222974,0.48274977061619184,-1.0892661629879896,0.0160059798348655,0.176065496364508,0.4484660459158629,0.736411801480763,1.3300056485188172,2.146522593351463,0.4297520661157025,0.10743801652892562,0.008264462809917356,0.0,0.512396694214876,0.48760330578512395,5
cooldown_first_signal,combined,50,65,0.9384615384615385,0.9384615384615385,0.6256511761883168,0.6063089990734882,-1.0092749160728332,-0.02244033178833145,0.176065496364508,0.6083304450976712,0.9763132012752253,1.8429483519764027,2.146522593351463,0.5538461538461539,0.23076923076923078,0.03076923076923077,0.0,0.4461538461538462,0.5538461538461539,5
cooldown_first_signal,trade_flow_only,10,5,1.0,1.0,0.5765231973446916,0.21290818718675866,0.3043630442389755,0.3459646267056637,0.5123709565724166,0.5763296605665325,0.5922724453244488,0.8362783930817574,0.8972798800210846,0.8,0.0,0.0,0.0,0.4,0.6,4
cooldown_first_signal,trade_flow_only,20,5,1.0,1.0,0.3554702899408735,0.21808262329344305,0.1441043315364432,0.14733985883674805,0.1602819680379674,0.3043630442389755,0.5763296605665325,0.5890838883728655,0.5922724453244488,0.4,0.0,0.0,0.0,0.4,0.6,4
cooldown_first_signal,trade_flow_only,50,21,0.6190476190476191,0.6190476190476191,0.311129999648594,0.9105780058322847,-1.456700381543552,-0.688787421780912,-0.0960886321543785,0.1280611620102512,0.672856411640943,1.5848431365483862,2.7056905154343447,0.42857142857142855,0.19047619047619047,0.047619047619047616,0.0,0.7619047619047619,0.23809523809523808,5
raw_selected_signal,book_only,10,902,0.983370288248337,0.983370288248337,0.4885447383939233,0.41896212245546893,-1.0892661629879896,0.0160195951692809,0.1440489766524333,0.4961861690500058,0.704805741748582,1.33040260689965,2.146522593351463,0.4789356984478936,0.0787139689578714,0.0022172949002217295,0.0,0.47117516629711753,0.5288248337028825,5
raw_selected_signal,book_only,20,1146,0.9773123909249564,0.9773123909249564,0.5387240732605459,0.49370564571469644,-1.0892661629879896,0.0160059798348655,0.1440489766524333,0.496649617700573,0.7689787561604433,1.472924996896996,2.739403434827148,0.49476439790575916,0.1273996509598604,0.007853403141361256,0.0,0.5322862129144852,0.4677137870855148,5
raw_selected_signal,book_only,50,420,0.9666666666666667,0.9666666666666667,0.5805788311918756,0.5273075021164502,-0.9772720172573912,0.0320173918477717,0.1440489766524333,0.5606292502702281,0.8967985093932818,1.553878328122149,2.9155709913497585,0.5547619047619048,0.1619047619047619,0.004761904761904762,0.0,0.5047619047619047,0.49523809523809526,5
raw_selected_signal,combined,10,953,0.968520461699895,0.968520461699895,0.46556539593882845,0.44074569458874663,-1.0892661629879896,0.0160059798348655,0.1440439045807817,0.4644886420512861,0.7048486377603247,1.3140320191140642,2.146522593351463,0.459601259181532,0.07869884575026233,0.002098635886673662,0.0,0.5152151101783841,0.48478488982161594,5
raw_selected_signal,combined,20,1193,0.9538977367979883,0.9538977367979883,0.5084038483353375,0.5377700541070946,-1.0892661629879896,0.0160035719964923,0.1281668219355047,0.4966329089794996,0.7689787561604433,1.488932667421672,2.739403434827148,0.4844928751047779,0.12489522212908634,0.0075440067057837385,0.0,0.5364626990779547,0.46353730092204526,5
raw_selected_signal,combined,50,564,0.9556737588652482,0.9556737588652482,0.5797746560634627,0.5723503724782955,-1.0092749160728332,0.0160035719964923,0.1440489766524333,0.5606292502702281,0.8208224361375138,1.6185858527584251,2.9155709913497585,0.5372340425531915,0.16134751773049646,0.012411347517730497,0.0,0.41312056737588654,0.5868794326241135,5
raw_selected_signal,trade_flow_only,10,18,1.0,1.0,0.5784583725991653,0.29188476821957665,0.0480249345446992,0.26573010786939966,0.3043630442389755,0.5763296605665325,0.8972798800210846,0.8972798800210846,0.8972798800210846,0.6111111111111112,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,4
raw_selected_signal,trade_flow_only,20,11,1.0,1.0,0.32899489503640017,0.1833851082206844,0.0480249345446992,0.0960646330405712,0.2322153179529218,0.3043630442389755,0.440346352402754,0.5843010529454906,0.5922724453244488,0.2727272727272727,0.0,0.0,0.0,0.6363636363636364,0.36363636363636365,4
raw_selected_signal,trade_flow_only,50,56,0.6964285714285714,0.6964285714285714,0.3372083447343576,0.8792094680883717,-1.456700381543552,-0.8928327455029472,-0.18412465472322775,0.2561292940694848,1.0892661629879896,1.472924996896996,2.7056905154343447,0.42857142857142855,0.30357142857142855,0.017857142857142856,0.0,0.8571428571428571,0.14285714285714285,5
