model_variant,n_neighbor_combinations,positive_net_combinations,share_positive_net_combinations,minimum_neighbor_net_bps,median_neighbor_net_bps,maximum_neighbor_net_bps,minimum_neighbor_signals,maximum_neighbor_signals
direction_only_full_book,3,1,0.3333333333333333,-0.2630624008869565,-0.166485436016384,0.031969790920073744,99,845
direction_only_reduced_book,3,1,0.3333333333333333,-0.2055805504308603,0.00981472631555462,0.22521000306196953,0,752
two_stage_full_move_full_direction,9,9,1.0,0.07774663509449742,1.3358367662028034,3.8966679608572483,4,65
two_stage_full_move_reduced_direction,9,6,0.6666666666666666,-0.9342673396882653,0.5056573682003884,3.4599116852338625,4,56
two_stage_reduced_move_full_direction,9,7,0.7777777777777778,-0.21460700330411672,0.43746848594381577,3.5600782562765785,8,220
two_stage_reduced_move_reduced_direction,6,2,0.3333333333333333,-0.37374956566934625,-0.0896457427936928,0.1459875302251247,0,264
