candidate_id,move_feature_set,n_features,C,split,n_observations,positive_class_share,predicted_positive_share,balanced_accuracy,precision_positive,recall_positive,roc_auc,average_precision,brier_score
full_trade_flow_C_0p01,full_trade_flow,48,0.01,validation,103138,0.5058659272043282,0.2168453916112393,0.5477738103450648,0.616007154035323,0.26405872656878904,0.5812785652770975,0.5821589558554348,0.24685381174045168
full_trade_flow_C_0p01,full_trade_flow,48,0.01,test,97306,0.4722627587199145,0.18682301194170967,0.5341365676994618,0.5633423180592992,0.22285328807067936,0.5674126263091935,0.5365957299668984,0.24579307485175222
full_trade_flow_C_0p03,full_trade_flow,48,0.03,validation,103138,0.5058659272043282,0.21995772654113904,0.5479991130756744,0.614960768756061,0.267393721010465,0.5812684592059836,0.5821471815170789,0.24681386095177066
full_trade_flow_C_0p03,full_trade_flow,48,0.03,test,97306,0.4722627587199145,0.188323433292911,0.5341169739135696,0.5625648021828104,0.22433302868085478,0.5672968243140354,0.5364983747046457,0.24579558915003077
full_trade_flow_C_0p1,full_trade_flow,48,0.1,validation,103138,0.5058659272043282,0.22835424382865674,0.54908363681558,0.6133237092391305,0.2768620385632691,0.58147941328628,0.5822230055284199,0.24664467966471332
full_trade_flow_C_0p1,full_trade_flow,48,0.1,test,97306,0.4722627587199145,0.19128316856103425,0.5343847563603621,0.5618653629183904,0.22757540148844496,0.5673801006585132,0.5364755671446175,0.24578303444403155
full_trade_flow_C_0p3,full_trade_flow,48,0.3,validation,103138,0.5058659272043282,0.24606837441098334,0.5508442962768256,0.6091650577248907,0.2963161728063787,0.5817702482769231,0.5815877317780387,0.24638790378855047
full_trade_flow_C_0p3,full_trade_flow,48,0.3,test,97306,0.4722627587199145,0.19682239533019547,0.5347651507417521,0.5603070175438597,0.23351612482047265,0.5676178326331236,0.5364425520172229,0.24575961498316892
full_trade_flow_C_1,full_trade_flow,48,1.0,validation,103138,0.5058659272043282,0.2756210126238632,0.5545509216266001,0.6048123263094944,0.329531950780082,0.5832572288487491,0.580051758340495,0.24622547512321818
full_trade_flow_C_1,full_trade_flow,48,1.0,test,97306,0.4722627587199145,0.2057735391445543,0.5360982388268909,0.5597063377116316,0.2438743090917004,0.5679369391201452,0.5361253084072651,0.24575029426532238
