run_name,signal,target,spearman_corr,n_obs
20260610_201111,microprice_deviation_bps,future_mid_return_10e_bps,0.525252192690131,561
20260610_201249,imbalance_1,future_mid_return_1e_bps,0.4866681293819472,565
20260610_201249,imbalance_1,future_mid_return_5e_bps,0.37592208312432485,561
20260610_201249,imbalance_1,future_mid_return_10e_bps,0.23051333147455094,556
20260610_201249,imbalance_5,future_mid_return_1e_bps,0.4801592690428521,565
20260610_201249,imbalance_5,future_mid_return_5e_bps,0.3728986803839649,561
20260610_201249,imbalance_5,future_mid_return_10e_bps,0.21841942081759877,556
20260610_201249,imbalance_10,future_mid_return_1e_bps,0.48160674365602385,565
20260610_201249,imbalance_10,future_mid_return_5e_bps,0.3793894160680214,561
20260610_201249,imbalance_10,future_mid_return_10e_bps,0.23074134714062353,556
20260610_201249,microprice_deviation_bps,future_mid_return_1e_bps,0.4868725289422917,565
20260610_201249,microprice_deviation_bps,future_mid_return_5e_bps,0.37627081194795814,561
20260610_201249,microprice_deviation_bps,future_mid_return_10e_bps,0.23048959102209238,556
20260610_201428,imbalance_1,future_mid_return_1e_bps,0.4541803385878159,570
20260610_201428,imbalance_1,future_mid_return_5e_bps,0.412385391024922,566
20260610_201428,imbalance_1,future_mid_return_10e_bps,0.33506880586676363,561
20260610_201428,imbalance_5,future_mid_return_1e_bps,0.4542011765397578,570
20260610_201428,imbalance_5,future_mid_return_5e_bps,0.4164522243876906,566
20260610_201428,imbalance_5,future_mid_return_10e_bps,0.34092428245812284,561
20260610_201428,imbalance_10,future_mid_return_1e_bps,0.4502430410891731,570
20260610_201428,imbalance_10,future_mid_return_5e_bps,0.4162951046573698,566
20260610_201428,imbalance_10,future_mid_return_10e_bps,0.3447261774892426,561
20260610_201428,microprice_deviation_bps,future_mid_return_1e_bps,0.45461739803945156,570
20260610_201428,microprice_deviation_bps,future_mid_return_5e_bps,0.4125770402342963,566
20260610_201428,microprice_deviation_bps,future_mid_return_10e_bps,0.3351107282343708,561
20260610_201605,imbalance_1,future_mid_return_1e_bps,0.4405939474056313,571
20260610_201605,imbalance_1,future_mid_return_5e_bps,0.35190093433337094,567
20260610_201605,imbalance_1,future_mid_return_10e_bps,0.21271617898229653,562
20260610_201605,imbalance_5,future_mid_return_1e_bps,0.45182952016577116,571
20260610_201605,imbalance_5,future_mid_return_5e_bps,0.36603391409011093,567
20260610_201605,imbalance_5,future_mid_return_10e_bps,0.22564859838939413,562
20260610_201605,imbalance_10,future_mid_return_1e_bps,0.4560672579312029,571
20260610_201605,imbalance_10,future_mid_return_5e_bps,0.36942925191313536,567
20260610_201605,imbalance_10,future_mid_return_10e_bps,0.2320116217226389,562
20260610_201605,microprice_deviation_bps,future_mid_return_1e_bps,0.44324036348418905,571
20260610_201605,microprice_deviation_bps,future_mid_return_5e_bps,0.35276817998768484,567
20260610_201605,microprice_deviation_bps,future_mid_return_10e_bps,0.210668057376004,562
