split,n_features,C,n_observations,positive_class_share,predicted_positive_share,balanced_accuracy,precision_positive,recall_positive,roc_auc,average_precision,brier_score
validation,8,1.0,52174,0.49275501207497985,0.5171924713458811,0.5865554811511893,0.5764156537207233,0.6050021393286398,0.6183329400899722,0.601783038962677,0.23988260511558152
test,8,1.0,45954,0.5052661357009183,0.5470905688296993,0.5834450436470446,0.5815202259257786,0.6296567466299151,0.6219881219540359,0.6136415474820924,0.23916232924029895
