move_feature_set,move_threshold,direction_threshold,n_folds,supported_folds,positive_mean_net_folds,total_signals,minimum_fold_signals,total_signal_runs,minimum_fold_signal_runs,mean_fold_mean_net_bps,median_fold_mean_net_bps,minimum_fold_mean_net_bps,maximum_fold_mean_net_bps,std_fold_mean_net_bps,median_fold_median_net_bps,median_fold_trimmed_mean_net_bps,mean_directional_precision,base_eligible,eligible_neighbor_count,neighbor_positive_share,neighbor_median_net_bps,neighbor_minimum_net_bps,plateau_eligible,policy_name
medium_trade_flow,0.65,0.65,3,3,2,56,10,22,5,-0.43538782087993333,0.049265364071112164,-1.6332478403392463,0.27781901362833405,1.0436525582519216,-0.0074814744794862165,0.1600448497172084,0.5212121212121211,True,2,1.0,0.04823184638282507,0.047198328694537973,False,fixed_common_0p65_0p65
reduced_trade_flow,0.65,0.65,3,3,0,40,7,18,3,-1.0689248432492684,-1.2366127964175617,-1.65507196901777,-0.3150897643124735,0.6855490605784866,-1.1015732921616497,-1.2366127964175617,0.49933862433862436,False,0,,,,False,fixed_common_0p65_0p65
