feature_set,n_features,split,n_observations,positive_class_share,predicted_positive_share,balanced_accuracy,precision_positive,recall_positive,precision_negative,recall_negative,roc_auc,average_precision,brier_score
full_trade_flow,48,validation,103138,0.5058659272043282,0.2756210126238632,0.5545509216266001,0.6048123263094944,0.329531950780082,0.531782468445075,0.7795698924731183,0.5832572288487491,0.580051758340495,0.24622547512321818
full_trade_flow,48,test,97306,0.4722627587199145,0.2057735391445543,0.5360982388268909,0.5597063377116316,0.2438743090917004,0.5503927124982209,0.8283221685620813,0.5679369391201452,0.5361253084072651,0.24575029426532238
reduced_trade_flow,14,validation,103138,0.5058659272043282,0.20903061917043184,0.5484667238293006,0.6217820863676423,0.25692873845210257,0.5247674033758688,0.8400047092064987,0.5902735281783844,0.586692863950703,0.2465066027988428
reduced_trade_flow,14,test,97306,0.4722627587199145,0.1827122685137607,0.5349180634640072,0.5675234827605602,0.21956739348043697,0.5490336615237592,0.8502687334475775,0.5704092025775445,0.5367889092676328,0.24578987174825376
