evaluation_method,feature_set,horizon,cost_scenario,round_trip_cost_bps,n_signals_or_trades,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share
cooldown_first_signal,trade_flow_only,20,no_cost,0.0,5,0.3554702899408735,0.3554702899408735,0.30436304423897553,1.0
cooldown_first_signal,trade_flow_only,20,very_low_cost,1.0,5,0.3554702899408735,-0.6445297100591265,-0.6956369557610245,0.0
cooldown_first_signal,trade_flow_only,20,low_cost,2.0,5,0.3554702899408735,-1.6445297100591265,-1.6956369557610245,0.0
cooldown_first_signal,trade_flow_only,20,medium_cost,3.0,5,0.3554702899408735,-2.6445297100591265,-2.6956369557610245,0.0
cooldown_first_signal,trade_flow_only,20,high_cost,4.0,5,0.3554702899408735,-3.644529710059126,-3.6956369557610245,0.0
cooldown_first_signal,trade_flow_only,20,expensive_taker_like,5.0,5,0.3554702899408735,-4.6445297100591265,-4.6956369557610245,0.0
cooldown_first_signal,trade_flow_only,20,very_expensive_round_trip,9.0,5,0.3554702899408735,-8.644529710059127,-8.695636955761024,0.0
cooldown_first_signal,trade_flow_only,50,no_cost,0.0,21,0.311129999648594,0.311129999648594,0.1280611620102512,0.6190476190476191
cooldown_first_signal,trade_flow_only,50,very_low_cost,1.0,21,0.311129999648594,-0.688870000351406,-0.8719388379897488,0.19047619047619047
cooldown_first_signal,trade_flow_only,50,low_cost,2.0,21,0.311129999648594,-1.6888700003514057,-1.8719388379897488,0.047619047619047616
cooldown_first_signal,trade_flow_only,50,medium_cost,3.0,21,0.311129999648594,-2.6888700003514066,-2.871938837989749,0.0
cooldown_first_signal,trade_flow_only,50,high_cost,4.0,21,0.311129999648594,-3.6888700003514066,-3.871938837989749,0.0
cooldown_first_signal,trade_flow_only,50,expensive_taker_like,5.0,21,0.311129999648594,-4.6888700003514066,-4.871938837989749,0.0
cooldown_first_signal,trade_flow_only,50,very_expensive_round_trip,9.0,21,0.311129999648594,-8.688870000351406,-8.871938837989749,0.0
raw_selected_signal,book_only,10,no_cost,0.0,902,0.4885447383939233,0.4885447383939233,0.4961861690500058,0.983370288248337
raw_selected_signal,book_only,10,very_low_cost,1.0,902,0.4885447383939233,-0.5114552616060766,-0.5038138309499942,0.0787139689578714
raw_selected_signal,book_only,10,low_cost,2.0,902,0.4885447383939233,-1.511455261606077,-1.5038138309499942,0.0022172949002217295
raw_selected_signal,book_only,10,medium_cost,3.0,902,0.4885447383939233,-2.5114552616060766,-2.503813830949994,0.0
raw_selected_signal,book_only,10,high_cost,4.0,902,0.4885447383939233,-3.5114552616060766,-3.503813830949994,0.0
raw_selected_signal,book_only,10,expensive_taker_like,5.0,902,0.4885447383939233,-4.511455261606077,-4.503813830949994,0.0
raw_selected_signal,book_only,10,very_expensive_round_trip,9.0,902,0.4885447383939233,-8.511455261606077,-8.503813830949994,0.0
raw_selected_signal,book_only,20,no_cost,0.0,1146,0.5387240732605459,0.5387240732605459,0.49664961770057303,0.9773123909249564
raw_selected_signal,book_only,20,very_low_cost,1.0,1146,0.5387240732605459,-0.46127592673945406,-0.503350382299427,0.1273996509598604
raw_selected_signal,book_only,20,low_cost,2.0,1146,0.5387240732605459,-1.4612759267394542,-1.503350382299427,0.007853403141361256
raw_selected_signal,book_only,20,medium_cost,3.0,1146,0.5387240732605459,-2.461275926739454,-2.503350382299427,0.0
raw_selected_signal,book_only,20,high_cost,4.0,1146,0.5387240732605459,-3.461275926739454,-3.503350382299427,0.0
raw_selected_signal,book_only,20,expensive_taker_like,5.0,1146,0.5387240732605459,-4.461275926739454,-4.503350382299427,0.0
raw_selected_signal,book_only,20,very_expensive_round_trip,9.0,1146,0.5387240732605459,-8.461275926739454,-8.503350382299427,0.0
raw_selected_signal,book_only,50,no_cost,0.0,420,0.5805788311918756,0.5805788311918756,0.5606292502702281,0.9666666666666667
raw_selected_signal,book_only,50,very_low_cost,1.0,420,0.5805788311918756,-0.4194211688081245,-0.43937074972977186,0.1619047619047619
raw_selected_signal,book_only,50,low_cost,2.0,420,0.5805788311918756,-1.4194211688081244,-1.4393707497297719,0.004761904761904762
raw_selected_signal,book_only,50,medium_cost,3.0,420,0.5805788311918756,-2.4194211688081246,-2.439370749729772,0.0
raw_selected_signal,book_only,50,high_cost,4.0,420,0.5805788311918756,-3.419421168808124,-3.439370749729772,0.0
raw_selected_signal,book_only,50,expensive_taker_like,5.0,420,0.5805788311918756,-4.419421168808125,-4.439370749729772,0.0
raw_selected_signal,book_only,50,very_expensive_round_trip,9.0,420,0.5805788311918756,-8.419421168808125,-8.439370749729772,0.0
raw_selected_signal,combined,10,no_cost,0.0,953,0.46556539593882845,0.46556539593882845,0.46448864205128615,0.968520461699895
raw_selected_signal,combined,10,very_low_cost,1.0,953,0.46556539593882845,-0.5344346040611716,-0.5355113579487139,0.07869884575026233
raw_selected_signal,combined,10,low_cost,2.0,953,0.46556539593882845,-1.5344346040611714,-1.5355113579487139,0.002098635886673662
raw_selected_signal,combined,10,medium_cost,3.0,953,0.46556539593882845,-2.5344346040611714,-2.535511357948714,0.0
raw_selected_signal,combined,10,high_cost,4.0,953,0.46556539593882845,-3.5344346040611714,-3.535511357948714,0.0
raw_selected_signal,combined,10,expensive_taker_like,5.0,953,0.46556539593882845,-4.534434604061172,-4.535511357948714,0.0
raw_selected_signal,combined,10,very_expensive_round_trip,9.0,953,0.46556539593882845,-8.534434604061172,-8.535511357948714,0.0
raw_selected_signal,combined,20,no_cost,0.0,1193,0.5084038483353375,0.5084038483353375,0.49663290897949963,0.9538977367979883
raw_selected_signal,combined,20,very_low_cost,1.0,1193,0.5084038483353375,-0.4915961516646626,-0.5033670910205004,0.12489522212908634
raw_selected_signal,combined,20,low_cost,2.0,1193,0.5084038483353375,-1.4915961516646625,-1.5033670910205004,0.0075440067057837385
raw_selected_signal,combined,20,medium_cost,3.0,1193,0.5084038483353375,-2.4915961516646625,-2.5033670910205004,0.0
raw_selected_signal,combined,20,high_cost,4.0,1193,0.5084038483353375,-3.4915961516646625,-3.5033670910205004,0.0
raw_selected_signal,combined,20,expensive_taker_like,5.0,1193,0.5084038483353375,-4.4915961516646625,-4.5033670910205,0.0
raw_selected_signal,combined,20,very_expensive_round_trip,9.0,1193,0.5084038483353375,-8.491596151664663,-8.5033670910205,0.0
raw_selected_signal,combined,50,no_cost,0.0,564,0.5797746560634627,0.5797746560634627,0.5606292502702281,0.9556737588652482
raw_selected_signal,combined,50,very_low_cost,1.0,564,0.5797746560634627,-0.4202253439365374,-0.43937074972977186,0.16134751773049646
raw_selected_signal,combined,50,low_cost,2.0,564,0.5797746560634627,-1.420225343936537,-1.4393707497297719,0.012411347517730497
raw_selected_signal,combined,50,medium_cost,3.0,564,0.5797746560634627,-2.4202253439365373,-2.439370749729772,0.0
raw_selected_signal,combined,50,high_cost,4.0,564,0.5797746560634627,-3.4202253439365373,-3.439370749729772,0.0
raw_selected_signal,combined,50,expensive_taker_like,5.0,564,0.5797746560634627,-4.420225343936537,-4.439370749729772,0.0
raw_selected_signal,combined,50,very_expensive_round_trip,9.0,564,0.5797746560634627,-8.420225343936538,-8.439370749729772,0.0
raw_selected_signal,trade_flow_only,10,no_cost,0.0,18,0.5784583725991653,0.5784583725991653,0.5763296605665325,1.0
raw_selected_signal,trade_flow_only,10,very_low_cost,1.0,18,0.5784583725991653,-0.4215416274008347,-0.42367033943346755,0.0
raw_selected_signal,trade_flow_only,10,low_cost,2.0,18,0.5784583725991653,-1.4215416274008346,-1.4236703394334675,0.0
raw_selected_signal,trade_flow_only,10,medium_cost,3.0,18,0.5784583725991653,-2.421541627400835,-2.4236703394334675,0.0
raw_selected_signal,trade_flow_only,10,high_cost,4.0,18,0.5784583725991653,-3.421541627400835,-3.4236703394334675,0.0
raw_selected_signal,trade_flow_only,10,expensive_taker_like,5.0,18,0.5784583725991653,-4.421541627400835,-4.4236703394334675,0.0
raw_selected_signal,trade_flow_only,10,very_expensive_round_trip,9.0,18,0.5784583725991653,-8.421541627400835,-8.423670339433468,0.0
raw_selected_signal,trade_flow_only,20,no_cost,0.0,11,0.32899489503640017,0.32899489503640017,0.30436304423897553,1.0
raw_selected_signal,trade_flow_only,20,very_low_cost,1.0,11,0.32899489503640017,-0.6710051049635998,-0.6956369557610245,0.0
raw_selected_signal,trade_flow_only,20,low_cost,2.0,11,0.32899489503640017,-1.6710051049635999,-1.6956369557610245,0.0
raw_selected_signal,trade_flow_only,20,medium_cost,3.0,11,0.32899489503640017,-2.6710051049635997,-2.6956369557610245,0.0
raw_selected_signal,trade_flow_only,20,high_cost,4.0,11,0.32899489503640017,-3.6710051049636006,-3.6956369557610245,0.0
raw_selected_signal,trade_flow_only,20,expensive_taker_like,5.0,11,0.32899489503640017,-4.6710051049636006,-4.6956369557610245,0.0
raw_selected_signal,trade_flow_only,20,very_expensive_round_trip,9.0,11,0.32899489503640017,-8.6710051049636,-8.695636955761024,0.0
raw_selected_signal,trade_flow_only,50,no_cost,0.0,56,0.3372083447343576,0.3372083447343576,0.2561292940694848,0.6964285714285714
raw_selected_signal,trade_flow_only,50,very_low_cost,1.0,56,0.3372083447343576,-0.6627916552656423,-0.7438707059305152,0.30357142857142855
raw_selected_signal,trade_flow_only,50,low_cost,2.0,56,0.3372083447343576,-1.6627916552656423,-1.7438707059305152,0.017857142857142856
raw_selected_signal,trade_flow_only,50,medium_cost,3.0,56,0.3372083447343576,-2.662791655265642,-2.743870705930515,0.0
raw_selected_signal,trade_flow_only,50,high_cost,4.0,56,0.3372083447343576,-3.6627916552656425,-3.743870705930515,0.0
raw_selected_signal,trade_flow_only,50,expensive_taker_like,5.0,56,0.3372083447343576,-4.662791655265642,-4.743870705930515,0.0
raw_selected_signal,trade_flow_only,50,very_expensive_round_trip,9.0,56,0.3372083447343576,-8.662791655265641,-8.743870705930515,0.0
