fold,validation_batch,model,n_features,n_observations,balanced_accuracy,macro_f1,multiclass_log_loss,predicted_short_share,predicted_no_trade_share,predicted_long_share
fold_1_tue_to_wed,weekday_active_wed_day29,direct_multiclass_base,32,103138,0.39862184594199146,0.39939015752058155,1.0630611292634613,0.21329674804630688,0.5521146425177917,0.2345886094359014
fold_1_tue_to_wed,weekday_active_wed_day29,direct_multiclass_temporal,44,103138,0.3999063728916968,0.4007306593283179,1.0637854431461005,0.22219744420097345,0.5469758963718513,0.23082665942717523
fold_2_tue_wed_to_thu,weekday_active_thu_day30,direct_multiclass_base,32,97306,0.40141689799077557,0.40156975171848047,1.0586327114370528,0.22059276920231025,0.5304195013668221,0.24898772943086758
fold_2_tue_wed_to_thu,weekday_active_thu_day30,direct_multiclass_temporal,44,97306,0.40167793641726207,0.4020129127467995,1.0584598867798323,0.2217951616549853,0.5354551620660597,0.24274967627895505
fold_3_tue_wed_thu_to_fri,weekday_active_fri_day39,direct_multiclass_base,32,103058,0.42401148397996763,0.4216654307053456,1.0566138011521644,0.27550505540569387,0.4514157076597644,0.2730792369345417
fold_3_tue_wed_thu_to_fri,weekday_active_fri_day39,direct_multiclass_temporal,44,103058,0.42447861181314944,0.42244939734679005,1.0567128158373373,0.2744182887306177,0.45657784936637624,0.26900386190300607
