direction_label,n_signals,n_signal_runs,directional_precision,mean_signed_return_bps,median_signed_return_bps,mean_net_return_bps,median_net_return_bps,total_net_return_bps
DOWN_SHORT,18,12,0.6666666666666666,2.580968542691717,2.140142419371771,1.5809685426917168,1.140142419371771,28.457433768450905
UP_LONG,3,3,1.0,3.082772500108503,3.9102393432077776,2.082772500108503,2.9102393432077776,6.248317500325509
