model_variant,move_feature_set,direction_feature_set,move_threshold,direction_threshold,threshold_eligible,n_signals,n_signal_runs,coverage,directional_precision,mean_signed_return_bps,median_signed_return_bps,mean_net_return_bps,median_net_return_bps,share_positive_signed_return,share_signed_return_ge_1bps,up_signal_share,down_signal_share
direction_only_full_book,none,full_book,0.0,0.7,True,338,36,0.003277162636467645,0.6804733727810651,0.9195351965844184,0.8105287982684839,-0.0804648034155817,-0.1894712017315161,0.6804733727810651,0.46449704142011833,0.6094674556213018,0.3905325443786982
direction_only_reduced_book,none,reduced_book,0.0,0.7,True,90,30,0.0008726172700653493,0.6555555555555556,0.9516745344518728,0.9296315489348839,-0.048325465548127236,-0.07036845106511613,0.6555555555555556,0.4777777777777778,0.23333333333333334,0.7666666666666667
two_stage_full_move_full_direction,full_trade_flow,full_book,0.65,0.7,True,54,21,0.0005235703620392096,0.6296296296296297,1.073164774874665,0.8677043725890954,0.07316477487466537,-0.13229562741090461,0.6296296296296297,0.46296296296296297,0.5185185185185185,0.48148148148148145
two_stage_reduced_move_full_direction,reduced_trade_flow,full_book,0.6,0.65,True,86,23,0.0008338342802846671,0.6744186046511628,1.0888697877524356,0.9969351622401978,0.08886978775243569,-0.0030648377598021526,0.6744186046511628,0.5,0.47674418604651164,0.5232558139534884
two_stage_full_move_reduced_direction,full_trade_flow,reduced_book,0.7,0.65,True,53,20,0.0005138746145940391,0.6037735849056604,1.1464199002051756,1.0989676976225216,0.1464199002051758,0.09896769762252156,0.6037735849056604,0.5283018867924528,0.2830188679245283,0.7169811320754716
two_stage_reduced_move_reduced_direction,reduced_trade_flow,reduced_book,0.5,0.7,True,48,21,0.0004653958773681863,0.625,1.012220282495859,0.9387428895402117,0.012220282495858973,-0.06125711045978832,0.625,0.4791666666666667,0.0625,0.9375
