horizon,n,mean_bps,std_bps,min_bps,q01_bps,q05_bps,q10_bps,q25_bps,median_bps,q75_bps,q90_bps,q95_bps,q99_bps,max_bps,mean_abs_bps,median_abs_bps,share_abs_ge_0_5_bps,share_abs_ge_1_bps,share_abs_ge_2_bps,share_abs_ge_3_bps,share_abs_ge_5_bps
1,69880,5.481280477999396e-07,0.08983581794877424,-10.66529043143749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50649790729274,0.007852299074680748,0.0,0.006038923869490555,0.0011161991986262164,0.00015741270749856898,7.155123068116771e-05,2.8620492272467087e-05
5,69784,2.9051064769344473e-05,0.20940086672266034,-11.32762478560978,-0.6402606545652278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6593970436961731,10.197810347900571,0.03720891352292442,0.0,0.02947667087011349,0.008483319958729795,0.0010747449272039437,0.00045855783560701593,0.00012896939126447323
10,69664,7.157043955791784e-05,0.3017309103113599,-11.32762478560978,-0.9586372013548061,-0.1439287264937139,0.0,0.0,0.0,0.0,0.0,0.11200367372010689,0.9597141369253918,11.013893651186102,0.07268476981560704,0.0,0.057404111162149746,0.018416972898484152,0.002756086357372531,0.0011483693155718878,0.0002727377124483234
20,69424,-4.413633102620522e-05,0.4407694602712181,-11.32762478560978,-1.4023396356594884,-0.5589764024116484,-0.04804277728864825,0.0,0.0,0.0,0.03199480404392219,0.5602905013598606,1.3304234994460096,11.013893651186102,0.14047759565007406,0.0,0.10977471767688407,0.03955404471076285,0.006899631251440424,0.002938465084120765,0.000576169624337405
50,68704,-0.001065305212331343,0.7311278221790376,-10.992478620188706,-2.1586340163948226,-1.0717110666957907,-0.6392967735491251,0.0,0.0,0.0,0.6347920919965219,1.0411686076450266,2.146522593351463,11.878126900919384,0.324067462098406,0.0,0.245167675826735,0.10765020959478341,0.022851653469958082,0.009053330228225432,0.001644736842105263
100,67504,-0.006562628237923697,1.082415023604689,-10.992478620188706,-3.0264865613593983,-1.6495637864699653,-1.0727371849938994,-0.23994375718316974,0.0,0.20798585696146787,0.9932658179589993,1.4248879901934686,3.185475512257341,16.322432793862696,0.5797276187499074,0.2242696618415252,0.39725053330173027,0.20503970135103106,0.06090009480919649,0.023302322825314057,0.003614600616259777
