evaluation_method,model,signal,n_signals_or_trades,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,mean_future_return_bps
cooldown_first_signal,lightgbm_dynamic_compact,down,76,0.4868421052631579,-0.10504382149638314,-0.05017911708704581,0.4868421052631579,0.10504382149638314
cooldown_first_signal,lightgbm_dynamic_compact,up,51,0.5882352941176471,0.6701807498318562,0.2016933840365276,0.5882352941176471,0.6701807498318562
cooldown_first_signal,logit_dynamic_compact,down,36,0.5833333333333334,0.6902001520311644,1.3353599483717504,0.5833333333333334,-0.6902001520311644
cooldown_first_signal,logit_dynamic_compact,up,32,0.59375,0.611250680766541,0.22694458464478373,0.59375,0.611250680766541
cooldown_first_signal,xgboost_dynamic_full,down,111,0.46846846846846846,-0.21521569606148852,-0.25077133081863323,0.46846846846846846,0.21521569606148852
cooldown_first_signal,xgboost_dynamic_full,up,63,0.5396825396825397,0.6073104299912712,0.08392310293814376,0.5396825396825397,0.6073104299912712
raw_selected_signal,lightgbm_dynamic_compact,down,2496,0.5072115384615384,0.021250954398438875,0.050089116887530594,0.5072115384615384,-0.021250954398438875
raw_selected_signal,lightgbm_dynamic_compact,up,242,0.6198347107438017,0.8003972452328442,0.7558102916171983,0.6198347107438017,0.8003972452328442
raw_selected_signal,logit_dynamic_compact,down,316,0.5727848101265823,0.46128844064983576,0.3946428226092591,0.5727848101265823,-0.46128844064983576
raw_selected_signal,logit_dynamic_compact,up,238,0.6386554621848739,1.279016674025005,1.3771317345334655,0.6386554621848739,1.279016674025005
raw_selected_signal,xgboost_dynamic_full,down,5335,0.4939081537019681,-0.14646243871914086,-0.03339547675063059,0.4939081537019681,0.14646243871914086
raw_selected_signal,xgboost_dynamic_full,up,580,0.6017241379310345,0.8219043658212715,0.7393721554138644,0.6017241379310345,0.8219043658212715
