evaluation_method,feature_set,horizon,run_name,n,precision,mean_signed_return_bps,median_signed_return_bps,share_signed_return_ge_1_bps,up_count,down_count
cooldown_first_signal,book_only,10,20260704_143609,54,0.9814814814814815,0.43898740154932236,0.432590898444829,0.037037037037037035,18,36
cooldown_first_signal,book_only,10,20260704_144124,17,0.9411764705882353,0.5757388041447039,0.5766333740975238,0.17647058823529413,7,10
cooldown_first_signal,book_only,10,20260704_144638,28,1.0,0.5260521566275275,0.5043778770336127,0.0,20,8
cooldown_first_signal,book_only,10,20260704_145150,26,0.9615384615384616,0.4087997386881259,0.408171615768893,0.07692307692307693,17,9
cooldown_first_signal,book_only,10,20260704_145704,10,1.0,0.25130872705714236,0.16006696001436,0.0,2,8
cooldown_first_signal,book_only,20,20260704_143609,44,1.0,0.5169281088755372,0.4405134954749146,0.11363636363636363,16,28
cooldown_first_signal,book_only,20,20260704_144124,17,0.8235294117647058,0.5154252748379766,0.5766333740975238,0.17647058823529413,6,11
cooldown_first_signal,book_only,20,20260704_144638,24,1.0,0.5630310727772203,0.4803783332441025,0.041666666666666664,18,6
cooldown_first_signal,book_only,20,20260704_145150,23,0.9565217391304348,0.43775617888423524,0.4481459163097057,0.08695652173913043,15,8
cooldown_first_signal,book_only,20,20260704_145704,9,1.0,0.2970197118714848,0.1440489766524333,0.0,2,7
cooldown_first_signal,book_only,50,20260704_143609,18,0.9444444444444444,0.737041777629541,0.5207759515424293,0.2777777777777778,7,11
cooldown_first_signal,book_only,50,20260704_144124,7,0.7142857142857143,0.4278485027195015,0.7367621067233543,0.42857142857142855,2,5
cooldown_first_signal,book_only,50,20260704_144638,6,1.0,0.8966217978847076,0.8405002346228985,0.16666666666666666,5,1
cooldown_first_signal,book_only,50,20260704_145150,9,0.8888888888888888,0.3397016467975177,0.2401450476086086,0.1111111111111111,6,3
cooldown_first_signal,book_only,50,20260704_145704,5,1.0,0.2625240563232101,0.1440489766524333,0.0,2,3
cooldown_first_signal,combined,10,20260704_143609,55,0.9636363636363636,0.40334501980213405,0.3684819744231848,0.03636363636363636,19,36
cooldown_first_signal,combined,10,20260704_144124,21,0.8571428571428571,0.4157299626304591,0.4805724579126647,0.19047619047619047,11,10
cooldown_first_signal,combined,10,20260704_144638,27,1.0,0.552048495927275,0.5763619553067478,0.037037037037037035,20,7
cooldown_first_signal,combined,10,20260704_145150,30,0.9333333333333333,0.4135132545892706,0.43218167414815767,0.06666666666666667,20,10
cooldown_first_signal,combined,10,20260704_145704,12,0.9166666666666666,0.16673537356681756,0.14404644061660749,0.0,4,8
cooldown_first_signal,combined,20,20260704_143609,46,1.0,0.5104600165244774,0.3925411060229367,0.13043478260869565,16,30
cooldown_first_signal,combined,20,20260704_144124,15,0.8666666666666667,0.5991010043976027,0.704677053713354,0.26666666666666666,7,8
cooldown_first_signal,combined,20,20260704_144638,26,0.9615384615384616,0.5104804392198369,0.4642971621970915,0.038461538461538464,20,6
cooldown_first_signal,combined,20,20260704_145150,25,0.92,0.37520753780952987,0.4162174319866096,0.08,17,8
cooldown_first_signal,combined,20,20260704_145704,9,1.0,0.2934603449628654,0.1440489766524333,0.0,2,7
cooldown_first_signal,combined,50,20260704_143609,26,0.9230769230769231,0.6932823403292651,0.6409167673770977,0.2692307692307692,9,17
cooldown_first_signal,combined,50,20260704_144124,10,0.9,0.9242678256116132,1.0571739663683966,0.6,4,6
cooldown_first_signal,combined,50,20260704_144638,9,1.0,0.6991347160583632,0.7685490514419691,0.1111111111111111,6,3
cooldown_first_signal,combined,50,20260704_145150,12,0.9166666666666666,0.396170011905117,0.37612867795078214,0.08333333333333333,8,4
cooldown_first_signal,combined,50,20260704_145704,8,1.0,0.29413184502211087,0.2481125323477995,0.0,2,6
cooldown_first_signal,trade_flow_only,10,20260704_143609,1,1.0,0.8972798800210846,0.8972798800210846,0.0,0,1
cooldown_first_signal,trade_flow_only,10,20260704_144124,1,1.0,0.3043630442389755,0.3043630442389755,0.0,1,0
cooldown_first_signal,trade_flow_only,10,20260704_144638,1,1.0,0.5123709565724166,0.5123709565724166,0.0,0,1
cooldown_first_signal,trade_flow_only,10,20260704_145150,2,1.0,0.5843010529454906,0.5843010529454906,0.0,1,1
cooldown_first_signal,trade_flow_only,20,20260704_143609,1,1.0,0.1602819680379674,0.1602819680379674,0.0,0,1
cooldown_first_signal,trade_flow_only,20,20260704_144124,1,1.0,0.3043630442389755,0.3043630442389755,0.0,1,0
cooldown_first_signal,trade_flow_only,20,20260704_144638,1,1.0,0.1441043315364432,0.1441043315364432,0.0,0,1
cooldown_first_signal,trade_flow_only,20,20260704_145150,2,1.0,0.5843010529454906,0.5843010529454906,0.0,1,1
