move_feature_set,n_features,C,split,n_observations,positive_class_share,predicted_positive_share,balanced_accuracy,precision_positive,recall_positive,roc_auc,average_precision,brier_score
full_trade_flow,48,0.03,validation,103138,0.5058659272043282,0.21995772654113904,0.5479991130756744,0.614960768756061,0.267393721010465,0.5812684592059836,0.5821471815170789,0.24681386095177066
full_trade_flow,48,0.03,test,97306,0.4722627587199145,0.188323433292911,0.5341169739135696,0.5625648021828104,0.22433302868085478,0.5672968243140354,0.5364983747046457,0.24579558915003077
medium_trade_flow,24,0.03,validation,103138,0.5058659272043282,0.21234656479668018,0.5472641664288851,0.6171407698278617,0.25905623490627516,0.5816768306769484,0.5823954167705724,0.24692173896552116
medium_trade_flow,24,0.03,test,97306,0.4722627587199145,0.185024561691982,0.5338612457259037,0.5634858920239947,0.22076424250337293,0.5674905639212097,0.5368160444972858,0.24579407545365542
reduced_trade_flow,14,0.03,validation,103138,0.5058659272043282,0.20863309352517986,0.5481707786386611,0.6212938005390836,0.25623873960210064,0.5903881488962268,0.5867856830121129,0.24648978971950353
reduced_trade_flow,14,0.03,test,97306,0.4722627587199145,0.18226008673668634,0.5347073469969492,0.5671835353820129,0.21889280584932758,0.5705454344358379,0.5368838927448807,0.24578439635099886
