model,feature,coefficient,abs_coefficient
logit_signal,imbalance_5,1.0631702294190972,1.0631702294190972
logit_signal,microprice_deviation_bps,0.0589503608389735,0.0589503608389735
logit_full,imbalance_5,0.8911854196911365,0.8911854196911365
logit_full,imbalance_1,-0.6373704740345392,0.6373704740345392
logit_full,imbalance_10,0.6194150646985178,0.6194150646985178
logit_full,bid_depth_5,-0.41150225523057515,0.41150225523057515
logit_full,best_bid_qty,0.3422813811709471,0.3422813811709471
logit_full,ask_depth_10,0.2093214751402188,0.2093214751402188
logit_full,bid_depth_10,0.19390223181157554,0.19390223181157554
logit_full,best_ask_qty,-0.18103423295882115,0.18103423295882115
logit_full,microprice_deviation_bps,0.16865415907610354,0.16865415907610354
logit_full,spread_bps,-0.09048974896182316,0.09048974896182316
logit_full,ask_depth_5,-0.07612033903220121,0.07612033903220121
logit_full,event_gap_ms,-0.05714540598442275,0.05714540598442275
logit_full,transaction_lag_ms,-0.019705809891764275,0.019705809891764275
logit_full,quote_changed,0.0022787789115704697,0.0022787789115704697
