model_type,feature_set,feature,coefficient,absolute_coefficient
direction,book_only,imbalance_1,0.40944560139137887,0.40944560139137887
direction,book_only,bid_depth_10,0.1922882377319146,0.1922882377319146
direction,book_only,best_ask_qty,0.1814256552008153,0.1814256552008153
direction,book_only,ask_depth_5,-0.15571842253741686,0.15571842253741686
direction,book_only,bid_depth_5,-0.13904934540362449,0.13904934540362449
direction,book_only,imbalance_10,-0.11575137174328426,0.11575137174328426
direction,book_only,imbalance_5,0.10746115077697042,0.10746115077697042
direction,book_only,ask_depth_10,0.07663491616087592,0.07663491616087592
direction,book_only,quote_changed,-0.03044668924835431,0.03044668924835431
direction,book_only,transaction_lag_ms,0.011831184380224421,0.011831184380224421
direction,book_only,spread_bps,-0.008565679065969384,0.008565679065969384
direction,book_only,microprice_deviation_bps,-0.00810992976042302,0.00810992976042302
direction,book_only,best_bid_qty,-0.007520783971205343,0.007520783971205343
direction,book_only,event_gap_ms,-0.0007611456332124703,0.0007611456332124703
move,book_only,imbalance_5,-0.19994411282566832,0.19994411282566832
move,book_only,imbalance_10,0.14769571389307637,0.14769571389307637
move,book_only,quote_changed,0.09388784166584407,0.09388784166584407
move,book_only,ask_depth_5,-0.08720265654882207,0.08720265654882207
move,book_only,ask_depth_10,0.06553556453426539,0.06553556453426539
move,book_only,spread_bps,0.05800448394437418,0.05800448394437418
move,book_only,transaction_lag_ms,-0.03721041508343865,0.03721041508343865
move,book_only,bid_depth_10,0.03567671186691773,0.03567671186691773
move,book_only,best_ask_qty,0.02456289001305289,0.02456289001305289
move,book_only,imbalance_1,-0.02407430819287514,0.02407430819287514
move,book_only,best_bid_qty,0.015735212726651734,0.015735212726651734
move,book_only,bid_depth_5,0.010496107504385298,0.010496107504385298
move,book_only,microprice_deviation_bps,0.002174387782325586,0.002174387782325586
move,book_only,event_gap_ms,0.00027752384707490485,0.00027752384707490485
move,combined,signed_trade_volume_rolling_sum_50e,3.0945672578412986,3.0945672578412986
move,combined,signed_trade_notional_rolling_sum_50e,-2.9847147702534165,2.9847147702534165
move,combined,trade_notional_rolling_sum_50e,-2.8177284438755126,2.8177284438755126
move,combined,trade_volume_rolling_sum_50e,2.5301555065408183,2.5301555065408183
move,combined,trade_volume_rolling_sum_20e,1.7506337509144883,1.7506337509144883
