stage,feature_set,n_observations,positive_class_share,balanced_accuracy,precision_positive,recall_positive,brier_score,roc_auc,average_precision
move,medium_trade_flow,103128,0.3575653556745016,0.5382428802584444,0.4704160438465371,0.2048271186440678,0.2348641251598942,0.5934836628056754,0.4378067410233507
direction,reduced_book,36875,0.49629830508474576,0.6629535007266092,0.6666288694863364,0.642478553084531,0.22102390862578264,0.7157828766130274,0.6938407289708968
