evaluation_method,model,algorithm,feature_set,threshold,role,n_signals_or_trades,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,up_share,down_share,break_even_round_trip_cost_bps
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,reference_baseline,398,0.6080402010050251,0.6968272774337645,0.610475356381257,0.6080402010050251,0.5100502512562815,0.4899497487437186,0.6968272774337645
cooldown_first_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,candidate_a,621,0.5088566827697263,0.16400893217207274,0.06681114576911895,0.5088566827697263,1.0,0.0,0.16400893217207274
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,candidate_b,651,0.5145929339477726,0.13338649150146556,0.05042309175751214,0.5145929339477726,1.0,0.0,0.13338649150146556
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,651,0.5099846390168971,0.11823656206577456,0.033568339685707826,0.5099846390168971,1.0,0.0,0.11823656206577456
raw_selected_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,reference_baseline,2244,0.5882352941176471,0.629954929038702,0.6179019556595833,0.5882352941176471,0.5570409982174688,0.44295900178253117,0.629954929038702
raw_selected_signal,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,candidate_a,18670,0.5189608998393144,0.16821457307596582,0.10074526308301301,0.5189608998393144,1.0,0.0,0.16821457307596582
raw_selected_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,candidate_b,25878,0.5058737151248165,0.12677527534020772,0.03339547675063059,0.5058737151248165,1.0,0.0,0.12677527534020772
raw_selected_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,26108,0.4972422246054849,0.060765170767476485,-0.016750376673480005,0.4972422246054849,1.0,0.0,0.060765170767476485
