move_feature_set,move_threshold,direction_threshold,n_folds,supported_folds,positive_mean_net_folds,total_signals,minimum_fold_signals,total_signal_runs,minimum_fold_signal_runs,mean_fold_mean_net_bps,median_fold_mean_net_bps,minimum_fold_mean_net_bps,maximum_fold_mean_net_bps,std_fold_mean_net_bps,median_fold_median_net_bps,median_fold_trimmed_mean_net_bps,mean_directional_precision,base_eligible,eligible_neighbor_count,neighbor_positive_share,neighbor_median_net_bps,neighbor_minimum_net_bps,plateau_eligible
medium_trade_flow,0.5,0.55,3,3,0,1252,288,54,18,-0.6067317461124798,-0.6535678564790326,-0.7121828455247886,-0.45444453633361814,0.13510172068438575,-0.6840826920058154,-0.6657441331526925,0.5615491075493696,False,0,,,,False
medium_trade_flow,0.5,0.6,3,3,0,985,231,54,18,-0.4029345367700789,-0.4533390034787085,-0.6968687312166368,-0.05859587561489123,0.3221079279490614,-0.5627533904829498,-0.5117400013460266,0.6045425297899746,False,0,,,,False
medium_trade_flow,0.5,0.65,3,3,0,443,54,53,17,-0.4668964855921483,-0.3807109768234256,-0.6971954766812658,-0.32278300327175363,0.20153692342211102,-0.45817678152770736,-0.4032654703891332,0.6090926160634652,False,0,,,,False
medium_trade_flow,0.5,0.7,3,1,0,44,0,15,0,-1.2350646276815842,-1.2350646276815842,-2.3081799401515326,-0.16194931521163597,1.5176142288852426,-1.2770203443724917,-1.1880107438717107,0.29069767441860467,False,0,,,,False
medium_trade_flow,0.55,0.55,3,3,0,562,106,53,17,-0.48126229326817277,-0.43086829810382654,-0.8266163883482899,-0.18630219335240195,0.3231179864070957,-0.5969112753907426,-0.5483302698203597,0.5627318174487986,False,0,,,,False
medium_trade_flow,0.55,0.6,3,3,1,438,84,51,16,-0.2414969373433833,-0.24569556270290713,-0.627387226392637,0.14859197706539426,0.38800663962234255,-0.44722827170284774,-0.3403609824867677,0.626984126984127,False,0,,,,False
medium_trade_flow,0.55,0.65,3,3,0,199,23,42,11,-0.609788438304561,-0.5560855460110852,-1.0933348804194285,-0.17994488848316942,0.45905698973313036,-0.6614030450597932,-0.6249138732635208,0.535288345410628,False,0,,,,False
medium_trade_flow,0.55,0.7,3,1,0,29,0,13,0,-0.5617023070109284,-0.5617023070109284,-0.5617023070109284,-0.5617023070109284,,-0.5653738147383116,-0.3063714538176878,0.5172413793103449,False,0,,,,False
medium_trade_flow,0.6,0.55,3,3,1,267,47,47,14,-0.2810797250968026,-0.4182041653378793,-0.5789600549295572,0.15392504497702864,0.3852044606437509,-0.8218402765692847,-0.4714512772921155,0.6131651190984283,False,1,1.0,0.047198328694537973,0.047198328694537973,False
medium_trade_flow,0.6,0.6,3,3,1,204,39,37,9,-0.10698538620346106,-0.15645375110624554,-0.47692748220781905,0.3124250747036814,0.39699458953529476,-0.16182229504180157,-0.39586218805483614,0.6092904167255072,False,2,1.0,0.04823184638282507,0.047198328694537973,False
medium_trade_flow,0.6,0.65,3,3,1,104,16,32,7,-0.45251068453457366,-0.6199904007661285,-0.8051644427615977,0.06762278992400539,0.45986571941872323,-0.4168893150636723,-0.49644090922288137,0.5550724637681159,False,2,1.0,0.04823184638282507,0.047198328694537973,False
medium_trade_flow,0.6,0.7,3,1,0,18,0,11,0,-1.247408577076194,-1.247408577076194,-1.247408577076194,-1.247408577076194,,-1.0646215483690593,-1.1007454866602115,0.3888888888888889,False,1,1.0,0.049265364071112164,0.049265364071112164,False
medium_trade_flow,0.65,0.55,3,3,0,124,24,35,10,-0.705052044689405,-0.5618655142424543,-1.3178427350816746,-0.23544788474408632,0.5552219735253723,-0.5975534469150325,-0.6729779677192541,0.5652014652014652,False,1,1.0,0.047198328694537973,0.047198328694537973,False
medium_trade_flow,0.65,0.6,3,3,2,98,19,31,6,-0.011052785004604678,0.047198328694537973,-0.8407905189364666,0.7604338352281146,0.8021999453240057,-0.04819750385698285,-0.11307638766046052,0.629093567251462,True,2,1.0,0.04823184638282507,0.047198328694537973,False
medium_trade_flow,0.65,0.65,3,3,2,56,10,22,5,-0.43538782087993333,0.049265364071112164,-1.6332478403392463,0.27781901362833405,1.0436525582519216,-0.0074814744794862165,0.1600448497172084,0.5212121212121211,True,2,1.0,0.04823184638282507,0.047198328694537973,False
medium_trade_flow,0.65,0.7,3,1,0,14,0,10,0,-1.4053889751973578,-1.4053889751973578,-1.4053889751973578,-1.4053889751973578,,-0.7781306173294524,-1.0743263493336679,0.5,False,1,1.0,0.049265364071112164,0.049265364071112164,False
medium_trade_flow,0.7,0.55,3,3,1,73,13,27,7,-0.8843342778158799,-1.0393019533435837,-1.7689465465678433,0.15524566646378718,0.9714114234024303,0.0022778329799031383,-0.7054887632521983,0.49694749694749696,False,1,1.0,0.047198328694537973,0.047198328694537973,False
medium_trade_flow,0.7,0.6,3,3,0,54,9,23,5,-1.0121263934351292,-0.8678293329214354,-2.0716938700362624,-0.09685597734769018,0.9952951355524299,-0.23387282757980543,-0.6563913320653142,0.5703703703703703,False,2,1.0,0.04823184638282507,0.047198328694537973,False
medium_trade_flow,0.7,0.65,3,3,0,36,6,18,3,-1.321156554009718,-0.8240440051183731,-2.905846168933079,-0.23357948797770173,1.403778105056139,-0.8444341024933513,-0.8240440051183731,0.41919191919191917,False,2,1.0,0.04823184638282507,0.047198328694537973,False
medium_trade_flow,0.7,0.7,3,1,0,9,0,8,0,-2.6844836138433608,-2.6844836138433608,-2.6844836138433608,-2.6844836138433608,,-1.8235217179630716,-2.6844836138433608,0.3333333333333333,False,1,1.0,0.049265364071112164,0.049265364071112164,False
medium_trade_flow,0.75,0.55,3,2,0,45,3,20,2,-1.2651090467110244,-0.9012676826669928,-2.7691999437445074,-0.1248595137215733,1.3591981022299637,-0.0728415031837617,-0.5932340246819018,0.5158730158730159,False,0,,,,False
medium_trade_flow,0.75,0.6,3,2,0,36,3,18,2,-0.8811515998446122,-0.6466662343854523,-1.7808225661235884,-0.21596599902479613,0.8083511358679105,-1.718598981934715,-0.6760659899766279,0.3333333333333333,False,0,,,,False
medium_trade_flow,0.75,0.65,3,1,3,18,2,13,1,0.5806745404091228,0.6263079729855745,0.4822839330456509,0.633431715196143,0.08528317910810625,0.6263079729855745,0.6263079729855745,0.5555555555555555,False,0,,,,False
medium_trade_flow,0.75,0.7,3,1,0,5,0,5,0,-2.7860329898062854,-2.7860329898062854,-2.7860329898062854,-2.7860329898062854,,-1.0080770094390559,-2.7860329898062854,0.2,False,0,,,,False
reduced_trade_flow,0.5,0.55,3,3,0,1120,251,54,18,-0.6070375144074426,-0.6147245048886336,-0.6474279958016237,-0.5589600425320703,0.04473211436897888,-0.7041542197340203,-0.6445821948124654,0.5680122455761833,False,0,,,,False
reduced_trade_flow,0.5,0.6,3,3,0,890,206,54,18,-0.399939133876714,-0.3482458716302923,-0.5835010153637922,-0.2680705146360575,0.16394586063269587,-0.4905936455635853,-0.3989890562853422,0.6242247625650187,False,0,,,,False
