model_name,feature_set,horizon_events,feature,coefficient,absolute_coefficient
logit_book_only,book_only,50,imbalance_1,0.40944560139137887,0.40944560139137887
logit_book_only,book_only,50,bid_depth_10,0.1922882377319146,0.1922882377319146
logit_book_only,book_only,50,best_ask_qty,0.1814256552008153,0.1814256552008153
logit_book_only,book_only,50,ask_depth_5,-0.15571842253741686,0.15571842253741686
logit_book_only,book_only,50,bid_depth_5,-0.13904934540362449,0.13904934540362449
logit_book_only,book_only,50,imbalance_10,-0.11575137174328426,0.11575137174328426
logit_book_only,book_only,50,imbalance_5,0.10746115077697042,0.10746115077697042
logit_book_only,book_only,50,ask_depth_10,0.07663491616087592,0.07663491616087592
logit_book_only,book_only,50,quote_changed,-0.03044668924835431,0.03044668924835431
logit_book_only,book_only,50,transaction_lag_ms,0.011831184380224421,0.011831184380224421
logit_book_only,book_only,50,spread_bps,-0.008565679065969384,0.008565679065969384
logit_book_only,book_only,50,microprice_deviation_bps,-0.00810992976042302,0.00810992976042302
logit_book_only,book_only,50,best_bid_qty,-0.007520783971205343,0.007520783971205343
logit_book_only,book_only,50,event_gap_ms,-0.0007611456332124703,0.0007611456332124703
logit_book_only,book_only,100,imbalance_1,0.3200381653669421,0.3200381653669421
logit_book_only,book_only,100,imbalance_10,-0.14645204028598707,0.14645204028598707
logit_book_only,book_only,100,best_ask_qty,0.13397745277443746,0.13397745277443746
logit_book_only,book_only,100,ask_depth_5,-0.13101980776517527,0.13101980776517527
logit_book_only,book_only,100,bid_depth_10,0.10191991742061564,0.10191991742061564
logit_book_only,book_only,100,imbalance_5,0.09803879415962866,0.09803879415962866
logit_book_only,book_only,100,ask_depth_10,0.062350756873438294,0.062350756873438294
logit_book_only,book_only,100,bid_depth_5,-0.047964418107427145,0.047964418107427145
logit_book_only,book_only,100,best_bid_qty,-0.0384860192550604,0.0384860192550604
logit_book_only,book_only,100,quote_changed,-0.0342425428103511,0.0342425428103511
logit_book_only,book_only,100,microprice_deviation_bps,-0.014492756668078227,0.014492756668078227
logit_book_only,book_only,100,event_gap_ms,0.012886349343236646,0.012886349343236646
logit_book_only,book_only,100,spread_bps,-0.008327584981297785,0.008327584981297785
logit_book_only,book_only,100,transaction_lag_ms,0.004075113785730008,0.004075113785730008
logit_combined,combined,50,trade_intensity_rolling_mean_20e,1.1960578809795364,1.1960578809795364
logit_combined,combined,50,trade_count_rolling_sum_20e,-1.1375366610497926,1.1375366610497926
logit_combined,combined,50,avg_trade_notional,-0.7630819953668908,0.7630819953668908
logit_combined,combined,50,avg_trade_size,0.759663238312216,0.759663238312216
logit_combined,combined,50,trade_volume_rolling_sum_50e,0.7580868422577607,0.7580868422577607
logit_combined,combined,50,trade_notional_rolling_sum_50e,-0.6428079429647199,0.6428079429647199
logit_combined,combined,50,signed_trade_notional_rolling_sum_50e,-0.45987079267949915,0.45987079267949915
logit_combined,combined,50,trade_notional_rolling_sum_20e,-0.40626472357168597,0.40626472357168597
logit_combined,combined,50,imbalance_1,0.40622982638399374,0.40622982638399374
logit_combined,combined,50,trade_volume_rolling_sum_20e,0.3510462712066909,0.3510462712066909
logit_combined,combined,50,signed_trade_volume_rolling_sum_50e,0.33006920968225906,0.33006920968225906
logit_combined,combined,50,trade_notional_rolling_sum_10e,-0.2992688682929029,0.2992688682929029
logit_combined,combined,50,trade_count_rolling_sum_5e,-0.2954939859325343,0.2954939859325343
logit_combined,combined,50,trade_intensity_rolling_mean_5e,0.2948755693517711,0.2948755693517711
logit_combined,combined,50,trade_volume_rolling_sum_10e,0.25640885215399223,0.25640885215399223
logit_combined,combined,50,trade_count_rolling_sum_50e,-0.22627679716573673,0.22627679716573673
logit_combined,combined,50,sell_trade_notional,-0.21441721246571072,0.21441721246571072
logit_combined,combined,50,bid_depth_10,0.20707617200514145,0.20707617200514145
logit_combined,combined,50,sell_trade_volume,0.20077189718004315,0.20077189718004315
logit_combined,combined,50,trade_notional,-0.1854750687998783,0.1854750687998783
logit_combined,combined,50,trade_volume,0.17659085864732413,0.17659085864732413
logit_combined,combined,50,best_ask_qty,0.1733468788669414,0.1733468788669414
logit_combined,combined,50,ask_depth_5,-0.15730537858595944,0.15730537858595944
logit_combined,combined,50,bid_depth_5,-0.15192735274621183,0.15192735274621183
logit_combined,combined,50,imbalance_10,-0.13795657909103332,0.13795657909103332
logit_combined,combined,50,imbalance_5,0.12560514227675731,0.12560514227675731
logit_combined,combined,50,signed_trade_volume_rolling_sum_20e,0.10892741796617575,0.10892741796617575
logit_combined,combined,50,trade_intensity_per_second,-0.10823829752091904,0.10823829752091904
