run_name,n_signals,mean_signed_return_bps,median_signed_return_bps,mean_net_return_bps,median_net_return_bps,total_net_return_bps
20260709_201919,4,5.262098850896124,4.552963347508876,4.262098850896124,3.552963347508876,17.048395403584497
20260709_202431,1,10.612189174773468,10.612189174773468,9.612189174773468,9.612189174773468,9.612189174773468
20260709_211653,3,3.289583718661578,3.4244148033468758,2.289583718661578,2.4244148033468758,6.868751155984734
20260709_205559,1,5.665853128673515,5.665853128673515,4.665853128673515,4.665853128673515,4.665853128673515
20260709_200334,1,4.894642425778972,4.894642425778972,3.8946424257789722,3.8946424257789722,3.8946424257789722
20260709_192139,2,2.208637476985853,2.208637476985853,1.208637476985853,1.208637476985853,2.417274953971706
20260709_212722,1,2.9354683547744287,2.9354683547744287,1.9354683547744287,1.9354683547744287,1.9354683547744287
20260709_190555,2,1.2868592568848758,1.2868592568848758,0.2868592568848758,0.2868592568848758,0.5737185137697516
20260709_190039,1,0.5078450152251612,0.5078450152251612,-0.49215498477483877,-0.49215498477483877,-0.49215498477483877
20260709_194752,1,0.07957481584441872,0.07957481584441872,-0.9204251841555813,-0.9204251841555813,-0.9204251841555813
20260709_212207,2,-0.44725790020017087,-0.44725790020017087,-1.4472579002001709,-1.4472579002001709,-2.8945158004003417
20260709_213235,1,-2.878259968268626,-2.878259968268626,-3.878259968268626,-3.878259968268626,-3.878259968268626
20260709_202947,1,-3.125185904935268,-3.125185904935268,-4.125185904935268,-4.125185904935268,-4.125185904935268
