model,model_family,positive_folds,total_signals,total_signal_runs,median_fold_mean_net_bps,mean_fold_mean_net_bps,worst_fold_mean_net_bps,best_fold_mean_net_bps,fold_net_std_bps,weighted_mean_net_bps,aggregate_directional_precision,aggregate_positive_net_share
two_stage_primary_0p75_0p65,two_stage,2,69,38,0.2739969573558746,0.06785836922072219,-0.3890352721226389,0.3186134224289308,0.32358564746076185,-0.11221933000271052,0.6231884057971014,0.4927536231884058
two_stage_sensitivity_0p65_0p65,two_stage,2,225,68,0.10223166769864699,0.2034790017460026,-0.2144216662755851,0.7226270038149459,0.38919003029229887,0.10436065478369078,0.6355555555555555,0.48
direct_multiclass_base,direct_multiclass,0,4859,106,-0.5358550502875765,-0.5305808992420804,-0.6331051320281472,-0.42278251541051765,0.08594480115034932,-0.5290826234053033,0.5809837415105988,0.35027783494546205
direct_multiclass_temporal,direct_multiclass,0,4880,106,-0.5557239170900717,-0.55127239114881,-0.6285708940213075,-0.4695223623350506,0.06500754274335074,-0.5501173348895756,0.5760245901639345,0.3506147540983607
