feature_set,n_features,split,n_observations,positive_class_share,predicted_positive_share,balanced_accuracy,precision_positive,recall_positive,precision_negative,recall_negative,roc_auc,average_precision,brier_score
full_book,14,validation,52174,0.49275501207497985,0.514892475179208,0.5861387340678659,0.5763847528290649,0.6022793574234704,0.5960094824180165,0.5699981107122615,0.6192512842861283,0.6048572881298802,0.2396524437951515
full_book,14,test,45954,0.5052661357009183,0.5453061757409583,0.5842473184424157,0.5825052875214494,0.6286661785606615,0.5873653984206748,0.5398284583241698,0.6226942297821075,0.6163468264242729,0.2390025670600941
reduced_book,8,validation,52174,0.49275501207497985,0.5171924713458811,0.5865554811511893,0.5764156537207233,0.6050021393286398,0.5968638348551012,0.5681088229737389,0.6183329400899722,0.601783038962677,0.23988260511558152
reduced_book,8,test,45954,0.5052661357009183,0.5470905688296993,0.5834450436470446,0.5815202259257786,0.6296567466299151,0.5868447604862346,0.5372333406641742,0.6219881219540359,0.6136415474820924,0.23916232924029895
