move_tier,direction_tier,n_rows,n_runs,mean_move_probability,mean_direction_confidence,realized_move_rate_gt_1bps,directional_precision,mean_abs_return_bps,mean_signed_return_bps,mean_net_after_1bps
move_below_0p65,direction_below_0p65,88392,36,0.46998998303703265,0.5747307247156161,0.49748846049416234,0.4970811838175401,1.3540696526257474,0.2584794618037521,-0.741520538196248
move_below_0p65,direction_0p65_to_0p70,11535,36,0.48002894106134464,0.6598783185261751,0.5552665799739922,0.6524490680537495,1.5337645861741875,0.7573392854946819,-0.24266071450531812
move_below_0p65,direction_at_least_0p70,376,3,0.39672706785073725,0.7436952356813725,0.007978723404255319,0.14361702127659576,0.07347200428267701,0.07347200428267701,-0.926527995717323
move_0p65_to_0p75,direction_below_0p65,1654,33,0.6896318656990931,0.5760347943417178,0.7200725513905684,0.5429262394195888,2.4680259170286347,0.3422848542111904,-0.6577151457888095
move_0p65_to_0p75,direction_0p65_to_0p70,292,24,0.6886945345403702,0.6612049767066022,0.7431506849315068,0.6678082191780822,2.551398496549044,1.264393125373121,0.2643931253731211
move_0p65_to_0p75,direction_at_least_0p70,2,2,0.7191755895424248,0.7430058178934456,0.5,1.0,2.6716247882369037,2.6716247882369037,1.6716247882369037
move_at_least_0p75,direction_below_0p65,672,20,0.8102815286735915,0.5766768931335909,0.7202380952380952,0.4806547619047619,2.696268313268899,0.24293455364955366,-0.7570654463504464
move_at_least_0p75,direction_0p65_to_0p70,129,17,0.8187648988825879,0.6630127923877535,0.7674418604651163,0.6821705426356589,3.2519211476897425,1.4750116693375959,0.47501166933759587
move_at_least_0p75,direction_at_least_0p70,6,4,0.8275927415778659,0.7313532081243118,0.8333333333333334,0.3333333333333333,2.904124361867525,-2.2386147635305997,-3.2386147635305997
