run_name,horizon,n,mean_bps,std_bps,median_bps,mean_abs_bps,median_abs_bps,share_positive,share_abs_ge_1_bps,share_abs_ge_2_bps
20260704_125643,1,2911,-0.0011752444283476542,0.06592249421191286,0.0,0.006348453548827644,0.0,0.006183442116111302,0.0013740982480247338,0.0
20260704_130157,1,2912,-0.0009281369546600763,0.0476805853236816,0.0,0.003576116857097662,0.0,0.0030906593406593405,0.00034340659340659343,0.0
20260704_130711,1,2911,-0.0013682908294581609,0.05212169464284388,0.0,0.003863645254057879,0.0,0.004465819306080384,0.00034352456200618345,0.0
20260704_131225,1,2911,-0.00039013307273505574,0.056936057329350746,0.0,0.005611446120058647,0.0,0.006526966678117485,0.00034352456200618345,0.0
20260704_131740,1,2912,0.002515728732174516,0.048215739941573896,0.0,0.004569079093027817,0.0,0.015796703296703296,0.00034340659340659343,0.0
20260704_132254,1,2912,0.00012094104777935757,0.053776836286683005,0.0,0.0044804385247137245,0.0,0.011332417582417582,0.0006868131868131869,0.0
20260704_132808,1,2912,0.0001703343183717127,0.05071428098709945,0.0,0.0042340860214266415,0.0,0.006868131868131868,0.00034340659340659343,0.0
20260704_133321,1,2911,0.002975810378562632,0.0850404745336841,0.0,0.011056151449227898,0.0,0.023016145654414292,0.0024046719340432843,0.0
20260704_133834,1,2912,-0.0014390812455082416,0.29135653980713927,0.0,0.03158611877189461,0.0,0.016140109890109892,0.008241758241758242,0.0020604395604395605
20260704_134349,1,2911,0.0034738805549883005,0.06645798734736866,0.0,0.006097672810031299,0.0,0.010305736860185504,0.0006870491240123669,0.0
20260704_134903,1,2911,0.0007626996189958947,0.05235794586755349,0.0,0.00485546688139765,0.0,0.00790106492614222,0.00034352456200618345,0.0
20260704_135418,1,2912,-0.0041264822362751565,0.08610375140890365,0.0,0.009341645508903287,0.0,0.006181318681318681,0.0013736263736263737,0.00034340659340659343
20260704_135929,1,2912,-0.0034606890290185956,0.1203940555725849,0.0,0.017336213687964497,0.0,0.017170329670329672,0.0020604395604395605,0.0006868131868131869
20260704_140444,1,2912,0.001666550826716107,0.10697299937267368,0.0,0.013587607591732538,0.0,0.016483516483516484,0.001717032967032967,0.0006868131868131869
20260704_141000,1,2912,0.00042895901180171447,0.06694020285154834,0.0,0.007219775300434054,0.0,0.009958791208791208,0.0006868131868131869,0.0
20260704_141515,1,2912,0.0014405685485278426,0.050752177318757676,0.0,0.003430386982518916,0.0,0.004807692307692308,0.0006868131868131869,0.0
