run_name,n_signals,mean_signed_return_bps,median_signed_return_bps,mean_net_return_bps,median_net_return_bps,total_net_return_bps
20260717_185958,4,4.672053235843521,3.637780056365836,3.6720532358435207,2.637780056365836,14.688212943374083
20260717_202902,2,3.8756980482101966,3.8756980482101966,2.8756980482101966,2.8756980482101966,5.751396096420393
20260717_190514,3,2.5368659688688546,1.1204137009235282,1.5368659688688548,0.12041370092352821,4.610597906606564
20260717_194705,1,5.191282127982033,5.191282127982033,4.191282127982033,4.191282127982033,4.191282127982033
20260717_200247,2,1.49553872203112,1.49553872203112,0.49553872203112004,0.49553872203112004,0.9910774440622401
20260717_210027,2,1.4795938146966447,1.4795938146966447,0.47959381469664475,0.47959381469664475,0.9591876293932895
20260717_193127,1,1.6272763107272326,1.6272763107272326,0.6272763107272326,0.6272763107272326,0.6272763107272326
20260717_214215,2,1.1855132533283852,1.1855132533283852,0.1855132533283852,0.1855132533283852,0.3710265066567704
20260717_201317,1,0.668408241473184,0.668408241473184,-0.331591758526816,-0.331591758526816,-0.331591758526816
20260717_220315,1,0.4392539272035645,0.4392539272035645,-0.5607460727964355,-0.5607460727964355,-0.5607460727964355
20260717_214730,2,0.1808134671532624,0.1808134671532624,-0.8191865328467376,-0.8191865328467376,-1.6383730656934752
20260717_212123,1,-1.964924906725507,-1.964924906725507,-2.964924906725507,-2.964924906725507,-2.964924906725507
20260717_210541,1,-3.1496931017782615,-3.1496931017782615,-4.1496931017782615,-4.1496931017782615,-4.1496931017782615
20260717_191029,2,-1.3728021804676471,-1.3728021804676471,-2.372802180467647,-2.372802180467647,-4.745604360935294
20260717_191545,2,-1.4306359144011793,-1.4306359144011793,-2.4306359144011793,-2.4306359144011793,-4.861271828802359
20260717_194153,1,-4.396337755764312,-4.396337755764312,-5.396337755764312,-5.396337755764312,-5.396337755764312
20260717_193639,2,-4.482989804324711,-4.482989804324711,-5.482989804324711,-5.482989804324711,-10.965979608649421
