fold_name,move_feature_set,move_threshold,direction_threshold,n_signals,n_signal_runs,directional_precision,mean_signed_return_bps,median_signed_return_bps,mean_net_return_bps,median_net_return_bps,trimmed_mean_net_return_bps
fold_1_tuesday_late,medium_trade_flow,0.5,0.55,387,18,0.5813953488372093,0.5455554636663819,0.3830477152366729,-0.45444453633361814,-0.6169522847633271,-0.5153833674865582
fold_1_tuesday_late,medium_trade_flow,0.5,0.6,267,18,0.6629213483146067,0.9414041243851088,0.768385786117376,-0.05859587561489123,-0.23161421388262404,-0.17968886117953858
fold_1_tuesday_late,medium_trade_flow,0.5,0.65,54,17,0.5925925925925926,0.30280452331873414,0.42201107848971464,-0.6971954766812658,-0.5779889215102854,-0.5610405623953291
fold_1_tuesday_late,medium_trade_flow,0.5,0.7,1,1,0.0,-1.3081799401515326,-1.3081799401515326,-2.3081799401515326,-2.3081799401515326,-2.3081799401515326
fold_1_tuesday_late,medium_trade_flow,0.55,0.55,144,18,0.5833333333333334,0.8136978066475982,0.6181052683695842,-0.18630219335240195,-0.38189473163041576,-0.3623393050622666
fold_1_tuesday_late,medium_trade_flow,0.55,0.6,102,17,0.6666666666666666,1.1485919770653943,0.734849463375209,0.14859197706539426,-0.26515053662479104,-0.009082923186897678
fold_1_tuesday_late,medium_trade_flow,0.55,0.65,23,11,0.4782608695652174,-0.09333488041942865,-0.11715875949169785,-1.0933348804194285,-1.1171587594916979,-0.975180049524541
fold_1_tuesday_late,medium_trade_flow,0.55,0.7,0,0,,,,,,
fold_1_tuesday_late,medium_trade_flow,0.6,0.55,69,16,0.7101449275362319,1.1539250449770286,1.0164580191118766,0.15392504497702864,0.01645801911187661,0.08782639538394227
fold_1_tuesday_late,medium_trade_flow,0.6,0.6,41,9,0.7073170731707317,1.3124250747036814,1.360185798252589,0.3124250747036814,0.3601857982525889,0.2030007793138436
fold_1_tuesday_late,medium_trade_flow,0.6,0.65,16,7,0.5,0.38000959923387145,0.15556589750664873,-0.6199904007661285,-0.8444341024933513,-0.49644090922288137
fold_1_tuesday_late,medium_trade_flow,0.6,0.7,0,0,,,,,,
fold_1_tuesday_late,medium_trade_flow,0.65,0.55,35,10,0.6571428571428571,0.7645521152559137,1.360185798252589,-0.23544788474408632,0.3601857982525889,-0.2005598073624618
