specification,model_role,move_feature_set,move_threshold,direction_threshold,round_trip_cost_bps,n_signals,n_signal_runs,coverage,directional_precision,mean_signed_return_bps,median_signed_return_bps,mean_net_return_bps,median_net_return_bps,total_net_return_bps,long_signal_share
confirmatory_primary_medium_0p75_0p65,CONFIRMATORY_PRIMARY,medium_trade_flow,0.75,0.65,1.0,30,17,0.00029109821653826003,0.6666666666666666,0.885851150185024,0.7297427613017771,-0.11414884981497586,-0.27025723869822293,-3.424465494449276,0.3333333333333333
sensitivity_medium_0p65_0p65,HIGH_COVERAGE_SENSITIVITY,medium_trade_flow,0.65,0.65,1.0,93,27,0.000902404471268606,0.6774193548387096,1.0588868593250635,0.9438525702276657,0.05888685932506354,-0.056147429772334334,5.476477917230909,0.3870967741935484
