fold,run_name,n_signals,mean_net_bps,median_net_bps,total_net_bps,model
fold_3_tue_wed_thu_to_fri,20260717_204958,1,-1.4902615861868131,-1.4902615861868131,-1.4902615861868131,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_214730,2,-0.7523710320140866,-0.7523710320140866,-1.5047420640281732,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_193127,10,-0.16152491639065322,-0.10614706645384246,-1.6152491639065323,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_195223,6,-0.27956862962596934,0.6047063779872639,-1.6774117777558162,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_190039,7,-0.2719055714580317,0.1745202124602283,-1.9033390002062216,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_192655,2,-1.0318701875295924,-1.0318701875295924,-2.0637403750591847,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_192613,3,-0.7686846770494906,0.2972641174369137,-2.306054031148472,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_200802,1,-2.398131429120042,-2.398131429120042,-2.398131429120042,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_215758,1,-2.78772605272548,-2.78772605272548,-2.78772605272548,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_212207,2,-1.447257900200171,-1.447257900200171,-2.894515800400342,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_210018,2,-1.7369771635412636,-1.7369771635412636,-3.4739543270825273,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_185958,19,-0.185849954224045,-0.6993502008424404,-3.5311491302568547,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_193122,1,-3.774970092436213,-3.774970092436213,-3.774970092436213,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_213235,1,-3.878259968268626,-3.878259968268626,-3.878259968268626,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_201318,4,-1.0530179972882407,-1.016231118137311,-4.212071989152963,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_212123,2,-2.1799349632146683,-2.1799349632146683,-4.359869926429337,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_201317,3,-1.7847007678363216,-1.0,-5.354102303508965,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_194153,3,-1.869473688784132,-1.0,-5.6084210663523955,two_stage_sensitivity_0p65_0p65
fold_2_tue_wed_to_thu,20260709_202947,4,-1.4198299711122289,-2.317534947661292,-5.6793198844489154,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_185955,5,-1.6573292199232306,-1.823521717963072,-8.286646099616153,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_201832,7,-1.3280329676631182,-1.079453297749943,-9.296230773641827,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_190508,4,-2.497988538113615,-1.831462735551014,-9.99195415245446,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_191029,6,-3.340549590032492,-4.1673403073861905,-20.043297540194953,two_stage_sensitivity_0p65_0p65
fold_3_tue_wed_thu_to_fri,20260717_193639,11,-1.8667171100189146,-0.984205143594984,-20.53388821020806,two_stage_sensitivity_0p65_0p65
fold_1_tue_to_wed,20260708_194153,1,9.981949785702216,9.981949785702216,9.981949785702216,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_202902,2,4.818848881755101,4.818848881755101,9.637697763510202,two_stage_primary_0p75_0p65
fold_2_tue_wed_to_thu,20260709_202431,1,9.612189174773468,9.612189174773468,9.612189174773468,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_190514,4,1.6482504806374374,1.0514088584333567,6.59300192254975,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_200247,5,0.8431253162749517,0.9955511878677612,4.215626581374758,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_194705,1,4.191282127982033,4.191282127982033,4.191282127982033,two_stage_primary_0p75_0p65
fold_2_tue_wed_to_thu,20260709_200334,1,3.894642425778972,3.894642425778972,3.894642425778972,two_stage_primary_0p75_0p65
fold_1_tue_to_wed,20260708_191538,1,2.718184265129043,2.718184265129043,2.718184265129043,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_210027,2,1.3085382432280754,1.3085382432280754,2.617076486456151,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_193127,2,0.8340826419971368,0.8340826419971368,1.6681652839942736,two_stage_primary_0p75_0p65
fold_1_tue_to_wed,20260708_202345,1,1.468925245978637,1.468925245978637,1.468925245978637,two_stage_primary_0p75_0p65
fold_1_tue_to_wed,20260708_213658,2,0.6263079729855745,0.6263079729855745,1.252615945971149,two_stage_primary_0p75_0p65
fold_1_tue_to_wed,20260708_185955,1,1.0989289811224054,1.0989289811224054,1.0989289811224054,two_stage_primary_0p75_0p65
fold_2_tue_wed_to_thu,20260709_205559,1,0.8070860061503158,0.8070860061503158,0.8070860061503158,two_stage_primary_0p75_0p65
fold_2_tue_wed_to_thu,20260709_194237,1,0.6359034753410384,0.6359034753410384,0.6359034753410384,two_stage_primary_0p75_0p65
fold_1_tue_to_wed,20260708_191023,1,0.4170703841154264,0.4170703841154264,0.4170703841154264,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_214215,2,0.1855132533283852,0.1855132533283852,0.3710265066567704,two_stage_primary_0p75_0p65
fold_1_tue_to_wed,20260708_213144,1,0.1316542279005137,0.1316542279005137,0.1316542279005137,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_215245,1,-0.0561474297723343,-0.0561474297723343,-0.0561474297723343,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_201317,1,-0.331591758526816,-0.331591758526816,-0.331591758526816,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_220315,1,-0.5607460727964355,-0.5607460727964355,-0.5607460727964355,two_stage_primary_0p75_0p65
fold_1_tue_to_wed,20260708_195223,3,-0.19019742821935112,0.4676247622158467,-0.5705922846580533,two_stage_primary_0p75_0p65
fold_1_tue_to_wed,20260708_201318,1,-1.0,-1.0,-1.0,two_stage_primary_0p75_0p65
fold_2_tue_wed_to_thu,20260709_190039,1,-1.4284541137544728,-1.4284541137544728,-1.4284541137544728,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_214730,2,-0.7523710320140866,-0.7523710320140866,-1.5047420640281732,two_stage_primary_0p75_0p65
fold_2_tue_wed_to_thu,20260709_212207,1,-1.686827996705386,-1.686827996705386,-1.686827996705386,two_stage_primary_0p75_0p65
fold_1_tue_to_wed,20260708_192052,1,-1.998030499489433,-1.998030499489433,-1.998030499489433,two_stage_primary_0p75_0p65
fold_1_tue_to_wed,20260708_215758,1,-2.78772605272548,-2.78772605272548,-2.78772605272548,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_212123,1,-2.964924906725507,-2.964924906725507,-2.964924906725507,two_stage_primary_0p75_0p65
fold_2_tue_wed_to_thu,20260709_190555,1,-3.5111032881941497,-3.5111032881941497,-3.5111032881941497,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_210541,1,-4.1496931017782615,-4.1496931017782615,-4.1496931017782615,two_stage_primary_0p75_0p65
fold_2_tue_wed_to_thu,20260709_201919,5,-0.9000149228485235,-5.654981186117402,-4.500074614242617,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_191545,2,-2.4306359144011793,-2.4306359144011793,-4.861271828802359,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_191029,2,-2.5776672193523744,-2.5776672193523744,-5.155334438704749,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_194153,1,-5.396337755764312,-5.396337755764312,-5.396337755764312,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_193639,4,-1.4851196296185027,-2.3037356100242814,-5.940478518474011,two_stage_primary_0p75_0p65
fold_1_tue_to_wed,20260708_190508,2,-3.1645143406762157,-3.1645143406762157,-6.3290286813524315,two_stage_primary_0p75_0p65
fold_3_tue_wed_thu_to_fri,20260717_185958,7,-2.046150707739882,-2.0600334938937195,-14.323054954179176,two_stage_primary_0p75_0p65
