model_name,feature_set,split,n_observations,positive_class_share,predicted_positive_share,balanced_accuracy,precision_positive,recall_positive,precision_negative,recall_negative,roc_auc,average_precision,brier_score
prevalence_baseline,none,validation,103138,0.5058659272043282,1.0,0.5,0.5058659272043282,1.0,0.0,0.0,0.5,0.5058659272043282,0.2647041945932862
prevalence_baseline,none,test,97306,0.4722627587199145,1.0,0.5,0.4722627587199145,1.0,0.0,0.0,0.5,0.4722627587199145,0.27325744955266723
logit_move_book_only,book_only,validation,103138,0.5058659272043282,0.3587329597238651,0.5081739916712675,0.5172572231681938,0.3668110553149078,0.5005065090188845,0.6495369280276273,0.5117359296886064,0.5212014257337817,0.2499106364961055
logit_move_book_only,book_only,test,97306,0.4722627587199145,0.31591063243787637,0.5175172255473095,0.4999024072869226,0.33439961700831267,0.5405011567466875,0.7006348340863062,0.5241388820951786,0.49786279910317804,0.2492486651760088
logit_move_trade_flow_only,trade_flow_only,validation,103138,0.5058659272043282,0.2756210126238632,0.5545509216266001,0.6048123263094944,0.329531950780082,0.531782468445075,0.7795698924731183,0.5832572288487491,0.580051758340495,0.24622547512321818
logit_move_trade_flow_only,trade_flow_only,test,97306,0.4722627587199145,0.2057735391445543,0.5360982388268909,0.5597063377116316,0.2438743090917004,0.5503927124982209,0.8283221685620813,0.5679369391201452,0.5361253084072651,0.24575029426532238
logit_move_combined,combined,validation,103138,0.5058659272043282,0.3060171808644728,0.5533312288094621,0.5929915721437171,0.3587227354621076,0.5325528109980999,0.7479397221568166,0.5733157437451415,0.5730987498730099,0.24690067013123032
logit_move_combined,combined,test,97306,0.4722627587199145,0.23281195404188848,0.5390357040527729,0.5558400282510815,0.274013143578361,0.5530997160156459,0.8040582645271849,0.5668475156408398,0.5356508764803934,0.24571634951492144
