run_name,row_in_run,future_return_bps,signal_direction,fold,model,signed_return_bps,net_return_bps,direction_correct,net_profitable
20260708_195223,1179,0.8550393681105994,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-0.8550393681105994,-1.8550393681105994,False,False
20260708_195223,1263,-1.4676247622158467,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,1.4676247622158467,0.4676247622158467,True,True
20260708_195223,1339,-1.741787993758681,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,1.741787993758681,0.7417879937586811,True,True
20260708_201318,565,-3.4216059007297073,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,3.4216059007297073,2.4216059007297073,True,True
20260708_201318,621,0.0,1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,0.0,-1.0,False,False
20260708_201318,708,-3.6012156536080475,1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-3.6012156536080475,-4.6012156536080475,False,False
20260708_201318,1018,0.03246223627462186,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-0.03246223627462186,-1.0324622362746219,False,False
20260708_202345,1356,-2.468925245978637,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,2.468925245978637,1.468925245978637,True,True
20260708_202345,1978,4.078638092366305,1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,4.078638092366305,3.0786380923663046,True,True
20260708_203410,743,0.0,1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,0.0,-1.0,False,False
20260708_203410,1105,-1.701922118423349,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,1.701922118423349,0.7019221184233491,True,True
20260708_210018,481,0.29150670910693677,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-0.29150670910693677,-1.2915067091069368,False,False
20260708_210018,611,1.1824476179755905,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-1.1824476179755905,-2.1824476179755905,False,False
20260708_213144,2009,-3.1760655578727537,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,3.1760655578727537,2.1760655578727537,True,True
20260708_213658,1594,0.16166907149450793,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-0.16166907149450793,-1.161669071494508,False,False
20260708_213658,1651,-1.0989676976225216,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,1.0989676976225216,0.09896769762252156,True,True
20260708_213658,1706,-4.315538605886848,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,4.315538605886848,3.3155386058868483,True,True
20260708_213658,2259,-7.28653240854471,-1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,7.28653240854471,6.28653240854471,True,True
20260708_214213,1440,-0.17730796539883187,1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-0.17730796539883187,-1.1773079653988319,False,False
20260708_215758,873,-1.7877260527254801,1,fold_1_tue_to_wed,two_stage_sensitivity_0p65_0p65,-1.7877260527254801,-2.78772605272548,False,False
20260708_185955,5,-2.519259822084674,1,fold_1_tue_to_wed,direct_multiclass_base,-2.519259822084674,-3.519259822084674,False,False
20260708_185955,56,5.136708323003614,-1,fold_1_tue_to_wed,direct_multiclass_base,-5.136708323003614,-6.136708323003614,False,False
20260708_185955,107,-2.3248623850991024,-1,fold_1_tue_to_wed,direct_multiclass_base,2.3248623850991024,1.3248623850991024,True,True
20260708_185955,158,3.1002419641956713,-1,fold_1_tue_to_wed,direct_multiclass_base,-3.1002419641956713,-4.100241964195671,False,False
20260708_185955,209,-1.7273429510278326,-1,fold_1_tue_to_wed,direct_multiclass_base,1.7273429510278326,0.7273429510278326,True,True
20260708_185955,260,-2.3411962544084286,-1,fold_1_tue_to_wed,direct_multiclass_base,2.3411962544084286,1.3411962544084286,True,True
20260708_185955,311,3.197692493415172,1,fold_1_tue_to_wed,direct_multiclass_base,3.197692493415172,2.197692493415172,True,True
20260708_185955,362,5.117397456313455,1,fold_1_tue_to_wed,direct_multiclass_base,5.117397456313455,4.117397456313455,True,True
20260708_185955,413,2.90429149405691,1,fold_1_tue_to_wed,direct_multiclass_base,2.90429149405691,1.9042914940569098,True,True
20260708_185955,464,-3.903524866823993,1,fold_1_tue_to_wed,direct_multiclass_base,-3.903524866823993,-4.903524866823993,False,False
20260708_185955,515,4.276190253351686,1,fold_1_tue_to_wed,direct_multiclass_base,4.276190253351686,3.276190253351686,True,True
20260708_185955,566,6.193793141824333,-1,fold_1_tue_to_wed,direct_multiclass_base,-6.193793141824333,-7.193793141824333,False,False
20260708_185955,617,-5.835326129445262,1,fold_1_tue_to_wed,direct_multiclass_base,-5.835326129445262,-6.835326129445262,False,False
20260708_185955,668,-1.8065142581558113,-1,fold_1_tue_to_wed,direct_multiclass_base,1.8065142581558113,0.8065142581558113,True,True
20260708_185955,719,-0.5001851491814868,-1,fold_1_tue_to_wed,direct_multiclass_base,0.5001851491814868,-0.4998148508185132,True,False
20260708_185955,770,0.08067905950870369,1,fold_1_tue_to_wed,direct_multiclass_base,0.08067905950870369,-0.9193209404912963,True,False
20260708_185955,821,0.40339204301131915,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.40339204301131915,-1.4033920430113191,False,False
20260708_185955,872,1.1133171283850274,1,fold_1_tue_to_wed,direct_multiclass_base,1.1133171283850274,0.11331712838502739,True,True
20260708_185955,923,1.3067920111442533,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.3067920111442533,-2.3067920111442533,False,False
20260708_185955,974,1.0323921089749888,1,fold_1_tue_to_wed,direct_multiclass_base,1.0323921089749888,0.03239210897498879,True,True
20260708_185955,1044,-4.065109503886832,-1,fold_1_tue_to_wed,direct_multiclass_base,4.065109503886832,3.0651095038868323,True,True
20260708_185955,1095,1.74272392590602,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.74272392590602,-2.74272392590602,False,False
20260708_185955,1146,-1.8230878752556468,1,fold_1_tue_to_wed,direct_multiclass_base,-1.8230878752556468,-2.8230878752556468,False,False
20260708_185955,1197,-2.7111751249686566,1,fold_1_tue_to_wed,direct_multiclass_base,-2.7111751249686566,-3.7111751249686566,False,False
20260708_185955,1248,-2.1469290439946054,-1,fold_1_tue_to_wed,direct_multiclass_base,2.1469290439946054,1.1469290439946054,True,True
20260708_185955,1299,0.12916632020409935,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.12916632020409935,-1.1291663202040993,False,False
20260708_185955,1350,-1.162586982093039,-1,fold_1_tue_to_wed,direct_multiclass_base,1.162586982093039,0.162586982093039,True,True
20260708_185955,1401,-1.8732745889493696,-1,fold_1_tue_to_wed,direct_multiclass_base,1.8732745889493696,0.8732745889493696,True,True
20260708_185955,1453,-0.016151944574049892,-1,fold_1_tue_to_wed,direct_multiclass_base,0.016151944574049892,-0.9838480554259501,True,False
20260708_185955,1504,2.0674522446806343,-1,fold_1_tue_to_wed,direct_multiclass_base,-2.0674522446806343,-3.0674522446806343,False,False
20260708_185955,1555,1.243444664693616,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.243444664693616,-2.243444664693616,False,False
20260708_185955,1606,-3.3100579744549385,-1,fold_1_tue_to_wed,direct_multiclass_base,3.3100579744549385,2.3100579744549385,True,True
